"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"17","Dallas Stars","21","1020.4","12","7","2","11","26","0.619","890","944","48.53","660","691","48.85","480","499","49.03","34","35","49.28","37.41","37.45","49.97","457","427","51.70","267","256","51.05","33","32","50.77","12.36","87.50","190","168","53.07","139","120","53.67","28","20","58.33","20.14","83.33","267","259","50.76","128","136","48.48","5","12","29.41","3.91","91.18","373","428","46.57","183","215","45.98","1","3","25.00","0.55","98.60","7.08","92.99","1.001"
"18","New York Islanders","18","875.75","5","10","3","5","13","0.361","759","898","45.81","570","664","46.19","424","467","47.59","27","35","43.55","35.13","37.45","48.41","386","472","44.99","231","269","46.20","22","31","41.51","9.52","88.48","160","183","46.65","118","146","44.70","17","25","40.48","14.41","82.88","226","289","43.88","113","123","47.88","5","6","45.45","4.42","95.12","328","386","45.94","177","184","49.03","5","4","55.56","2.82","97.83","6.37","92.51","0.989"
"19","Carolina Hurricanes","22","1002.3833","15","6","1","15","31","0.705","1081","846","56.10","799","652","55.07","572","460","55.43","50","33","60.24","49.4","43.27","53.31","513","405","55.88","293","244","54.56","42","30","58.33","14.33","87.70","225","191","54.09","163","140","53.80","27","26","50.94","16.56","81.43","288","214","57.37","130","104","55.56","15","4","78.95","11.54","96.15","480","373","56.27","252","197","56.12","8","3","72.73","3.17","98.48","8.74","92.83","1.016"
"20","Arizona Coyotes","24","1167.9167","5","17","2","5","12","0.250","923","1085","45.97","711","825","46.29","502","623","44.62","34","55","38.20","37.53","48.16","43.80","423","506","45.53","257","330","43.78","28","46","37.84","10.89","86.06","176","217","44.78","131","176","42.67","19","30","38.78","14.50","82.95","247","289","46.08","126","154","45.00","9","16","36.00","7.14","89.61","434","508","46.07","228","275","45.33","6","9","40.00","2.63","96.73","6.77","91.17","0.979"
"21","Columbus Blue Jackets","21","1015.5833","12","9","0","10","24","0.571","933","1012","47.97","696","769","47.51","505","573","46.85","42","52","44.68","40.57","44.64","47.61","476","528","47.41","269","327","45.13","33","42","44.00","12.27","87.16","173","206","45.65","133","154","46.34","21","22","48.84","15.79","85.71","303","322","48.48","136","173","44.01","12","20","37.50","8.82","88.44","392","434","47.46","210","231","47.62","9","10","47.37","4.29","95.67","8.32","90.92","0.992"
"22","Nashville Predators","23","1098.85","12","10","1","11","25","0.543","954","989","49.10","736","751","49.50","516","546","48.59","39","40","49.37","40.94","41.77","49.50","486","493","49.64","294","294","50.00","36","35","50.70","12.24","88.10","162","164","49.69","124","121","50.61","21","21","50.00","16.94","82.64","324","329","49.62","170","173","49.56","15","14","51.72","8.82","91.91","421","439","48.95","205","234","46.70","3","5","37.50","1.46","97.86","7.56","92.67","1.002"
"23","Winnipeg Jets","23","1118.25","11","8","4","10","26","0.565","1107","1001","52.51","834","771","51.96","600","556","51.90","46","38","54.76","49.64","46.51","51.63","545","508","51.76","322","296","52.10","35","31","53.03","10.87","89.53","219","208","51.29","165","143","53.57","26","23","53.06","15.76","83.92","326","300","52.08","157","153","50.65","9","8","52.94","5.73","94.77","506","433","53.89","258","226","53.31","11","7","61.11","4.26","96.90","7.67","93.17","1.008"
"24","Anaheim Ducks","25","1216.0667","13","8","4","12","30","0.600","1108","1163","48.79","834","873","48.86","619","624","49.80","50","51","49.50","50.97","52.24","49.39","537","542","49.77","331","332","49.92","39","42","48.15","11.78","87.35","240","224","51.72","192","165","53.78","25","28","47.17","13.02","83.03","297","318","48.29","139","167","45.42","14","14","50.00","10.07","91.62","495","525","48.53","253","262","49.13","10","9","52.63","3.95","96.56","8.08","91.83","0.999"
"25","Los Angeles Kings","22","1062.6833","9","9","4","8","22","0.500","1038","961","51.93","801","718","52.73","587","524","52.84","40","37","51.95","47.47","45.92","50.83","530","537","49.67","320","300","51.61","36","36","50.00","11.25","88.00","221","217","50.46","162","151","51.76","29","23","55.77","17.90","84.77","309","320","49.13","158","149","51.47","7","13","35.00","4.43","91.28","436","368","54.23","249","204","54.97","4","1","80.00","1.61","99.51","6.81","92.94","0.998"
"26","New Jersey Devils","22","1053.0167","9","9","4","8","22","0.500","1064","1018","51.10","796","770","50.83","581","561","50.88","45","49","47.87","47.25","46.04","50.65","532","522","50.47","312","299","51.06","40","44","47.62","12.82","85.28","225","190","54.22","168","147","53.33","29","31","48.33","17.26","78.91","307","332","48.04","144","152","48.65","11","13","45.83","7.64","91.45","477","438","52.13","251","234","51.75","5","5","50.00","1.99","97.86","7.75","91.27","0.990"
"27","Philadelphia Flyers","21","993.05","8","9","4","8","20","0.476","915","1021","47.26","692","769","47.36","508","566","47.30","34","42","44.74","38.94","47.47","45.06","404","538","42.89","248","306","44.77","31","35","46.97","12.50","88.56","162","231","41.22","121","173","41.16","19","23","45.24","15.70","86.71","242","307","44.08","127","133","48.85","12","12","50.00","9.45","90.98","426","422","50.24","225","230","49.45","3","7","30.00","1.33","96.96","6.69","92.58","0.993"
"28","Minnesota Wild","23","1067.9833","16","6","1","14","33","0.717","1042","957","52.13","789","724","52.15","598","526","53.20","61","46","57.01","45.07","38.34","54.04","517","447","53.63","325","282","53.54","50","39","56.18","15.38","86.17","200","178","52.91","162","140","53.64","33","25","56.90","20.37","82.14","317","269","54.10","163","142","53.44","17","14","54.84","10.43","90.14","452","441","50.62","244","223","52.25","11","7","61.11","4.51","96.86","10.20","91.25","1.015"
"29","Boston Bruins","20","959.9167","12","8","0","11","24","0.600","936","787","54.32","745","599","55.43","580","447","56.48","34","38","47.22","39.2","30.37","56.35","424","380","52.74","258","219","54.09","25","31","44.64","9.69","85.84","150","128","53.96","111","95","53.88","17","21","44.74","15.32","77.89","274","252","52.09","147","124","54.24","8","10","44.44","5.44","91.94","465","367","55.89","289","207","58.27","9","7","56.25","3.11","96.62","5.86","91.50","0.974"
"30","St Louis Blues","23","1125.8167","12","8","3","10","27","0.587","1015","1009","50.15","781","798","49.46","588","570","50.78","47","42","52.81","46.06","49.03","48.44","571","548","51.03","350","328","51.62","41","36","53.25","11.71","89.02","188","227","45.30","141","166","45.93","19","24","44.19","13.48","85.54","383","321","54.40","209","162","56.33","22","12","64.71","10.53","92.59","391","406","49.06","217","221","49.54","6","5","54.55","2.76","97.74","7.99","92.63","1.006"
"31","Calgary Flames","24","1157.8833","15","4","5","13","35","0.729","1181","998","54.20","890","767","53.71","653","550","54.28","49","27","64.47","51.14","43.54","54.01","601","456","56.86","363","267","57.62","41","22","65.08","11.29","91.76","217","180","54.66","161","132","54.95","24","15","61.54","14.91","88.64","384","276","58.18","202","135","59.94","17","7","70.83","8.42","94.81","494","475","50.98","260","250","50.98","8","5","61.54","3.08","98.00","7.50","95.09","1.026"
"32","San Jose Sharks","24","1178.1167","13","10","1","13","27","0.563","997","1155","46.33","744","827","47.36","524","581","47.42","38","42","47.50","43.64","45.06","49.20","532","546","49.35","294","287","50.60","29","35","45.31","9.86","87.80","216","199","52.05","146","129","53.09","22","21","51.16","15.07","83.72","316","347","47.66","148","158","48.37","7","14","33.33","4.73","91.14","402","543","42.54","195","257","43.14","8","7","53.33","4.10","97.28","7.25","92.77","1.000"
