"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","47","2327.2833","28","11","8","26","64","0.681","2220","2039","52.12","1709","1512","53.06","1280","1140","52.89","103","82","55.68","100.57","88.43","53.21","1130","1018","52.61","705","621","53.17","93","75","55.36","13.19","87.92","447","391","53.34","353","311","53.16","60","55","52.17","17.00","82.32","683","627","52.14","352","310","53.17","33","20","62.26","9.38","93.55","960","880","52.17","523","459","53.26","10","7","58.82","1.91","98.47","8.05","92.81","1.009"
"2","Tampa Bay Lightning","46","2203.5667","30","10","6","28","66","0.717","1990","1857","51.73","1544","1430","51.92","1066","1053","50.31","98","80","55.06","92.65","79.96","53.68","1103","988","52.75","621","603","50.74","81","70","53.64","13.04","88.39","476","360","56.94","329","277","54.29","56","47","54.37","17.02","83.03","627","628","49.96","292","326","47.25","25","23","52.08","8.56","92.94","796","787","50.28","409","410","49.94","16","10","61.54","3.91","97.56","9.19","92.40","1.016"
"3","Seattle Kraken","47","2287.8","15","28","4","14","34","0.362","1939","1945","49.92","1446","1453","49.88","1046","1050","49.90","82","112","42.27","78.5","81.93","48.93","909","926","49.54","547","539","50.37","64","93","40.76","11.70","82.75","360","353","50.49","266","266","50.00","39","59","39.80","14.66","77.82","549","573","48.93","281","273","50.72","25","34","42.37","8.90","87.55","906","898","50.22","471","463","50.43","18","19","48.65","3.82","95.90","7.84","89.33","0.972"
"4","Vegas Golden Knights","48","2360.7167","28","17","3","24","59","0.615","2312","2154","51.77","1732","1529","53.11","1275","1124","53.15","110","97","53.14","107.44","99.43","51.94","1144","1133","50.24","688","637","51.92","96","83","53.63","13.95","86.97","481","478","50.16","354","339","51.08","65","61","51.59","18.36","82.01","663","655","50.30","334","298","52.85","31","22","58.49","9.28","92.62","988","863","53.38","526","430","55.02","14","13","51.85","2.66","96.98","8.63","91.37","1.000"
"5","Montreal Canadiens","45","2151.35","8","30","7","7","23","0.256","1851","2104","46.80","1363","1622","45.66","1021","1190","46.18","68","110","38.20","78.79","97.84","44.61","902","1088","45.33","519","650","44.40","60","97","38.22","11.56","85.08","373","442","45.77","269","323","45.44","36","71","33.64","13.38","78.02","529","646","45.02","250","327","43.33","24","26","48.00","9.60","92.05","788","870","47.53","441","480","47.88","8","13","38.10","1.81","97.29","6.66","90.76","0.974"
"6","Toronto Maple Leafs","43","2125.1333","30","10","3","28","63","0.733","2110","1891","52.74","1583","1466","51.92","1164","1070","52.10","103","87","54.21","101.56","84.79","54.50","1200","956","55.66","740","585","55.85","92","80","53.49","12.43","86.32","461","389","54.24","356","283","55.71","59","56","51.30","16.57","80.21","739","567","56.58","384","302","55.98","33","24","57.89","8.59","92.05","819","820","49.97","388","425","47.72","10","7","58.82","2.58","98.35","8.85","91.87","1.007"
"7","New York Rangers","47","2283.1667","30","13","4","27","64","0.681","1808","2273","44.30","1368","1684","44.82","992","1191","45.44","86","85","50.29","83.24","101.32","45.10","886","1170","43.09","525","651","44.64","71","75","48.63","13.52","88.48","395","468","45.77","289","333","46.46","48","54","47.06","16.61","83.78","491","702","41.16","236","318","42.60","23","21","52.27","9.75","93.40","797","980","44.85","411","494","45.41","15","10","60.00","3.65","97.98","8.67","92.86","1.015"
"8","Washington Capitals","48","2354.6167","25","14","9","23","59","0.615","2193","2058","51.59","1664","1526","52.16","1184","1089","52.09","108","82","56.84","96.76","90.29","51.73","1113","1052","51.41","653","603","51.99","93","66","58.49","14.24","89.05","419","410","50.54","292","281","50.96","56","44","56.00","19.18","84.34","694","642","51.95","361","322","52.86","37","22","62.71","10.25","93.17","938","862","52.11","479","442","52.01","15","16","48.39","3.13","96.38","9.12","92.47","1.016"
"9","Chicago Blackhawks","47","2269.7167","17","23","7","14","41","0.436","1920","2193","46.68","1392","1566","47.06","1027","1156","47.05","69","96","41.82","77.79","90.7","46.17","899","1067","45.73","536","641","45.54","59","83","41.55","11.01","87.05","338","353","48.91","250","283","46.90","36","52","40.91","14.40","81.63","561","714","44.00","286","358","44.41","23","31","42.59","8.04","91.34","901","993","47.57","457","480","48.77","10","13","43.48","2.19","97.29","6.72","91.70","0.984"
"10","Colorado Avalanche","44","2057.6","32","8","4","29","68","0.773","2064","1819","53.15","1488","1374","51.99","1144","1031","52.60","109","79","57.98","85.83","77.12","52.67","995","856","53.75","603","525","53.46","89","65","57.79","14.76","87.62","381","354","51.84","293","262","52.79","60","39","60.61","20.48","85.11","614","502","55.02","310","263","54.10","29","26","52.73","9.35","90.11","935","816","53.40","483","455","51.49","20","14","58.82","4.14","96.92","9.53","92.34","1.019"
