"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","37","1833.0333","22","10","5","21","49","0.662","1787","1597","52.81","1383","1196","53.63","1034","902","53.41","83","66","55.70","81.98","69.71","54.05","911","803","53.15","570","492","53.67","76","61","55.47","13.33","87.60","353","311","53.16","277","248","52.76","48","41","53.93","17.33","83.47","558","492","53.14","293","244","54.56","28","20","58.33","9.56","91.80","771","685","52.95","425","362","54.00","7","5","58.33","1.65","98.62","8.03","92.68","1.007"
"2","Tampa Bay Lightning","40","1915.1333","26","9","5","24","57","0.713","1727","1603","51.86","1344","1230","52.21","929","918","50.30","85","70","54.84","79.52","68.6","53.69","951","854","52.69","536","530","50.28","72","60","54.55","13.43","88.68","404","301","57.30","281","238","54.14","48","40","54.55","17.08","83.19","547","553","49.73","255","292","46.62","24","20","54.55","9.41","93.15","693","679","50.51","359","354","50.35","12","10","54.55","3.34","97.18","9.15","92.37","1.015"
"3","Seattle Kraken","37","1835.1","10","23","4","10","24","0.324","1482","1560","48.72","1119","1176","48.76","812","864","48.45","64","97","39.75","61.09","66.53","47.87","690","727","48.69","428","445","49.03","50","79","38.76","11.68","82.25","277","276","50.09","209","217","49.06","32","51","38.55","15.31","76.50","413","451","47.80","219","228","48.99","18","28","39.13","8.22","87.72","700","738","48.68","366","381","49.00","14","18","43.75","3.83","95.28","7.88","88.77","0.967"
"4","Vegas Golden Knights","39","1918.75","23","14","2","20","48","0.615","1906","1747","52.18","1421","1242","53.36","1055","908","53.74","95","81","53.98","86.95","79.01","52.39","925","902","50.63","560","502","52.73","84","69","54.90","15.00","86.25","388","377","50.72","288","259","52.65","57","52","52.29","19.79","79.92","537","525","50.56","272","243","52.82","27","17","61.36","9.93","93.00","831","717","53.68","451","362","55.47","11","11","50.00","2.44","96.96","9.00","91.08","1.001"
"5","Montreal Canadiens","36","1720.3","7","24","5","6","19","0.264","1511","1650","47.80","1105","1271","46.51","826","944","46.67","53","77","40.77","64.67","76.23","45.90","742","856","46.43","421","515","44.98","47","67","41.23","11.16","86.99","307","342","47.30","224","254","46.86","27","53","33.75","12.05","79.13","435","514","45.84","197","261","43.01","20","14","58.82","10.15","94.64","655","684","48.92","365","382","48.86","6","10","37.50","1.64","97.38","6.42","91.84","0.983"
"6","Toronto Maple Leafs","36","1772.7","24","9","3","23","51","0.708","1778","1593","52.74","1335","1242","51.80","975","901","51.97","81","67","54.73","84.66","69.89","54.78","1003","816","55.14","614","493","55.47","71","61","53.79","11.56","87.63","382","330","53.65","290","233","55.45","47","42","52.81","16.21","81.97","621","486","56.10","324","260","55.48","24","19","55.81","7.41","92.69","693","682","50.40","328","357","47.88","10","6","62.50","3.05","98.32","8.31","92.56","1.009"
"7","New York Rangers","39","1894.7167","25","10","4","23","54","0.692","1481","1869","44.21","1126","1387","44.81","821","977","45.66","67","68","49.63","67.4","81.14","45.38","737","954","43.58","442","522","45.85","56","60","48.28","12.67","88.51","329","372","46.93","239","262","47.70","37","42","46.84","15.48","83.97","408","582","41.21","203","260","43.84","19","18","51.35","9.36","93.08","647","814","44.28","335","418","44.49","11","8","57.89","3.28","98.09","8.16","93.04","1.012"
"8","Washington Capitals","38","1862.9333","21","8","9","19","51","0.671","1730","1580","52.27","1327","1174","53.06","956","849","52.96","90","67","57.32","76.73","68.98","52.66","871","821","51.48","524","477","52.35","79","54","59.40","15.08","88.68","329","323","50.46","234","219","51.66","47","38","55.29","20.09","82.65","542","498","52.12","290","258","52.92","32","16","66.67","11.03","93.80","749","650","53.54","390","337","53.65","11","13","45.83","2.82","96.14","9.41","92.11","1.015"
"9","Chicago Blackhawks","38","1825.15","15","18","5","12","35","0.461","1520","1721","46.90","1087","1248","46.55","802","920","46.57","55","76","41.98","62.13","72.63","46.10","725","853","45.94","426","510","45.51","47","64","42.34","11.03","87.45","269","286","48.47","200","232","46.30","29","41","41.43","14.50","82.33","456","567","44.57","226","278","44.84","18","23","43.90","7.96","91.73","698","769","47.58","348","386","47.41","8","12","40.00","2.30","96.89","6.86","91.74","0.986"
"10","Colorado Avalanche","35","1634.5333","24","8","3","22","51","0.729","1645","1417","53.72","1190","1065","52.77","920","802","53.43","95","70","57.58","68.64","60.31","53.23","812","664","55.01","496","404","55.11","77","58","57.04","15.52","85.64","300","266","53.00","239","201","54.32","51","34","60.00","21.34","83.08","512","398","56.26","257","203","55.87","26","24","52.00","10.12","88.18","730","640","53.28","377","359","51.22","18","12","60.00","4.77","96.66","10.33","91.27","1.016"
"11","Vancouver Canucks","37","1782.1","16","18","3","13","35","0.473","1678","1658","50.30","1231","1214","50.35","926","902","50.66","57","58","49.57","69.08","71.4","49.17","807","846","48.82","475","502","48.62","47","50","48.45","9.89","90.04","297","323","47.90","219","247","47.00","28","34","45.16","12.79","86.23","510","523","49.37","256","255","50.10","19","16","54.29","7.42","93.73","746","705","51.41","404","364","52.60","10","8","55.56","2.48","97.80","6.16","93.57","0.997"
"12","Edmonton Oilers","35","1712.3167","18","15","2","16","38","0.543","1620","1523","51.54","1198","1186","50.25","881","897","49.55","71","83","46.10","70.41","68.66","50.63","775","778","49.90","447","493","47.55","63","62","50.40","14.09","87.42","301","329","47.78","227","247","47.89","46","44","51.11","20.26","82.19","474","449","51.35","220","246","47.21","17","18","48.57","7.73","92.68","741","635","53.85","404","361","52.81","8","20","28.57","1.98","94.46","8.06","90.75","0.988"
