"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","51","2523.4667","31","12","8","29","70","0.686","2436","2203","52.51","1877","1636","53.43","1405","1232","53.28","110","90","55.00","109.57","95.22","53.50","1217","1097","52.59","766","670","53.34","99","81","55.00","12.92","87.91","478","416","53.47","378","330","53.39","65","59","52.42","17.20","82.12","739","681","52.04","388","340","53.30","34","22","60.71","8.76","93.53","1070","958","52.76","577","497","53.72","11","9","55.00","1.91","98.19","7.83","92.69","1.005"
"2","Tampa Bay Lightning","49","2351.1667","32","11","6","30","70","0.714","2123","2005","51.43","1645","1532","51.78","1148","1129","50.42","110","85","56.41","99.43","85.69","53.71","1171","1060","52.49","668","644","50.91","91","74","55.15","13.62","88.51","512","381","57.33","356","291","55.02","60","50","54.55","16.85","82.82","659","679","49.25","312","353","46.92","31","24","56.36","9.94","93.20","849","853","49.88","443","443","50.00","18","11","62.07","4.06","97.52","9.58","92.47","1.021"
"3","Seattle Kraken","51","2494.55","16","31","4","15","36","0.353","2110","2126","49.81","1566","1595","49.54","1121","1151","49.34","90","122","42.45","84.7","91.02","48.20","983","1022","49.03","582","592","49.57","70","102","40.70","12.03","82.77","379","398","48.78","278","300","48.10","43","64","40.19","15.47","78.67","604","624","49.19","304","292","51.01","27","38","41.54","8.88","86.99","990","971","50.48","508","501","50.35","20","20","50.00","3.94","96.01","8.03","89.40","0.974"
"4","Vegas Golden Knights","50","2459.6667","28","18","4","24","60","0.600","2404","2265","51.49","1797","1601","52.88","1316","1170","52.94","112","100","52.83","111.34","104.03","51.70","1191","1194","49.94","706","663","51.57","96","85","53.04","13.60","87.18","496","503","49.65","360","351","50.63","65","63","50.78","18.06","82.05","695","691","50.14","346","312","52.58","31","22","58.49","8.96","92.95","1024","904","53.11","546","447","54.98","16","14","53.33","2.93","96.87","8.51","91.45","1.000"
"5","Montreal Canadiens","49","2335.2333","9","33","7","8","25","0.255","2038","2272","47.29","1500","1752","46.13","1124","1294","46.48","74","120","38.14","86.85","107.12","44.78","995","1182","45.71","574","715","44.53","64","104","38.10","11.15","85.45","406","481","45.77","296","353","45.61","39","76","33.91","13.18","78.47","589","701","45.66","278","362","43.44","25","28","47.17","8.99","92.27","860","933","47.96","483","514","48.45","10","16","38.46","2.07","96.89","6.58","90.73","0.973"
"6","Toronto Maple Leafs","48","2369.65","32","13","3","30","67","0.698","2382","2105","53.09","1794","1636","52.30","1316","1195","52.41","113","100","53.05","111.98","94","54.36","1326","1058","55.62","814","653","55.49","99","92","51.83","12.16","85.91","504","424","54.31","382","311","55.12","62","62","50.00","16.23","80.06","822","634","56.46","432","342","55.81","37","30","55.22","8.56","91.23","950","912","51.02","459","473","49.25","13","8","61.90","2.83","98.31","8.59","91.63","1.002"
"7","New York Rangers","49","2391.0667","31","13","5","27","67","0.684","1912","2359","44.77","1446","1747","45.29","1050","1243","45.79","88","88","50.00","88.73","105.29","45.73","940","1214","43.64","557","677","45.14","73","76","48.99","13.11","88.77","423","488","46.43","310","350","46.97","50","55","47.62","16.13","84.29","517","726","41.59","247","327","43.03","23","21","52.27","9.31","93.58","844","1014","45.43","436","513","45.94","15","12","55.56","3.44","97.66","8.38","92.92","1.013"
"8","Washington Capitals","52","2538.6","28","15","9","26","65","0.625","2349","2249","51.09","1777","1673","51.51","1272","1197","51.52","117","89","56.80","103.39","98.59","51.19","1185","1133","51.12","700","657","51.58","100","73","57.80","14.29","88.89","445","444","50.06","315","309","50.48","60","50","54.55","19.05","83.82","740","689","51.78","385","348","52.52","40","23","63.49","10.39","93.39","1012","957","51.40","517","490","51.34","17","16","51.52","3.29","96.73","9.20","92.56","1.018"
"9","Chicago Blackhawks","51","2471.4","18","25","8","15","44","0.431","2089","2391","46.63","1509","1708","46.91","1113","1259","46.92","74","106","41.11","84.34","99.04","45.99","975","1165","45.56","581","691","45.68","64","91","41.29","11.02","86.83","370","383","49.14","273","304","47.31","39","57","40.63","14.29","81.25","605","782","43.62","308","387","44.32","25","34","42.37","8.12","91.21","981","1088","47.41","493","529","48.24","10","15","40.00","2.03","97.16","6.65","91.58","0.982"
"10","Colorado Avalanche","49","2302.6","36","9","4","33","76","0.776","2338","2028","53.55","1679","1518","52.52","1291","1136","53.19","119","85","58.33","97.6","85.43","53.33","1130","954","54.22","684","577","54.24","97","70","58.08","14.18","87.87","446","400","52.72","341","294","53.70","64","42","60.38","18.77","85.71","684","554","55.25","343","283","54.79","33","28","54.10","9.62","90.11","1050","907","53.65","542","504","51.82","22","15","59.46","4.06","97.02","9.22","92.52","1.017"
