"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","69","3388.9333","41","18","10","38","92","0.667","3247","2968","52.24","2507","2220","53.04","1864","1656","52.95","147","126","53.85","147.41","128.72","53.38","1621","1444","52.89","1020","898","53.18","130","115","53.06","12.75","87.19","653","568","53.48","522","451","53.65","91","82","52.60","17.43","81.82","968","876","52.49","498","447","52.70","39","33","54.17","7.83","92.62","1423","1323","51.82","756","677","52.76","17","11","60.71","2.25","98.38","7.89","92.39","1.003"
"2","Tampa Bay Lightning","66","3142.5333","42","18","6","40","90","0.682","2827","2718","50.98","2190","2075","51.35","1534","1510","50.39","140","115","54.90","134.94","118.31","53.28","1563","1432","52.19","903","850","51.51","119","101","54.09","13.18","88.12","670","528","55.93","468","395","54.23","78","72","52.00","16.67","81.77","893","904","49.69","435","455","48.88","41","29","58.57","9.43","93.63","1134","1151","49.63","583","601","49.24","20","14","58.82","3.43","97.67","9.13","92.38","1.015"
"3","Seattle Kraken","67","3271.4167","21","40","6","19","48","0.358","2844","2835","50.08","2115","2151","49.58","1526","1541","49.76","122","156","43.88","116.06","125.02","48.14","1341","1386","49.17","796","797","49.97","98","132","42.61","12.31","83.44","524","557","48.47","389","405","48.99","63","88","41.72","16.20","78.27","817","829","49.64","407","392","50.94","35","44","44.30","8.60","88.78","1315","1274","50.79","684","671","50.48","24","24","50.00","3.51","96.42","7.99","89.88","0.979"
"4","Vegas Golden Knights","69","3398.9333","37","28","4","33","78","0.565","3432","3117","52.40","2567","2213","53.70","1876","1629","53.52","149","139","51.74","155.48","140.92","52.46","1697","1612","51.28","1010","913","52.52","130","115","53.06","12.87","87.40","710","668","51.52","510","472","51.93","88","81","52.07","17.25","82.84","987","944","51.11","500","441","53.13","42","34","55.26","8.40","92.29","1455","1258","53.63","773","627","55.21","18","23","43.90","2.33","96.33","7.94","91.47","0.994"
"5","Montreal Canadiens","68","3228.9","18","39","11","16","47","0.346","2776","3183","46.58","2053","2424","45.86","1547","1792","46.33","114","156","42.22","123.91","152.36","44.85","1365","1674","44.92","792","1004","44.10","98","136","41.88","12.37","86.45","562","709","44.22","401","514","43.83","55","99","35.71","13.72","80.74","803","965","45.42","391","490","44.38","43","37","53.75","11.00","92.45","1171","1295","47.49","667","707","48.54","16","19","45.71","2.40","97.31","7.37","91.29","0.987"
"6","Toronto Maple Leafs","67","3291.1667","43","19","5","41","91","0.679","3355","2879","53.82","2533","2218","53.32","1835","1637","52.85","165","151","52.22","157.32","126.78","55.38","1846","1429","56.37","1101","872","55.80","147","134","52.31","13.35","84.63","715","575","55.43","518","422","55.11","92","88","51.11","17.76","79.15","1131","854","56.98","583","450","56.44","55","46","54.46","9.43","89.78","1354","1258","51.84","675","671","50.15","17","17","50.00","2.52","97.47","8.99","90.78","0.998"
"7","New York Rangers","68","3346.1333","44","19","5","40","93","0.684","2714","3174","46.09","2059","2359","46.60","1498","1689","47.00","129","124","50.99","125.15","144.87","46.35","1354","1655","45.00","804","933","46.29","109","109","50.00","13.56","88.32","596","674","46.93","444","484","47.84","76","76","50.00","17.12","84.30","758","981","43.59","360","449","44.50","33","33","50.00","9.17","92.65","1192","1333","47.21","628","683","47.90","20","15","57.14","3.18","97.80","8.61","92.66","1.013"
"8","Washington Capitals","68","3309.9833","37","21","10","32","84","0.618","3015","2993","50.18","2314","2222","51.01","1646","1575","51.10","146","125","53.87","133.2","131.3","50.36","1515","1487","50.47","890","855","51.00","124","104","54.39","13.93","87.84","567","583","49.30","391","412","48.69","71","72","49.65","18.16","82.52","948","904","51.19","499","443","52.97","53","32","62.35","10.62","92.78","1298","1291","50.14","676","656","50.75","22","21","51.16","3.25","96.80","8.87","92.06","1.009"
"9","Chicago Blackhawks","68","3318.4167","24","34","10","20","58","0.426","2789","3246","46.21","2023","2344","46.32","1511","1745","46.41","117","153","43.33","114.47","137.34","45.46","1316","1576","45.50","803","942","46.02","101","131","43.53","12.58","86.09","493","551","47.22","373","425","46.74","59","81","42.14","15.82","80.94","823","1025","44.53","430","517","45.41","42","50","45.65","9.77","90.33","1284","1470","46.62","646","748","46.34","16","22","42.11","2.48","97.06","7.74","91.23","0.990"
"10","Colorado Avalanche","68","3218","48","14","6","45","102","0.750","3300","2878","53.42","2391","2174","52.38","1830","1635","52.81","156","116","57.35","137.96","123.24","52.82","1598","1349","54.22","961","829","53.69","128","97","56.89","13.32","88.30","602","578","51.02","453","426","51.54","81","60","57.45","17.88","85.92","996","771","56.37","508","403","55.76","47","37","55.95","9.25","90.82","1480","1306","53.12","782","733","51.62","28","18","60.87","3.58","97.54","8.52","92.91","1.014"
