"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","57","2815.35","34","14","9","32","77","0.675","2727","2455","52.62","2106","1834","53.45","1574","1377","53.34","119","102","53.85","123.16","107.84","53.32","1353","1218","52.63","852","744","53.38","107","92","53.77","12.56","87.63","540","472","53.36","429","372","53.56","72","70","50.70","16.78","81.18","813","746","52.15","423","372","53.21","35","22","61.40","8.27","94.09","1203","1075","52.81","650","561","53.67","12","10","54.55","1.85","98.22","7.56","92.59","1.002"
"2","Tampa Bay Lightning","54","2592.7333","36","12","6","34","78","0.722","2313","2220","51.03","1795","1695","51.43","1248","1238","50.20","119","93","56.13","108.34","94.19","53.49","1276","1160","52.38","725","702","50.81","99","81","55.00","13.66","88.46","552","416","57.02","384","317","54.78","65","57","53.28","16.93","82.02","724","744","49.32","341","385","46.97","34","24","58.62","9.97","93.77","930","951","49.44","484","487","49.85","19","12","61.29","3.93","97.54","9.54","92.49","1.020"
"3","Seattle Kraken","56","2730.3","17","34","5","16","39","0.348","2356","2352","50.04","1744","1777","49.53","1243","1285","49.17","98","136","41.88","94.39","101.51","48.18","1101","1125","49.46","648","657","49.66","78","115","40.41","12.04","82.50","425","443","48.96","311","336","48.07","50","74","40.32","16.08","77.98","676","682","49.78","337","321","51.22","28","41","40.58","8.31","87.23","1099","1082","50.39","558","564","49.73","20","21","48.78","3.58","96.28","7.88","89.42","0.973"
"4","Vegas Golden Knights","56","2756.8333","31","21","4","27","66","0.589","2733","2518","52.05","2040","1782","53.38","1496","1307","53.37","126","113","52.72","124.98","114.75","52.13","1355","1312","50.81","798","729","52.26","109","93","53.96","13.66","87.24","558","547","50.50","401","384","51.08","72","68","51.43","17.96","82.29","797","765","51.02","397","345","53.50","37","25","59.68","9.32","92.75","1164","1011","53.52","625","503","55.41","16","19","45.71","2.56","96.22","8.42","91.35","0.998"
"5","Montreal Canadiens","55","2616.5167","14","34","7","12","35","0.318","2280","2528","47.42","1687","1940","46.51","1270","1433","46.98","91","127","41.74","100.46","118.39","45.90","1124","1313","46.12","657","791","45.37","78","110","41.49","11.87","86.09","465","533","46.59","339","388","46.63","46","80","36.51","13.57","79.38","659","780","45.80","318","403","44.11","32","30","51.61","10.06","92.56","954","1045","47.72","538","574","48.38","13","17","43.33","2.42","97.04","7.17","91.14","0.983"
"6","Toronto Maple Leafs","54","2669.5167","35","15","4","33","74","0.685","2689","2351","53.35","2019","1825","52.52","1484","1344","52.48","132","120","52.38","123.72","103.97","54.34","1472","1164","55.84","895","716","55.56","117","107","52.23","13.07","85.06","558","469","54.33","417","344","54.80","75","72","51.02","17.99","79.07","914","695","56.81","478","372","56.24","42","35","54.55","8.79","90.59","1090","1030","51.42","537","546","49.58","14","13","51.85","2.61","97.62","8.89","91.07","1.000"
"7","New York Rangers","55","2685.3333","35","15","5","31","75","0.682","2161","2638","45.03","1638","1950","45.65","1186","1394","45.97","101","97","51.01","100.21","116.98","46.14","1076","1358","44.21","631","761","45.33","85","85","50.00","13.47","88.83","481","545","46.88","350","393","47.11","58","60","49.15","16.57","84.73","595","813","42.26","281","368","43.30","27","25","51.92","9.61","93.21","947","1129","45.62","496","572","46.44","16","12","57.14","3.23","97.90","8.52","93.04","1.016"
"8","Washington Capitals","56","2723.3","29","18","9","27","67","0.598","2512","2426","50.87","1905","1800","51.42","1368","1287","51.53","121","98","55.25","109.88","105.75","50.96","1255","1225","50.60","739","706","51.14","103","81","55.98","13.94","88.53","475","484","49.53","336","339","49.78","62","57","52.10","18.45","83.19","780","741","51.28","403","367","52.34","41","24","63.08","10.17","93.46","1094","1032","51.46","566","527","51.78","18","17","51.43","3.18","96.77","8.85","92.39","1.012"
"9","Chicago Blackhawks","55","2664.9","20","27","8","17","48","0.436","2261","2573","46.77","1637","1842","47.05","1214","1365","47.07","82","116","41.41","91.08","107.55","45.85","1060","1242","46.05","629","735","46.11","68","99","40.72","10.81","86.53","398","418","48.77","292","330","46.95","42","63","40.00","14.38","80.91","662","824","44.55","337","405","45.42","26","36","41.94","7.72","91.11","1059","1183","47.23","542","589","47.92","14","17","45.16","2.58","97.11","6.75","91.50","0.983"
"10","Colorado Avalanche","55","2596.8","40","11","4","37","84","0.764","2648","2294","53.58","1904","1727","52.44","1464","1298","53.01","136","99","57.87","110.49","98.71","52.82","1290","1079","54.45","784","665","54.11","111","83","57.22","14.16","87.52","502","463","52.02","382","345","52.54","73","52","58.40","19.11","84.93","788","616","56.13","402","320","55.68","38","31","55.07","9.45","90.31","1182","1033","53.36","608","572","51.53","25","16","60.98","4.11","97.20","9.29","92.37","1.017"
