"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","38","1840.1833","11","20","7","10","29","0.382","1669","1755","48.74","1216","1267","48.97","859","907","48.64","79","98","44.63","81.6","77","51.45","923","898","50.69","512","507","50.25","67","87","43.51","13.09","82.84","400","322","55.40","259","226","53.40","38","45","45.78","14.67","80.09","523","576","47.59","253","281","47.38","29","42","40.85","11.46","85.05","633","734","46.31","305","350","46.56","12","11","52.17","3.93","96.86","9.20","89.20","0.984"
"2","Nashville Predators","35","1649.1667","15","14","6","13","36","0.514","1607","1654","49.28","1179","1213","49.29","829","876","48.62","59","62","48.76","75.39","77.13","49.43","801","852","48.46","428","483","46.98","46","53","46.46","10.75","89.03","330","342","49.11","228","237","49.03","33","29","53.23","14.47","87.76","471","510","48.01","200","246","44.84","13","24","35.14","6.50","90.24","684","664","50.74","356","338","51.30","13","9","59.09","3.65","97.34","7.12","92.92","1.000"
"3","Tampa Bay Lightning","35","1653.2833","23","11","1","22","47","0.671","1589","1479","51.79","1189","1098","51.99","850","825","50.75","76","66","53.52","81.55","70.42","53.66","918","794","53.62","521","445","53.93","64","55","53.78","12.28","87.64","427","310","57.94","282","224","55.73","46","31","59.74","16.31","86.16","491","484","50.36","239","221","51.96","18","24","42.86","7.53","89.14","582","591","49.62","294","343","46.15","11","11","50.00","3.74","96.79","8.94","92.00","1.009"
"4","New York Rangers","37","1788.85","19","12","6","18","44","0.595","1687","1593","51.43","1261","1161","52.06","904","843","51.75","76","67","53.15","76.02","73.9","50.71","855","846","50.26","461","470","49.52","60","53","53.10","13.02","88.72","346","348","49.86","234","243","49.06","42","35","54.55","17.95","85.60","509","498","50.55","227","227","50.00","18","18","50.00","7.93","92.07","709","620","53.35","405","334","54.80","16","14","53.33","3.95","95.81","8.41","92.05","1.005"
"5","Vegas Golden Knights","39","1933.6667","25","12","2","22","52","0.667","1866","1904","49.50","1351","1320","50.58","991","949","51.08","79","79","50.00","87.73","77.73","53.02","949","924","50.67","555","491","53.06","70","64","52.24","12.61","86.97","409","338","54.75","291","233","55.53","43","37","53.75","14.78","84.12","540","586","47.96","264","258","50.57","27","27","50.00","10.23","89.53","734","806","47.66","374","403","48.13","9","14","39.13","2.41","96.53","7.97","91.68","0.996"
"6","Los Angeles Kings","40","1891.8667","21","13","6","17","48","0.600","1860","1738","51.70","1380","1214","53.20","997","850","53.98","81","78","50.94","82.9","74.04","52.82","958","890","51.84","562","479","53.99","72","67","51.80","12.81","86.01","387","355","52.16","268","236","53.17","42","42","50.00","15.67","82.20","571","535","51.63","294","243","54.75","30","25","54.55","10.20","89.71","762","685","52.66","399","320","55.49","9","11","45.00","2.26","96.56","8.12","90.82","0.989"
"7","Boston Bruins","36","1684.6333","28","4","4","26","60","0.833","1640","1474","52.67","1236","1080","53.37","927","791","53.96","82","50","62.12","78.92","64.1","55.18","885","739","54.50","524","409","56.16","68","44","60.71","12.98","89.24","369","298","55.32","271","213","55.99","45","26","63.38","16.61","87.79","516","441","53.92","253","196","56.35","23","18","56.10","9.09","90.82","673","628","51.73","365","325","52.90","14","6","70.00","3.84","98.15","8.85","93.68","1.025"
"8","Washington Capitals","39","1864.6667","21","13","5","21","47","0.603","1821","1774","50.65","1330","1296","50.65","952","914","51.02","80","69","53.69","82.55","78.15","51.37","912","871","51.15","528","478","52.49","73","58","55.73","13.83","87.87","360","347","50.92","245","231","51.47","42","40","51.22","17.14","82.68","552","524","51.30","283","247","53.40","31","18","63.27","10.95","92.71","734","766","48.93","351","388","47.50","7","11","38.89","1.99","97.16","8.40","92.45","1.009"
"9","Columbus Blue Jackets","35","1700.8667","11","22","2","11","24","0.343","1524","1829","45.45","1112","1341","45.33","795","969","45.07","63","97","39.38","64.92","80.39","44.68","702","879","44.40","417","490","45.98","46","82","35.94","11.03","83.27","262","356","42.39","184","238","43.60","25","51","32.89","13.59","78.57","440","523","45.69","233","252","48.04","21","31","40.38","9.01","87.70","672","812","45.28","340","434","43.93","17","15","53.13","5.00","96.54","7.92","89.99","0.979"
"10","Carolina Hurricanes","36","1699.4","24","6","6","22","54","0.750","1887","1266","59.85","1401","963","59.26","963","696","58.05","74","51","59.20","87.23","60.23","59.16","929","631","59.55","509","385","56.94","63","44","58.88","12.38","88.57","405","297","57.69","277","207","57.23","40","26","60.61","14.44","87.44","524","334","61.07","232","178","56.59","23","18","56.10","9.91","89.89","796","500","61.42","420","258","61.95","11","7","61.11","2.62","97.29","7.68","92.67","1.004"
