"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","20","976.9333","6","11","3","5","15","0.375","891","947","48.48","646","703","47.89","461","494","48.27","39","53","42.39","41.56","41.35","50.13","489","490","49.95","275","277","49.82","28","45","38.36","10.18","83.75","205","173","54.23","138","120","53.49","13","23","36.11","9.42","80.83","284","317","47.25","137","157","46.60","15","22","40.54","10.95","85.99","344","396","46.49","164","185","46.99","11","8","57.89","6.71","95.68","8.46","89.27","0.977"
"2","Nashville Predators","18","809.3833","8","8","2","7","18","0.500","782","807","49.21","575","587","49.48","393","419","48.40","33","37","47.14","36.68","36.71","49.98","391","412","48.69","205","237","46.38","26","31","45.61","12.68","86.92","146","164","47.10","100","112","47.17","19","19","50.00","19.00","83.04","245","248","49.70","105","125","45.65","7","12","36.84","6.67","90.40","337","324","50.98","171","159","51.82","7","6","53.85","4.09","96.23","8.40","91.17","0.996"
"3","Tampa Bay Lightning","18","813.55","11","6","1","11","23","0.639","774","759","50.49","566","554","50.54","408","404","50.25","37","35","51.39","39.38","36.34","52.01","456","427","51.64","249","224","52.64","28","33","45.90","11.24","85.27","207","161","56.25","135","110","55.10","19","17","52.78","14.07","84.55","249","266","48.35","114","114","50.00","9","16","36.00","7.89","85.96","269","284","48.64","141","164","46.23","9","2","81.82","6.38","98.78","9.07","91.34","1.004"
"4","New York Rangers","19","898.4","9","6","4","9","22","0.579","885","767","53.57","666","554","54.59","477","403","54.20","34","35","49.28","42.48","35.46","54.50","473","405","53.87","258","219","54.09","29","30","49.15","11.24","86.30","192","167","53.48","127","117","52.05","19","18","51.35","14.96","84.62","281","238","54.14","131","102","56.22","10","12","45.45","7.63","88.24","352","308","53.33","203","167","54.86","5","5","50.00","2.46","97.01","7.13","91.32","0.984"
"5","Vegas Golden Knights","19","930.1167","14","4","1","14","29","0.763","910","929","49.48","668","625","51.66","505","443","53.27","45","32","58.44","45.41","36.47","55.46","491","454","51.96","295","231","56.08","38","27","58.46","12.88","88.31","214","164","56.61","160","105","60.38","21","16","56.76","13.13","84.76","277","290","48.85","135","126","51.72","17","11","60.71","12.59","91.27","340","392","46.45","179","186","49.04","7","4","63.64","3.91","97.85","8.91","92.78","1.017"
"6","Los Angeles Kings","21","979.4833","11","8","2","10","24","0.571","980","882","52.63","722","621","53.76","518","450","53.51","43","43","50.00","44.05","36.64","54.59","500","433","53.59","290","251","53.60","39","38","50.65","13.45","84.86","206","178","53.65","143","125","53.36","24","23","51.06","16.78","81.60","294","255","53.55","147","126","53.85","15","15","50.00","10.20","88.10","408","353","53.61","207","166","55.50","4","5","44.44","1.93","96.99","8.30","90.44","0.987"
"7","Boston Bruins","18","829.2667","16","2","0","15","32","0.889","796","727","52.27","600","541","52.59","444","398","52.73","43","24","64.18","37.14","30.28","55.09","426","346","55.18","242","200","54.75","35","21","62.50","14.46","89.50","173","138","55.63","120","99","54.79","23","10","69.70","19.17","89.90","253","208","54.88","122","101","54.71","12","11","52.17","9.84","89.11","333","326","50.53","181","168","51.86","8","3","72.73","4.42","98.21","9.68","93.97","1.037"
"8","Washington Capitals","20","934.4167","7","10","3","7","17","0.425","928","888","51.10","666","660","50.23","455","475","48.92","36","40","47.37","38.41","41.79","47.90","446","447","49.94","236","250","48.56","35","36","49.30","14.83","85.60","175","186","48.48","110","127","46.41","17","27","38.64","15.45","78.74","271","261","50.94","126","123","50.60","18","9","66.67","14.29","92.68","393","374","51.24","176","200","46.81","1","4","20.00","0.57","98.00","7.91","91.58","0.995"
"9","Columbus Blue Jackets","18","895.5667","7","10","1","7","15","0.417","785","1004","43.88","581","737","44.08","432","541","44.40","40","60","40.00","34.04","43.34","43.99","363","475","43.32","226","272","45.38","31","51","37.80","13.72","81.25","129","178","42.02","96","131","42.29","19","31","38.00","19.79","76.34","234","297","44.07","130","141","47.97","12","20","37.50","9.23","85.82","344","455","43.05","183","245","42.76","9","9","50.00","4.92","96.33","9.26","88.91","0.982"
"10","Carolina Hurricanes","18","838.2667","10","5","3","8","23","0.639","962","578","62.47","708","444","61.46","475","322","59.60","38","26","59.38","42","28.65","59.44","461","286","61.71","247","182","57.58","32","21","60.38","12.96","88.46","194","144","57.40","128","100","56.14","18","13","58.06","14.06","87.00","267","142","65.28","119","82","59.20","14","8","63.64","11.76","90.24","416","233","64.10","209","118","63.91","6","5","54.55","2.87","95.76","8.00","91.93","0.999"
