"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","18","886.8333","8","6","4","7","20","0.556","857","786","52.16","668","580","53.53","511","447","53.34","40","33","54.79","38.72","32.04","54.72","425","396","51.77","271","244","52.62","39","30","56.52","14.39","87.70","173","145","54.40","143","117","55.00","27","19","58.70","18.88","83.76","252","251","50.10","128","127","50.20","12","11","52.17","9.38","91.34","390","344","53.13","219","184","54.34","1","3","25.00","0.46","98.37","7.83","92.62","1.004"
"2","Tampa Bay Lightning","17","799.1","10","4","3","8","23","0.676","712","674","51.37","558","509","52.30","396","377","51.23","32","30","51.61","32.14","27.87","53.56","384","347","52.53","222","216","50.68","26","26","50.00","11.71","87.96","162","118","57.86","113","94","54.59","19","17","52.78","16.81","81.91","222","229","49.22","109","122","47.19","7","9","43.75","6.42","92.62","293","293","50.00","159","145","52.30","6","4","60.00","3.77","97.24","8.08","92.04","1.001"
"3","Seattle Kraken","18","876.7333","5","12","1","5","11","0.306","748","691","51.98","566","519","52.17","404","381","51.46","32","50","39.02","32.12","29.42","52.19","368","334","52.42","237","213","52.67","29","43","40.28","12.24","79.81","148","123","54.61","116","105","52.49","15","28","34.88","12.93","73.33","220","211","51.04","121","108","52.84","14","15","48.28","11.57","86.11","334","318","51.23","160","153","51.12","3","7","30.00","1.88","95.42","7.92","86.88","0.948"
"4","Vegas Golden Knights","19","932.6667","11","8","0","10","22","0.579","895","942","48.72","667","681","49.48","496","513","49.16","44","44","50.00","41.16","46.47","46.97","437","508","46.24","269","302","47.11","39","40","49.37","14.50","86.75","195","212","47.91","142","158","47.33","28","32","46.67","19.72","79.75","242","296","44.98","127","144","46.86","11","8","57.89","8.66","94.44","386","368","51.19","199","192","50.90","5","4","55.56","2.51","97.92","8.87","91.42","1.003"
"5","Montreal Canadiens","20","959.3833","5","13","2","5","12","0.300","897","864","50.94","631","663","48.76","474","485","49.43","29","40","42.03","37.15","38.37","49.19","446","427","51.09","244","256","48.80","24","35","40.68","9.84","86.33","172","176","49.43","122","125","49.39","13","28","31.71","10.66","77.60","274","251","52.19","122","131","48.22","11","7","61.11","9.02","94.66","377","368","50.60","209","203","50.73","5","5","50.00","2.39","97.54","6.12","91.75","0.979"
"6","Toronto Maple Leafs","20","986.8167","13","6","1","13","27","0.675","1018","878","53.69","754","689","52.25","535","491","52.14","32","34","48.48","48.32","38.11","55.91","589","455","56.42","342","267","56.16","29","30","49.15","8.48","88.76","213","193","52.46","159","130","55.02","19","19","50.00","11.95","85.38","376","262","58.93","183","137","57.19","10","11","47.62","5.46","91.97","391","373","51.18","176","196","47.31","3","4","42.86","1.70","97.96","5.98","93.08","0.991"
"7","New York Rangers","18","876","11","4","3","10","25","0.694","737","886","45.41","551","668","45.20","380","458","45.35","30","32","48.39","33.21","38.94","46.03","369","462","44.40","213","255","45.51","27","29","48.21","12.68","88.63","157","168","48.31","113","116","49.34","16","20","44.44","14.16","82.76","212","294","41.90","100","139","41.84","11","9","55.00","11.00","93.53","316","371","46.00","144","181","44.31","3","3","50.00","2.08","98.34","7.89","93.01","1.009"
"8","Washington Capitals","19","930.1","11","3","5","11","27","0.711","817","790","50.84","642","572","52.88","464","409","53.15","47","27","63.51","36.63","32.86","52.71","406","402","50.25","247","219","53.00","40","18","68.97","16.19","91.78","162","158","50.63","114","111","50.67","20","13","60.61","17.54","88.29","244","244","50.00","133","108","55.19","20","5","80.00","15.04","95.37","358","328","52.19","193","175","52.45","7","9","43.75","3.63","94.86","10.13","93.40","1.035"
"9","Chicago Blackhawks","18","846.1167","6","10","2","5","14","0.389","676","836","44.71","481","613","43.97","355","453","43.94","22","43","33.85","26.41","35.99","42.32","332","414","44.50","191","251","43.21","21","39","35.00","10.99","84.46","121","142","46.01","90","121","42.65","15","27","35.71","16.67","77.69","211","272","43.69","101","130","43.72","6","12","33.33","5.94","90.77","295","365","44.70","150","190","44.12","1","4","20.00","0.67","97.89","6.20","90.51","0.967"
"10","Colorado Avalanche","15","700.3833","9","5","1","8","19","0.633","656","622","51.33","470","451","51.03","361","354","50.49","34","32","51.52","27.75","25.07","52.54","342","289","54.20","212","172","55.21","27","26","50.94","12.74","84.88","129","104","55.36","101","83","54.89","16","12","57.14","15.84","85.54","213","185","53.52","111","89","55.50","11","14","44.00","9.91","84.27","270","281","49.00","133","159","45.55","7","6","53.85","5.26","96.23","9.42","90.96","1.004"
