"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","36","1742.0667","11","19","6","10","28","0.389","1580","1674","48.56","1147","1211","48.64","811","865","48.39","75","95","44.12","76.07","73.46","50.87","874","857","50.49","486","483","50.15","63","84","42.86","12.96","82.61","377","309","54.96","246","216","53.25","37","43","46.25","15.04","80.09","497","548","47.56","240","267","47.34","26","41","38.81","10.83","84.64","603","699","46.31","289","334","46.39","12","11","52.17","4.15","96.71","9.25","89.02","0.983"
"2","Nashville Predators","33","1542.1","14","14","5","12","33","0.500","1478","1539","48.99","1081","1126","48.98","755","821","47.91","51","57","47.22","68.26","71.68","48.78","732","791","48.06","386","452","46.06","40","48","45.45","10.36","89.38","298","315","48.61","203","218","48.22","29","27","51.79","14.29","87.61","434","476","47.69","183","234","43.88","11","21","34.38","6.01","91.03","636","621","50.60","328","319","50.70","11","9","55.00","3.35","97.18","6.75","93.06","0.998"
"3","Tampa Bay Lightning","33","1547.1","21","11","1","21","43","0.652","1471","1388","51.45","1098","1022","51.79","783","764","50.61","72","62","53.73","75.42","65.95","53.35","850","744","53.32","482","408","54.16","61","52","53.98","12.66","87.25","389","292","57.12","258","208","55.36","43","30","58.90","16.67","85.58","461","452","50.49","224","200","52.83","18","22","45.00","8.04","89.00","536","557","49.04","267","323","45.25","10","10","50.00","3.75","96.90","9.20","91.88","1.011"
"4","New York Rangers","36","1735","19","12","5","18","43","0.597","1631","1525","51.68","1215","1111","52.24","868","808","51.79","75","66","53.19","73.38","70.29","51.08","826","803","50.71","440","447","49.61","60","52","53.57","13.64","88.37","335","326","50.68","224","231","49.23","42","34","55.26","18.75","85.28","491","477","50.72","216","216","50.00","18","18","50.00","8.33","91.67","686","598","53.43","392","323","54.83","15","14","51.72","3.83","95.67","8.64","91.83","1.005"
"5","Vegas Golden Knights","38","1884","24","12","2","21","50","0.658","1805","1851","49.37","1309","1281","50.54","961","917","51.17","75","76","49.67","85.13","74.67","53.27","920","898","50.61","539","474","53.21","66","63","51.16","12.24","86.71","394","325","54.80","281","220","56.09","42","36","53.85","14.95","83.64","526","573","47.86","258","254","50.39","24","27","47.06","9.30","89.37","706","785","47.35","360","390","48.00","9","12","42.86","2.50","96.92","7.80","91.71","0.995"
"6","Los Angeles Kings","38","1802.8167","20","12","6","17","46","0.605","1774","1665","51.58","1315","1165","53.02","954","814","53.96","78","75","50.98","80.02","71.16","52.93","921","852","51.95","539","462","53.85","69","65","51.49","12.80","85.93","379","341","52.64","261","227","53.48","42","41","50.60","16.09","81.94","542","511","51.47","278","235","54.19","27","24","52.94","9.71","89.79","716","654","52.26","379","303","55.57","9","10","47.37","2.37","96.70","8.18","90.79","0.990"
"7","Boston Bruins","35","1637.75","28","4","3","26","59","0.843","1596","1445","52.48","1204","1060","53.18","901","775","53.76","80","48","62.50","76.27","63.03","54.75","854","725","54.08","506","402","55.73","67","42","61.47","13.24","89.55","354","292","54.80","259","209","55.34","44","25","63.77","16.99","88.04","500","433","53.59","247","193","56.14","23","17","57.50","9.31","91.19","662","615","51.84","358","317","53.04","13","6","68.42","3.63","98.11","8.88","93.81","1.027"
"8","Washington Capitals","37","1761.7167","20","13","4","20","44","0.595","1727","1660","50.99","1261","1207","51.09","901","852","51.40","71","65","52.21","77.11","72.51","51.54","864","813","51.52","497","444","52.82","65","54","54.62","13.08","87.84","339","317","51.68","231","210","52.38","38","37","50.67","16.45","82.38","525","496","51.42","266","234","53.20","27","17","61.36","10.15","92.74","703","720","49.40","335","365","47.86","6","11","35.29","1.79","96.99","7.88","92.37","1.003"
"9","Columbus Blue Jackets","33","1603.3","10","21","2","10","22","0.333","1434","1742","45.15","1048","1268","45.25","749","919","44.90","62","95","39.49","61.75","76.17","44.77","664","841","44.12","396","466","45.94","45","80","36.00","11.36","82.83","249","335","42.64","176","225","43.89","25","50","33.33","14.20","77.78","415","506","45.06","220","241","47.72","20","30","40.00","9.09","87.55","630","769","45.03","318","410","43.68","17","15","53.13","5.35","96.34","8.28","89.66","0.979"
"10","Carolina Hurricanes","35","1658.75","23","6","6","21","52","0.743","1851","1232","60.04","1370","937","59.38","938","682","57.90","73","51","58.87","85.21","58.61","59.25","911","619","59.54","498","377","56.91","62","44","58.49","12.45","88.33","395","288","57.83","271","201","57.42","40","26","60.61","14.76","87.06","516","331","60.92","227","176","56.33","22","18","55.00","9.69","89.77","781","483","61.79","407","254","61.57","11","7","61.11","2.70","97.24","7.78","92.52","1.003"
