"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","40","1974.45","25","10","5","24","55","0.688","1906","1744","52.22","1474","1302","53.10","1106","982","52.97","93","72","56.36","89.34","76.22","53.96","983","875","52.91","619","536","53.59","85","66","56.29","13.73","87.69","390","339","53.50","307","269","53.30","53","46","53.54","17.26","82.90","593","536","52.52","312","267","53.89","32","20","61.54","10.26","92.51","811","746","52.09","444","393","53.05","8","6","57.14","1.80","98.47","8.41","92.67","1.011"
"2","Tampa Bay Lightning","42","2000.4167","27","10","5","25","59","0.702","1800","1696","51.49","1397","1306","51.68","970","968","50.05","89","75","54.27","83.12","73.04","53.23","994","900","52.48","566","553","50.58","74","65","53.24","13.07","88.25","423","320","56.93","295","249","54.23","49","43","53.26","16.61","82.73","571","580","49.61","271","304","47.13","25","22","53.19","9.23","92.76","719","721","49.93","369","376","49.53","14","10","58.33","3.79","97.34","9.18","92.25","1.014"
"3","Seattle Kraken","40","1956.4","12","24","4","11","28","0.350","1609","1656","49.28","1207","1248","49.16","870","910","48.88","69","101","40.59","65.51","70.61","48.13","742","777","48.85","454","470","49.13","54","83","39.42","11.89","82.34","296","297","49.92","222","231","49.01","35","54","39.33","15.77","76.62","446","480","48.16","232","239","49.26","19","29","39.58","8.19","87.87","761","775","49.54","394","400","49.62","15","18","45.45","3.81","95.50","7.93","88.90","0.968"
"4","Vegas Golden Knights","41","2019.6333","24","15","2","21","50","0.610","2033","1817","52.81","1518","1297","53.93","1121","952","54.08","98","86","53.26","93.1","83.67","52.67","988","947","51.06","595","532","52.80","86","74","53.75","14.45","86.09","417","399","51.10","308","275","52.83","59","54","52.21","19.16","80.36","571","548","51.03","287","257","52.76","27","20","57.45","9.41","92.22","885","737","54.56","479","372","56.29","12","11","52.17","2.51","97.04","8.74","90.97","0.997"
"5","Montreal Canadiens","39","1853.4167","8","25","6","7","22","0.282","1614","1827","46.90","1180","1402","45.70","878","1027","46.09","59","84","41.26","69.35","84.54","45.07","794","946","45.63","453","562","44.63","53","74","41.73","11.70","86.83","325","381","46.03","237","281","45.75","31","58","34.83","13.08","79.36","469","565","45.36","216","281","43.46","22","16","57.89","10.19","94.31","691","754","47.82","378","413","47.79","6","10","37.50","1.59","97.58","6.72","91.82","0.985"
"6","Toronto Maple Leafs","37","1820.9833","24","10","3","23","51","0.689","1823","1635","52.72","1367","1273","51.78","1001","924","52.00","83","72","53.55","87.68","72.21","54.84","1031","837","55.19","631","507","55.45","73","66","52.52","11.57","86.98","399","341","53.92","304","242","55.68","49","45","52.13","16.12","81.40","632","496","56.03","327","265","55.24","24","21","53.33","7.34","92.08","708","701","50.25","336","364","48.00","10","6","62.50","2.98","98.35","8.29","92.21","1.005"
"7","New York Rangers","41","1997.9167","26","11","4","24","56","0.683","1569","1977","44.25","1189","1468","44.75","862","1036","45.42","73","74","49.66","72.02","89.17","44.68","774","1024","43.05","464","564","45.14","62","65","48.82","13.36","88.48","348","412","45.79","253","291","46.51","41","47","46.59","16.21","83.85","426","612","41.04","211","273","43.60","21","18","53.85","9.95","93.41","687","847","44.78","350","433","44.70","11","9","55.00","3.14","97.92","8.47","92.86","1.013"
"8","Washington Capitals","41","2008.0667","22","10","9","20","53","0.646","1862","1719","52.00","1421","1275","52.71","1024","923","52.59","96","71","57.49","81.94","75.76","51.96","938","897","51.12","563","525","51.75","83","57","59.29","14.74","89.14","353","352","50.07","249","241","50.82","48","39","55.17","19.28","83.82","585","545","51.77","314","284","52.51","35","18","66.04","11.15","93.66","807","704","53.41","416","362","53.47","13","14","48.15","3.13","96.13","9.38","92.31","1.017"
"9","Chicago Blackhawks","40","1918.5667","15","19","6","12","36","0.450","1592","1826","46.58","1143","1320","46.41","843","971","46.47","57","83","40.71","64.31","77.58","45.32","749","903","45.34","437","543","44.59","49","70","41.18","11.21","87.11","274","306","47.24","203","248","45.01","30","45","40.00","14.78","81.85","475","597","44.31","234","295","44.23","19","25","43.18","8.12","91.53","742","815","47.66","377","401","48.46","8","13","38.10","2.12","96.76","6.76","91.45","0.982"
"10","Colorado Avalanche","38","1772.3167","27","8","3","24","57","0.750","1775","1567","53.11","1277","1180","51.97","984","892","52.45","100","72","58.14","73.91","66.63","52.59","868","738","54.05","525","453","53.68","82","59","58.16","15.62","86.98","329","299","52.39","260","225","53.61","55","35","61.11","21.15","84.44","539","439","55.11","265","228","53.75","27","24","52.94","10.19","89.47","790","703","52.91","406","396","50.62","18","13","58.06","4.43","96.72","10.16","91.93","1.021"
