"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","37","1793.6333","11","19","7","10","29","0.392","1616","1715","48.51","1177","1239","48.72","830","885","48.40","77","97","44.25","78.32","75.29","50.99","892","874","50.51","495","490","50.25","65","86","43.05","13.13","82.45","385","314","55.08","250","219","53.30","37","44","45.68","14.80","79.91","507","560","47.52","245","271","47.48","28","42","40.00","11.43","84.50","616","719","46.14","295","345","46.09","12","11","52.17","4.07","96.81","9.28","89.04","0.983"
"2","Nashville Predators","33","1542.1","14","14","5","12","33","0.500","1478","1539","48.99","1081","1126","48.98","755","821","47.91","51","57","47.22","68.26","71.68","48.78","732","791","48.06","386","452","46.06","40","48","45.45","10.36","89.38","298","315","48.61","203","218","48.22","29","27","51.79","14.29","87.61","434","476","47.69","183","234","43.88","11","21","34.38","6.01","91.03","636","621","50.60","328","319","50.70","11","9","55.00","3.35","97.18","6.75","93.06","0.998"
"3","Tampa Bay Lightning","34","1600.95","22","11","1","21","45","0.662","1539","1444","51.59","1148","1068","51.81","818","800","50.56","73","63","53.68","79.03","68.6","53.53","893","773","53.60","505","429","54.07","62","52","54.39","12.28","87.88","411","303","57.56","270","218","55.33","44","30","59.46","16.30","86.24","482","470","50.63","235","211","52.69","18","22","45.00","7.66","89.57","558","580","49.03","278","336","45.28","10","11","47.62","3.60","96.73","8.92","92.13","1.010"
"4","New York Rangers","37","1788.85","19","12","6","18","44","0.595","1687","1593","51.43","1261","1161","52.06","904","843","51.75","76","67","53.15","76.02","73.9","50.71","855","846","50.26","461","470","49.52","60","53","53.10","13.02","88.72","346","348","49.86","234","243","49.06","42","35","54.55","17.95","85.60","509","498","50.55","227","227","50.00","18","18","50.00","7.93","92.07","709","620","53.35","405","334","54.80","16","14","53.33","3.95","95.81","8.41","92.05","1.005"
"5","Vegas Golden Knights","38","1884","24","12","2","21","50","0.658","1805","1851","49.37","1309","1281","50.54","961","917","51.17","75","76","49.67","85.13","74.67","53.27","920","898","50.61","539","474","53.21","66","63","51.16","12.24","86.71","394","325","54.80","281","220","56.09","42","36","53.85","14.95","83.64","526","573","47.86","258","254","50.39","24","27","47.06","9.30","89.37","706","785","47.35","360","390","48.00","9","12","42.86","2.50","96.92","7.80","91.71","0.995"
"6","Los Angeles Kings","39","1846.75","21","12","6","17","48","0.615","1812","1709","51.46","1344","1193","52.98","972","835","53.79","80","77","50.96","80.83","72.9","52.58","935","872","51.74","546","471","53.69","71","66","51.82","13.00","85.99","380","349","52.13","262","233","52.93","42","42","50.00","16.03","81.97","555","523","51.48","284","238","54.41","29","24","54.72","10.21","89.92","739","676","52.23","390","314","55.40","9","11","45.00","2.31","96.50","8.23","90.78","0.990"
"7","Boston Bruins","35","1637.75","28","4","3","26","59","0.843","1596","1445","52.48","1204","1060","53.18","901","775","53.76","80","48","62.50","76.27","63.03","54.75","854","725","54.08","506","402","55.73","67","42","61.47","13.24","89.55","354","292","54.80","259","209","55.34","44","25","63.77","16.99","88.04","500","433","53.59","247","193","56.14","23","17","57.50","9.31","91.19","662","615","51.84","358","317","53.04","13","6","68.42","3.63","98.11","8.88","93.81","1.027"
"8","Washington Capitals","38","1816.5833","20","13","5","20","45","0.592","1769","1723","50.66","1289","1260","50.57","920","889","50.86","74","68","52.11","78.37","75.6","50.90","881","849","50.92","506","466","52.06","67","57","54.03","13.24","87.77","344","334","50.74","233","222","51.21","39","39","50.00","16.74","82.43","537","515","51.05","273","244","52.80","28","18","60.87","10.26","92.62","719","742","49.21","342","377","47.57","7","11","38.89","2.05","97.08","8.04","92.35","1.004"
"9","Columbus Blue Jackets","34","1654.4","10","22","2","10","22","0.324","1471","1799","44.98","1073","1315","44.93","766","952","44.59","62","96","39.24","62.9","79.05","44.31","677","869","43.79","402","484","45.37","45","81","35.71","11.19","83.26","256","352","42.11","180","235","43.37","25","51","32.89","13.89","78.30","421","517","44.88","222","249","47.13","20","30","40.00","9.01","87.95","648","792","45.00","327","423","43.60","17","15","53.13","5.20","96.45","8.09","89.92","0.980"
"10","Carolina Hurricanes","35","1658.75","23","6","6","21","52","0.743","1851","1232","60.04","1370","937","59.38","938","682","57.90","73","51","58.87","85.21","58.61","59.25","911","619","59.54","498","377","56.91","62","44","58.49","12.45","88.33","395","288","57.83","271","201","57.42","40","26","60.61","14.76","87.06","516","331","60.92","227","176","56.33","22","18","55.00","9.69","89.77","781","483","61.79","407","254","61.57","11","7","61.11","2.70","97.24","7.78","92.52","1.003"
"11","Toronto Maple Leafs","36","1723.55","22","8","6","22","50","0.694","1628","1526","51.62","1223","1110","52.42","875","770","53.19","77","54","58.78","80.21","67.51","54.30","918","759","54.74","502","422","54.33","66","49","57.39","13.15","88.39","382","314","54.89","258","225","53.42","49","28","63.64","18.99","87.56","536","445","54.64","244","197","55.33","17","21","44.74","6.97","89.34","632","648","49.38","345","303","53.24","11","5","68.75","3.19","98.35","8.80","92.99","1.018"
"12","Montreal Canadiens","36","1699.05","15","18","3","11","33","0.458","1481","1610","47.91","1074","1178","47.69","799","863","48.07","67","80","45.58","64.46","81.91","44.04","699","877","44.35","389","512","43.17","53","71","42.74","13.62","86.13","268","375","41.68","187","267","41.19","32","49","39.51","17.11","81.65","431","502","46.20","202","245","45.19","21","22","48.84","10.40","91.02","641","604","51.49","367","314","53.89","14","9","60.87","3.81","97.13","8.39","90.73","0.991"
"13","Chicago Blackhawks","34","1657.95","8","22","4","8","20","0.294","1254","1718","42.19","918","1272","41.92","673","916","42.35","43","86","33.33","54.84","77.71","41.37","614","898","40.61","352","498","41.41","36","72","33.33","10.23","85.54","239","339","41.35","165","237","41.04","26","43","37.68","15.76","81.86","375","559","40.15","187","261","41.74","10","29","25.64","5.35","88.89","528","703","42.89","286","370","43.60","7","14","33.33","2.45","96.22","6.39","90.61","0.970"
"14","Colorado Avalanche","34","1620.1333","19","12","3","16","41","0.603","1614","1464","52.44","1158","1100","51.28","866","841","50.73","50","53","48.54","68.05","64.29","51.42","765","655","53.87","449","406","52.51","47","43","52.22","10.47","89.41","310","293","51.41","223","212","51.26","31","31","50.00","13.90","85.38","455","362","55.69","226","194","53.81","16","12","57.14","7.08","93.81","709","674","51.27","380","389","49.41","3","10","23.08","0.79","97.43","5.77","93.70","0.995"
"15","Seattle Kraken","33","1600.05","18","11","4","18","40","0.606","1526","1391","52.31","1147","1018","52.98","809","704","53.47","83","60","58.04","70.96","66.43","51.65","765","745","50.66","454","402","53.04","75","54","58.14","16.52","86.57","297","302","49.58","216","206","51.18","45","34","56.96","20.83","83.50","468","443","51.37","238","196","54.84","30","20","60.00","12.61","89.80","616","532","53.66","313","262","54.43","7","6","53.85","2.24","97.71","10.26","91.48","1.017"
"16","Anaheim Ducks","36","1716.3833","10","22","4","7","24","0.333","1458","1860","43.94","1066","1436","42.61","784","1064","42.42","53","94","36.05","62.89","94.78","39.89","722","986","42.27","400","606","39.76","47","75","38.52","11.75","87.62","287","457","38.58","206","347","37.25","27","55","32.93","13.11","84.15","435","529","45.12","194","259","42.83","20","20","50.00","10.31","92.28","588","740","44.28","306","411","42.68","6","19","24.00","1.96","95.38","6.76","91.17","0.979"
"17","Vancouver Canucks","35","1716.3667","16","16","3","14","35","0.500","1485","1690","46.77","1091","1282","45.98","809","926","46.63","79","86","47.88","68.41","83.47","45.04","749","875","46.12","433","520","45.44","70","75","48.28","16.17","85.58","299","375","44.36","226","268","45.75","45","49","47.87","19.91","81.72","450","500","47.37","207","252","45.10","25","26","49.02","12.08","89.68","634","684","48.10","341","353","49.14","9","10","47.37","2.64","97.17","9.77","90.71","1.005"
"18","Edmonton Oilers","36","1708.6167","19","15","2","19","40","0.556","1590","1622","49.50","1187","1242","48.87","853","895","48.80","68","76","47.22","77.27","78.07","49.74","825","821","50.12","484","479","50.26","55","67","45.08","11.36","86.01","352","326","51.92","244","230","51.48","35","40","46.67","14.34","82.61","473","495","48.86","240","249","49.08","20","27","42.55","8.33","89.16","653","644","50.35","324","349","48.14","13","9","59.09","4.01","97.42","7.97","91.51","0.995"
"19","Arizona Coyotes","34","1556.35","13","16","5","12","31","0.456","1171","1530","43.35","872","1144","43.25","621","824","42.98","58","72","44.62","52.58","72.55","42.02","601","812","42.53","339","467","42.06","49","65","42.98","14.45","86.08","235","348","40.31","162","237","40.60","29","44","39.73","17.90","81.43","366","464","44.10","177","230","43.49","20","21","48.78","11.30","90.87","478","606","44.10","256","324","44.14","9","7","56.25","3.52","97.84","9.34","91.26","1.006"
"20","Pittsburgh Penguins","35","1686","19","10","6","18","44","0.629","1640","1663","49.65","1234","1231","50.06","890","922","49.12","74","72","50.68","80.88","72.27","52.81","820","797","50.71","479","484","49.74","59","60","49.58","12.32","87.60","357","308","53.68","249","238","51.13","38","47","44.71","15.26","80.25","463","489","48.63","230","246","48.32","21","13","61.76","9.13","94.72","677","715","48.64","354","379","48.29","15","12","55.56","4.24","96.83","8.31","92.19","1.005"
"21","New Jersey Devils","35","1670.4","22","11","2","22","46","0.657","1848","1414","56.65","1376","1023","57.36","993","709","58.34","83","57","59.29","89.9","62.69","58.92","996","702","58.66","567","366","60.77","72","49","59.50","12.70","86.61","406","266","60.42","289","176","62.15","45","31","59.21","15.57","82.39","590","436","57.50","278","190","59.40","27","18","60.00","9.71","90.53","709","599","54.20","370","297","55.47","11","8","57.89","2.97","97.31","8.36","91.96","1.003"
"22","Philadelphia Flyers","36","1717.9167","12","17","7","12","31","0.431","1521","1761","46.34","1140","1252","47.66","832","880","48.60","61","73","45.52","63.6","79.79","44.36","679","882","43.50","396","474","45.52","53","63","45.69","13.38","86.71","278","368","43.03","189","248","43.25","30","39","43.48","15.87","84.27","401","514","43.83","207","226","47.81","23","24","48.94","11.11","89.38","685","728","48.48","371","351","51.39","8","9","47.06","2.16","97.44","7.33","91.70","0.990"
"23","Ottawa Senators","35","1612.0333","16","16","3","15","35","0.500","1662","1538","51.94","1187","1127","51.30","857","833","50.71","56","70","44.44","76.9","71.49","51.82","858","773","52.61","465","434","51.72","49","58","45.79","10.54","86.64","352","311","53.09","245","206","54.32","28","42","40.00","11.43","79.61","506","462","52.27","220","228","49.11","21","16","56.76","9.55","92.98","646","621","50.99","341","344","49.78","6","12","33.33","1.76","96.51","6.53","91.60","0.981"
"24","Buffalo Sabres","33","1542.45","17","14","2","16","36","0.545","1464","1355","51.93","1090","1069","50.49","796","804","49.75","79","69","53.38","68.06","69.54","49.46","758","758","50.00","437","477","47.81","66","59","52.80","15.10","87.63","299","322","48.15","211","239","46.89","43","36","54.43","20.38","84.94","459","436","51.28","226","238","48.71","23","23","50.00","10.18","90.34","600","512","53.96","302","297","50.42","13","10","56.52","4.30","96.63","9.92","91.42","1.013"
"25","Florida Panthers","36","1629.35","16","16","4","15","36","0.500","1756","1476","54.33","1312","1148","53.33","972","827","54.03","82","69","54.30","82.88","70.53","54.02","927","717","56.39","540","433","55.50","69","55","55.65","12.78","87.30","391","321","54.92","270","228","54.22","54","32","62.79","20.00","85.96","536","396","57.51","270","205","56.84","15","23","39.47","5.56","88.78","712","645","52.47","381","346","52.41","13","14","48.15","3.41","95.95","8.44","91.66","1.001"
"26","New York Islanders","37","1766.1667","21","14","2","21","44","0.595","1704","1756","49.25","1236","1288","48.97","898","892","50.17","82","61","57.34","77.85","82.18","48.65","850","883","49.05","483","479","50.21","65","53","55.08","13.46","88.94","350","373","48.41","250","255","49.50","39","38","50.65","15.60","85.10","500","510","49.50","233","224","50.98","26","15","63.41","11.16","93.30","712","748","48.77","365","367","49.86","17","8","68.00","4.66","97.82","9.13","93.16","1.023"
"27","Dallas Stars","37","1759.8167","22","9","6","22","50","0.676","1753","1649","51.53","1238","1233","50.10","879","881","49.94","79","66","54.48","80.11","74.82","51.71","895","779","53.46","500","455","52.36","69","59","53.91","13.80","87.03","381","347","52.34","262","248","51.37","46","41","52.87","17.56","83.47","514","432","54.33","238","207","53.48","23","18","56.10","9.66","91.30","690","705","49.46","337","382","46.87","10","7","58.82","2.97","98.17","8.99","92.51","1.015"
"28","Minnesota Wild","35","1646.5167","20","13","2","17","42","0.600","1519","1471","50.80","1119","1081","50.86","776","779","49.90","62","62","50.00","64.56","61.08","51.38","697","677","50.73","387","390","49.81","54","51","51.43","13.95","86.92","288","253","53.23","201","183","52.34","39","34","53.42","19.40","81.42","409","424","49.10","186","207","47.33","15","17","46.88","8.06","91.79","660","656","50.15","333","351","48.68","8","11","42.11","2.40","96.87","7.99","92.04","1.000"
"29","Calgary Flames","37","1718.5833","17","13","7","16","41","0.554","1823","1461","55.51","1362","1087","55.61","986","760","56.47","76","70","52.05","81.13","69.26","53.94","840","765","52.34","504","449","52.89","66","62","51.56","13.10","86.19","337","312","51.93","244","215","53.16","47","39","54.65","19.26","81.86","503","453","52.62","260","234","52.63","19","23","45.24","7.31","90.17","814","572","58.73","408","264","60.71","10","8","55.56","2.45","96.97","7.71","90.79","0.985"
"30","Detroit Red Wings","34","1611.5833","15","12","7","14","37","0.544","1337","1589","45.69","992","1158","46.14","723","836","46.38","64","69","48.12","60.45","72.76","45.38","635","816","43.76","374","463","44.68","55","59","48.25","14.71","87.26","251","333","42.98","191","223","46.14","32","30","51.61","16.75","86.55","384","483","44.29","183","240","43.26","23","29","44.23","12.57","87.92","587","641","47.80","301","325","48.08","9","10","47.37","2.99","96.92","8.85","91.75","1.006"
"31","Winnipeg Jets","36","1748.4833","22","13","1","22","45","0.625","1631","1649","49.73","1231","1238","49.86","851","897","48.68","69","59","53.91","77.88","78.1","49.93","833","779","51.67","465","460","50.27","58","46","55.77","12.47","90.00","343","339","50.29","232","227","50.54","39","33","54.17","16.81","85.46","490","440","52.69","233","233","50.00","19","13","59.38","8.15","94.42","671","719","48.27","345","392","46.81","11","13","45.83","3.19","96.68","8.11","93.42","1.015"
"32","St Louis Blues","36","1795.2167","17","16","3","15","37","0.514","1500","1746","46.21","1155","1307","46.91","847","932","47.61","73","81","47.40","74.86","84.55","46.96","819","943","46.48","493","545","47.50","66","67","49.62","13.39","87.71","320","383","45.52","238","268","47.04","33","46","41.77","13.87","82.84","499","560","47.12","255","277","47.93","33","21","61.11","12.94","92.42","583","670","46.53","306","343","47.15","7","14","33.33","2.29","95.92","8.62","91.31","0.999"
