"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","4","199.4833","2","0","2","2","6","0.750","185","158","53.94","139","114","54.94","99","87","53.23","10","6","62.50","7.62","5.91","56.32","92","79","53.80","55","49","52.88","9","6","60.00","16.36","87.76","35","26","57.38","28","22","56.00","7","4","63.64","25.00","81.82","57","53","51.82","27","27","50.00","2","2","50.00","7.41","92.59","83","68","54.97","39","32","54.93","1","0","100.00","2.56","100.00","10.10","93.10","1.032"
"2","Tampa Bay Lightning","4","186.3667","2","2","0","2","4","0.500","175","158","52.55","133","121","52.36","95","97","49.48","4","10","28.57","7.54","6.84","52.46","90","87","50.85","49","55","47.12","3","9","25.00","6.12","83.64","39","24","61.90","25","19","56.82","1","6","14.29","4.00","68.42","51","63","44.74","24","36","40.00","2","3","40.00","8.33","91.67","75","65","53.57","40","39","50.63","1","1","50.00","2.50","97.44","4.21","89.69","0.939"
"3","Seattle Kraken","5","247.1","1","3","1","1","3","0.300","199","216","47.95","148","162","47.74","106","115","47.96","7","16","30.43","8.52","10.84","44.02","90","117","43.48","53","68","43.80","6","15","28.57","11.32","77.94","39","50","43.82","29","43","40.28","5","11","31.25","17.24","74.42","51","67","43.22","24","25","48.98","1","4","20.00","4.17","84.00","95","87","52.20","50","43","53.76","1","1","50.00","2.00","97.67","6.60","86.09","0.927"
"4","Vegas Golden Knights","3","152.4333","1","2","0","1","2","0.333","142","180","44.10","109","135","44.67","83","102","44.86","7","9","43.75","7.29","8.81","45.30","77","93","45.29","46","58","44.23","7","8","46.67","15.22","86.21","30","42","41.67","24","31","43.64","5","7","41.67","20.83","77.42","47","51","47.96","22","27","44.90","2","1","66.67","9.09","96.30","60","74","44.78","33","42","44.00","0","1","0.00","0.00","97.62","8.43","91.18","0.996"
"5","Montreal Canadiens","4","186.6833","0","4","0","0","0","0.000","162","158","50.63","112","123","47.66","85","80","51.52","3","7","30.00","5.73","6.88","45.43","68","85","44.44","41","51","44.57","3","6","33.33","7.32","88.24","22","32","40.74","18","22","45.00","2","4","33.33","11.11","81.82","46","53","46.46","23","29","44.23","1","2","33.33","4.35","93.10","79","60","56.83","41","23","64.06","0","1","0.00","0.00","95.65","3.53","91.25","0.948"
"6","Toronto Maple Leafs","4","193.2833","2","1","1","2","5","0.625","207","175","54.19","161","132","54.95","106","91","53.81","5","4","55.56","9.79","7.83","55.58","121","100","54.75","66","59","52.80","5","4","55.56","7.58","93.22","48","37","56.47","35","26","57.38","2","2","50.00","5.71","92.31","73","63","53.68","31","33","48.44","3","2","60.00","9.68","93.94","78","59","56.93","35","29","54.69","0","0","-","0.00","100.00","4.72","95.60","1.003"
"7","New York Rangers","4","184.4167","2","1","1","2","5","0.625","159","165","49.07","112","124","47.46","73","87","45.63","4","4","50.00","6.18","7.25","46.00","77","96","44.51","43","51","45.74","4","4","50.00","9.30","92.16","18","32","36.00","15","23","39.47","2","3","40.00","13.33","86.96","59","64","47.97","28","28","50.00","2","1","66.67","7.14","96.43","66","59","52.80","26","31","45.61","0","0","-","0.00","100.00","5.48","95.40","1.009"
"8","Washington Capitals","3","139.55","2","0","1","2","5","0.833","128","110","53.78","99","75","56.90","74","51","59.20","7","2","77.78","5.18","4.52","53.42","65","52","55.56","38","26","59.38","6","1","85.71","15.79","96.15","17","20","45.95","14","12","53.85","2","1","66.67","14.29","91.67","48","32","60.00","24","14","63.16","4","0","100.00","16.67","100.00","52","49","51.49","29","24","54.72","1","1","50.00","3.45","95.83","9.46","96.08","1.055"
"9","Chicago Blackhawks","4","192.0333","0","3","1","0","1","0.125","158","177","47.16","107","134","44.40","82","96","46.07","3","15","16.67","5.19","7.46","41.01","72","95","43.11","37","52","41.57","3","13","18.75","8.11","75.00","25","32","43.86","20","24","45.45","2","8","20.00","10.00","66.67","47","63","42.73","17","28","37.78","1","5","16.67","5.88","82.14","80","74","51.95","44","42","51.16","0","2","0.00","0.00","95.24","3.66","84.38","0.880"
"10","Colorado Avalanche","3","138.1833","1","2","0","1","2","0.333","135","129","51.14","96","97","49.74","70","75","48.28","6","9","40.00","5.81","5.36","52.01","75","57","56.82","40","36","52.63","5","8","38.46","12.50","77.78","26","22","54.17","18","18","50.00","4","2","66.67","22.22","88.89","49","35","58.33","22","18","55.00","1","6","14.29","4.55","66.67","51","62","45.13","29","35","45.31","1","1","50.00","3.45","97.14","8.57","88.00","0.966"
