"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","39","1929.3333","24","10","5","23","53","0.679","1868","1703","52.31","1448","1272","53.24","1086","959","53.11","90","71","55.90","87.12","74.28","53.98","958","857","52.78","605","526","53.49","83","65","56.08","13.72","87.64","380","332","53.37","300","265","53.10","52","45","53.61","17.33","83.02","578","525","52.40","305","261","53.89","31","20","60.78","10.16","92.34","800","728","52.36","438","383","53.35","7","6","53.85","1.60","98.43","8.29","92.60","1.009"
"2","Tampa Bay Lightning","41","1961.4667","27","9","5","25","59","0.720","1758","1649","51.60","1367","1266","51.92","949","942","50.19","88","72","55.00","81.27","70.66","53.49","966","878","52.39","550","541","50.41","74","62","54.41","13.45","88.54","414","310","57.18","291","244","54.39","49","42","53.85","16.84","82.79","552","568","49.29","259","297","46.58","25","20","55.56","9.65","93.27","707","699","50.28","364","365","49.93","13","10","56.52","3.57","97.26","9.27","92.36","1.016"
"3","Seattle Kraken","39","1912.8167","12","23","4","11","28","0.359","1568","1618","49.22","1179","1219","49.17","850","889","48.88","69","99","41.07","64.81","68.95","48.45","729","756","49.09","451","458","49.61","54","81","40.00","11.97","82.31","292","289","50.26","220","226","49.33","35","53","39.77","15.91","76.55","437","467","48.34","231","232","49.89","19","28","40.43","8.23","87.93","738","763","49.17","379","393","49.09","15","18","45.45","3.96","95.42","8.12","88.86","0.970"
"4","Vegas Golden Knights","41","2019.6333","24","15","2","21","50","0.610","2033","1817","52.81","1518","1297","53.93","1121","952","54.08","98","86","53.26","93.1","83.67","52.67","988","947","51.06","595","532","52.80","86","74","53.75","14.45","86.09","417","399","51.10","308","275","52.83","59","54","52.21","19.16","80.36","571","548","51.03","287","257","52.76","27","20","57.45","9.41","92.22","885","737","54.56","479","372","56.29","12","11","52.17","2.51","97.04","8.74","90.97","0.997"
"5","Montreal Canadiens","39","1853.4167","8","25","6","7","22","0.282","1614","1827","46.90","1180","1402","45.70","878","1027","46.09","59","84","41.26","69.35","84.54","45.07","794","946","45.63","453","562","44.63","53","74","41.73","11.70","86.83","325","381","46.03","237","281","45.75","31","58","34.83","13.08","79.36","469","565","45.36","216","281","43.46","22","16","57.89","10.19","94.31","691","754","47.82","378","413","47.79","6","10","37.50","1.59","97.58","6.72","91.82","0.985"
"6","Toronto Maple Leafs","37","1820.9833","24","10","3","23","51","0.689","1823","1635","52.72","1367","1273","51.78","1001","924","52.00","83","72","53.55","87.68","72.21","54.84","1031","837","55.19","631","507","55.45","73","66","52.52","11.57","86.98","399","341","53.92","304","242","55.68","49","45","52.13","16.12","81.40","632","496","56.03","327","265","55.24","24","21","53.33","7.34","92.08","708","701","50.25","336","364","48.00","10","6","62.50","2.98","98.35","8.29","92.21","1.005"
"7","New York Rangers","40","1943","26","10","4","24","56","0.700","1523","1914","44.31","1157","1419","44.91","844","1003","45.70","72","70","50.70","69.72","84.15","45.31","758","982","43.56","456","539","45.83","61","62","49.59","13.38","88.50","340","389","46.64","248","276","47.33","40","44","47.62","16.13","84.06","418","593","41.35","208","263","44.16","21","18","53.85","10.10","93.16","666","829","44.55","342","426","44.53","11","8","57.89","3.22","98.12","8.53","93.02","1.016"
"8","Washington Capitals","41","2008.0667","22","10","9","20","53","0.646","1862","1719","52.00","1421","1275","52.71","1024","923","52.59","96","71","57.49","81.94","75.76","51.96","938","897","51.12","563","525","51.75","83","57","59.29","14.74","89.14","353","352","50.07","249","241","50.82","48","39","55.17","19.28","83.82","585","545","51.77","314","284","52.51","35","18","66.04","11.15","93.66","807","704","53.41","416","362","53.47","13","14","48.15","3.13","96.13","9.38","92.31","1.017"
"9","Chicago Blackhawks","39","1869.1","15","18","6","12","36","0.462","1543","1775","46.50","1104","1286","46.19","813","944","46.27","56","78","41.79","62.99","75.06","45.63","734","879","45.51","430","526","44.98","48","66","42.11","11.16","87.45","272","297","47.80","203","240","45.82","30","42","41.67","14.78","82.50","462","582","44.25","227","286","44.25","18","24","42.86","7.93","91.61","709","789","47.33","355","392","47.52","8","12","40.00","2.25","96.94","6.89","91.74","0.986"
"10","Colorado Avalanche","38","1772.3167","27","8","3","24","57","0.750","1775","1567","53.11","1277","1180","51.97","984","892","52.45","100","72","58.14","73.91","66.63","52.59","868","738","54.05","525","453","53.68","82","59","58.16","15.62","86.98","329","299","52.39","260","225","53.61","55","35","61.11","21.15","84.44","539","439","55.11","265","228","53.75","27","24","52.94","10.19","89.47","790","703","52.91","406","396","50.62","18","13","58.06","4.43","96.72","10.16","91.93","1.021"
