,date,game_id,home_team,away_team,home_team_goals,away_team_goals,result,h_xgf%,a_xgf%
301,2022-11-23,2022020302,Los Angeles Kings,New York Rangers,3.0,5.0,0.0,,
302,2022-11-24,2022020309,Minnesota Wild,Winnipeg Jets,6.0,1.0,1.0,,
303,2022-11-24,2022020303,Carolina Hurricanes,Arizona Coyotes,0.0,4.0,0.0,,
304,2022-11-24,2022020304,Florida Panthers,Boston Bruins,5.0,2.0,1.0,,
305,2022-11-24,2022020305,Pittsburgh Penguins,Calgary Flames,2.0,1.0,1.0,,
306,2022-11-24,2022020306,Columbus Blue Jackets,Montreal Canadiens,1.0,3.0,0.0,,
307,2022-11-24,2022020307,Buffalo Sabres,St. Louis Blues,6.0,2.0,1.0,,
308,2022-11-24,2022020308,New Jersey Devils,Toronto Maple Leafs,1.0,2.0,0.0,,
309,2022-11-24,2022020311,Detroit Red Wings,Nashville Predators,3.0,0.0,1.0,,
310,2022-11-24,2022020310,New York Islanders,Edmonton Oilers,3.0,0.0,1.0,,
311,2022-11-24,2022020312,Washington Capitals,Philadelphia Flyers,3.0,2.0,1.0,,
312,2022-11-24,2022020313,Dallas Stars,Chicago Blackhawks,6.0,4.0,1.0,,
313,2022-11-24,2022020314,Anaheim Ducks,New York Rangers,3.0,2.0,1.0,,
314,2022-11-24,2022020315,Vegas Golden Knights,Ottawa Senators,4.0,1.0,1.0,,
315,2022-11-24,2022020316,Seattle Kraken,San Jose Sharks,8.0,5.0,1.0,,
316,2022-11-24,2022020317,Colorado Avalanche,Vancouver Canucks,3.0,4.0,0.0,,
317,2022-11-25,2022020318,Boston Bruins,Carolina Hurricanes,3.0,2.0,1.0,,
318,2022-11-25,2022020320,Nashville Predators,Colorado Avalanche,,,,,
319,2022-11-25,2022020321,Chicago Blackhawks,Montreal Canadiens,2.0,3.0,0.0,,
320,2022-11-25,2022020322,Minnesota Wild,Toronto Maple Leafs,3.0,4.0,0.0,,
321,2022-11-25,2022020319,Washington Capitals,Calgary Flames,3.0,0.0,1.0,,
322,2022-11-25,2022020323,Anaheim Ducks,Ottawa Senators,1.0,5.0,0.0,,
323,2022-11-25,2022020324,Philadelphia Flyers,Pittsburgh Penguins,1.0,4.0,0.0,,
324,2022-11-26,2022020329,Vegas Golden Knights,Seattle Kraken,2.0,4.0,0.0,,
325,2022-11-26,2022020325,Detroit Red Wings,Arizona Coyotes,4.0,3.0,1.0,,
326,2022-11-26,2022020326,Columbus Blue Jackets,New York Islanders,2.0,3.0,0.0,,
327,2022-11-26,2022020327,Buffalo Sabres,New Jersey Devils,1.0,3.0,0.0,,
328,2022-11-26,2022020328,Tampa Bay Lightning,St. Louis Blues,5.0,2.0,1.0,,
329,2022-11-26,2022020330,Dallas Stars,Winnipeg Jets,4.0,5.0,0.0,,
330,2022-11-26,2022020331,San Jose Sharks,Los Angeles Kings,2.0,5.0,0.0,,
331,2022-11-26,2022020332,New York Rangers,Edmonton Oilers,,,,,
332,2022-11-26,2022020333,Carolina Hurricanes,Calgary Flames,,,,,
333,2022-11-26,2022020334,Florida Panthers,St. Louis Blues,,,,,
334,2022-11-27,2022020335,Pittsburgh Penguins,Toronto Maple Leafs,,,,,
335,2022-11-27,2022020336,New Jersey Devils,Washington Capitals,,,,,
336,2022-11-27,2022020337,New York Islanders,Philadelphia Flyers,,,,,
337,2022-11-27,2022020338,Nashville Predators,Columbus Blue Jackets,,,,,
338,2022-11-27,2022020339,Colorado Avalanche,Dallas Stars,,,,,
339,2022-11-27,2022020340,Vegas Golden Knights,Vancouver Canucks,,,,,
340,2022-11-27,2022020341,Minnesota Wild,Arizona Coyotes,,,,,
341,2022-11-28,2022020342,Chicago Blackhawks,Winnipeg Jets,,,,,
342,2022-11-28,2022020343,Anaheim Ducks,Seattle Kraken,,,,,
343,2022-11-28,2022020344,San Jose Sharks,Vancouver Canucks,,,,,
344,2022-11-28,2022020345,Los Angeles Kings,Ottawa Senators,,,,,
345,2022-11-29,2022020346,New York Rangers,New Jersey Devils,,,,,
346,2022-11-29,2022020347,Buffalo Sabres,Tampa Bay Lightning,,,,,
347,2022-11-29,2022020348,Detroit Red Wings,Toronto Maple Leafs,,,,,
348,2022-11-29,2022020349,Columbus Blue Jackets,Vegas Golden Knights,,,,,
349,2022-11-29,2022020350,St. Louis Blues,Dallas Stars,,,,,
350,2022-11-29,2022020351,Edmonton Oilers,Florida Panthers,,,,,
351,2022-11-30,2022020352,Pittsburgh Penguins,Carolina Hurricanes,,,,,
352,2022-11-30,2022020354,Montreal Canadiens,San Jose Sharks,,,,,
353,2022-11-30,2022020355,Boston Bruins,Tampa Bay Lightning,,,,,
354,2022-11-30,2022020353,Philadelphia Flyers,New York Islanders,,,,,
355,2022-11-30,2022020356,Nashville Predators,Anaheim Ducks,,,,,
356,2022-11-30,2022020357,Winnipeg Jets,Colorado Avalanche,,,,,
357,2022-11-30,2022020358,Calgary Flames,Florida Panthers,,,,,
358,2022-11-30,2022020359,Vancouver Canucks,Washington Capitals,,,,,
359,2022-11-30,2022020360,Los Angeles Kings,Seattle Kraken,,,,,
360,2022-12-01,2022020361,Detroit Red Wings,Buffalo Sabres,,,,,
361,2022-12-01,2022020362,Ottawa Senators,New York Rangers,,,,,
362,2022-12-01,2022020363,Toronto Maple Leafs,San Jose Sharks,,,,,
363,2022-12-01,2022020364,Chicago Blackhawks,Edmonton Oilers,,,,,
364,2022-12-02,2022020365,Buffalo Sabres,Colorado Avalanche,,,,,
365,2022-12-02,2022020366,New Jersey Devils,Nashville Predators,,,,,
366,2022-12-02,2022020367,Philadelphia Flyers,Tampa Bay Lightning,,,,,
367,2022-12-02,2022020368,Pittsburgh Penguins,Vegas Golden Knights,,,,,
368,2022-12-02,2022020369,St. Louis Blues,Carolina Hurricanes,,,,,
369,2022-12-02,2022020370,Minnesota Wild,Edmonton Oilers,,,,,
370,2022-12-02,2022020371,Dallas Stars,Anaheim Ducks,,,,,
371,2022-12-02,2022020372,Calgary Flames,Montreal Canadiens,,,,,
372,2022-12-02,2022020373,Vancouver Canucks,Florida Panthers,,,,,
373,2022-12-02,2022020374,Seattle Kraken,Washington Capitals,,,,,
374,2022-12-02,2022020375,Los Angeles Kings,Arizona Coyotes,,,,,
375,2022-12-03,2022020376,New York Rangers,Ottawa Senators,,,,,
376,2022-12-03,2022020377,New York Islanders,Nashville Predators,,,,,
377,2022-12-03,2022020378,Winnipeg Jets,Columbus Blue Jackets,,,,,
378,2022-12-03,2022020379,Minnesota Wild,Anaheim Ducks,,,,,
379,2022-12-04,2022020381,Edmonton Oilers,Montreal Canadiens,,,,,
380,2022-12-04,2022020380,Boston Bruins,Colorado Avalanche,,,,,
381,2022-12-04,2022020382,Philadelphia Flyers,New Jersey Devils,,,,,
382,2022-12-04,2022020383,Ottawa Senators,San Jose Sharks,,,,,
383,2022-12-04,2022020384,Pittsburgh Penguins,St. Louis Blues,,,,,
384,2022-12-04,2022020385,Tampa Bay Lightning,Toronto Maple Leafs,,,,,
385,2022-12-04,2022020386,Detroit Red Wings,Vegas Golden Knights,,,,,
386,2022-12-04,2022020387,New York Rangers,Chicago Blackhawks,,,,,
387,2022-12-04,2022020388,Vancouver Canucks,Arizona Coyotes,,,,,
388,2022-12-04,2022020389,Seattle Kraken,Florida Panthers,,,,,
389,2022-12-04,2022020390,Calgary Flames,Washington Capitals,,,,,
390,2022-12-04,2022020391,Los Angeles Kings,Carolina Hurricanes,,,,,
391,2022-12-04,2022020392,Winnipeg Jets,Anaheim Ducks,,,,,
392,2022-12-04,2022020393,Dallas Stars,Minnesota Wild,,,,,
393,2022-12-04,2022020394,Columbus Blue Jackets,Detroit Red Wings,,,,,
394,2022-12-05,2022020395,Buffalo Sabres,San Jose Sharks,,,,,
395,2022-12-05,2022020396,New York Islanders,Chicago Blackhawks,,,,,
396,2022-12-06,2022020397,Philadelphia Flyers,Colorado Avalanche,,,,,
397,2022-12-06,2022020398,New York Rangers,St. Louis Blues,,,,,
398,2022-12-06,2022020399,Boston Bruins,Vegas Golden Knights,,,,,
399,2022-12-06,2022020400,Edmonton Oilers,Washington Capitals,,,,,
400,2022-12-06,2022020401,Calgary Flames,Arizona Coyotes,,,,,
401,2022-12-06,2022020402,Vancouver Canucks,Montreal Canadiens,,,,,
402,2022-12-07,2022020403,New Jersey Devils,Chicago Blackhawks,,,,,
403,2022-12-07,2022020404,Pittsburgh Penguins,Columbus Blue Jackets,,,,,
404,2022-12-07,2022020405,Tampa Bay Lightning,Detroit Red Wings,,,,,
405,2022-12-07,2022020406,Ottawa Senators,Los Angeles Kings,,,,,
406,2022-12-07,2022020407,New York Islanders,St. Louis Blues,,,,,
407,2022-12-07,2022020408,Winnipeg Jets,Florida Panthers,,,,,
408,2022-12-07,2022020409,Dallas Stars,Toronto Maple Leafs,,,,,
409,2022-12-07,2022020410,Anaheim Ducks,Carolina Hurricanes,,,,,
410,2022-12-07,2022020411,Seattle Kraken,Montreal Canadiens,,,,,
411,2022-12-08,2022020413,Philadelphia Flyers,Washington Capitals,,,,,
412,2022-12-08,2022020412,Columbus Blue Jackets,Buffalo Sabres,,,,,
413,2022-12-08,2022020414,Calgary Flames,Minnesota Wild,,,,,
414,2022-12-08,2022020415,Colorado Avalanche,Boston Bruins,,,,,
415,2022-12-08,2022020416,Edmonton Oilers,Arizona Coyotes,,,,,
416,2022-12-08,2022020417,Vegas Golden Knights,New York Rangers,,,,,
417,2022-12-08,2022020418,San Jose Sharks,Vancouver Canucks,,,,,
418,2022-12-09,2022020420,Toronto Maple Leafs,Los Angeles Kings,,,,,
419,2022-12-09,2022020421,Tampa Bay Lightning,Nashville Predators,,,,,
420,2022-12-09,2022020419,Florida Panthers,Detroit Red Wings,,,,,
421,2022-12-09,2022020422,St. Louis Blues,Winnipeg Jets,,,,,
422,2022-12-09,2022020423,Dallas Stars,Ottawa Senators,,,,,
423,2022-12-10,2022020424,Columbus Blue Jackets,Calgary Flames,,,,,
424,2022-12-10,2022020425,New Jersey Devils,New York Islanders,,,,,
425,2022-12-10,2022020426,Buffalo Sabres,Pittsburgh Penguins,,,,,
426,2022-12-10,2022020427,Washington Capitals,Seattle Kraken,,,,,
427,2022-12-10,2022020428,Chicago Blackhawks,Winnipeg Jets,,,,,
428,2022-12-10,2022020429,Edmonton Oilers,Minnesota Wild,,,,,
429,2022-12-10,2022020430,Colorado Avalanche,New York Rangers,,,,,
430,2022-12-10,2022020431,Arizona Coyotes,Boston Bruins,,,,,
431,2022-12-10,2022020432,Vegas Golden Knights,Philadelphia Flyers,,,,,
432,2022-12-10,2022020433,Anaheim Ducks,San Jose Sharks,,,,,
433,2022-12-10,2022020434,Nashville Predators,Ottawa Senators,,,,,
434,2022-12-10,2022020435,Dallas Stars,Detroit Red Wings,,,,,
435,2022-12-10,2022020436,Tampa Bay Lightning,Florida Panthers,,,,,
436,2022-12-11,2022020437,Pittsburgh Penguins,Buffalo Sabres,,,,,
437,2022-12-11,2022020438,Toronto Maple Leafs,Calgary Flames,,,,,
438,2022-12-11,2022020439,Montreal Canadiens,Los Angeles Kings,,,,,
439,2022-12-11,2022020440,New York Islanders,Carolina Hurricanes,,,,,
440,2022-12-11,2022020441,Vancouver Canucks,Minnesota Wild,,,,,
441,2022-12-11,2022020442,St. Louis Blues,Colorado Avalanche,,,,,
442,2022-12-11,2022020443,Columbus Blue Jackets,Los Angeles Kings,,,,,
443,2022-12-11,2022020444,Florida Panthers,Seattle Kraken,,,,,
444,2022-12-12,2022020445,Arizona Coyotes,Philadelphia Flyers,,,,,
445,2022-12-12,2022020446,Winnipeg Jets,Washington Capitals,,,,,
446,2022-12-12,2022020447,Vegas Golden Knights,Boston Bruins,,,,,
447,2022-12-13,2022020448,Montreal Canadiens,Calgary Flames,,,,,
448,2022-12-13,2022020449,Pittsburgh Penguins,Dallas Stars,,,,,
449,2022-12-13,2022020450,New York Rangers,New Jersey Devils,,,,,
450,2022-12-13,2022020451,Ottawa Senators,Anaheim Ducks,,,,,
451,2022-12-13,2022020452,Minnesota Wild,Edmonton Oilers,,,,,
452,2022-12-13,2022020453,St. Louis Blues,Nashville Predators,,,,,
453,2022-12-14,2022020454,Toronto Maple Leafs,Anaheim Ducks,,,,,
454,2022-12-14,2022020455,Florida Panthers,Columbus Blue Jackets,,,,,
455,2022-12-14,2022020456,New Jersey Devils,Dallas Stars,,,,,
456,2022-12-14,2022020457,Buffalo Sabres,Los Angeles Kings,,,,,
457,2022-12-14,2022020458,Boston Bruins,New York Islanders,,,,,
458,2022-12-14,2022020459,Tampa Bay Lightning,Seattle Kraken,,,,,
459,2022-12-14,2022020460,Detroit Red Wings,Carolina Hurricanes,,,,,
460,2022-12-14,2022020461,Nashville Predators,Edmonton Oilers,,,,,
461,2022-12-14,2022020462,Winnipeg Jets,Vegas Golden Knights,,,,,
462,2022-12-14,2022020463,Chicago Blackhawks,Washington Capitals,,,,,
463,2022-12-14,2022020464,Colorado Avalanche,Philadelphia Flyers,,,,,
464,2022-12-14,2022020465,San Jose Sharks,Arizona Coyotes,,,,,
465,2022-12-15,2022020466,Ottawa Senators,Montreal Canadiens,,,,,
466,2022-12-15,2022020467,Minnesota Wild,Detroit Red Wings,,,,,
467,2022-12-15,2022020468,Calgary Flames,Vancouver Canucks,,,,,
468,2022-12-16,2022020469,Montreal Canadiens,Anaheim Ducks,,,,,
469,2022-12-16,2022020470,Tampa Bay Lightning,Columbus Blue Jackets,,,,,
470,2022-12-16,2022020471,Washington Capitals,Dallas Stars,,,,,
471,2022-12-16,2022020472,Boston Bruins,Los Angeles Kings,,,,,
472,2022-12-16,2022020473,New Jersey Devils,Philadelphia Flyers,,,,,
473,2022-12-16,2022020474,Florida Panthers,Pittsburgh Penguins,,,,,
474,2022-12-16,2022020475,Carolina Hurricanes,Seattle Kraken,,,,,
475,2022-12-16,2022020476,New York Rangers,Toronto Maple Leafs,,,,,
476,2022-12-16,2022020477,Winnipeg Jets,Nashville Predators,,,,,
477,2022-12-16,2022020478,Chicago Blackhawks,Vegas Golden Knights,,,,,
478,2022-12-16,2022020479,Colorado Avalanche,Buffalo Sabres,,,,,
479,2022-12-16,2022020480,Edmonton Oilers,St. Louis Blues,,,,,
480,2022-12-17,2022020481,Minnesota Wild,Chicago Blackhawks,,,,,
481,2022-12-17,2022020482,Calgary Flames,St. Louis Blues,,,,,
482,2022-12-17,2022020483,Arizona Coyotes,New York Islanders,,,,,
483,2022-12-17,2022020484,Boston Bruins,Columbus Blue Jackets,,,,,
484,2022-12-17,2022020485,Detroit Red Wings,Ottawa Senators,,,,,
485,2022-12-17,2022020486,Edmonton Oilers,Anaheim Ducks,,,,,
486,2022-12-18,2022020487,Carolina Hurricanes,Dallas Stars,,,,,
487,2022-12-18,2022020489,Philadelphia Flyers,New York Rangers,,,,,
488,2022-12-18,2022020490,Montreal Canadiens,Tampa Bay Lightning,,,,,
489,2022-12-18,2022020491,Washington Capitals,Toronto Maple Leafs,,,,,
490,2022-12-18,2022020488,New Jersey Devils,Florida Panthers,,,,,
491,2022-12-18,2022020492,Arizona Coyotes,Buffalo Sabres,,,,,
492,2022-12-18,2022020493,Colorado Avalanche,Nashville Predators,,,,,
493,2022-12-18,2022020494,Vegas Golden Knights,New York Islanders,,,,,
494,2022-12-18,2022020495,Vancouver Canucks,Winnipeg Jets,,,,,
495,2022-12-18,2022020496,Los Angeles Kings,San Jose Sharks,,,,,
496,2022-12-18,2022020497,Minnesota Wild,Ottawa Senators,,,,,
497,2022-12-18,2022020498,Carolina Hurricanes,Pittsburgh Penguins,,,,,
498,2022-12-19,2022020499,Chicago Blackhawks,New York Rangers,,,,,
499,2022-12-19,2022020500,Seattle Kraken,Winnipeg Jets,,,,,
500,2022-12-19,2022020501,San Jose Sharks,Calgary Flames,,,,,
501,2022-12-20,2022020502,Columbus Blue Jackets,Dallas Stars,,,,,
502,2022-12-20,2022020503,Washington Capitals,Detroit Red Wings,,,,,
503,2022-12-20,2022020504,Boston Bruins,Florida Panthers,,,,,
504,2022-12-20,2022020505,Nashville Predators,Edmonton Oilers,,,,,
505,2022-12-20,2022020506,Colorado Avalanche,New York Islanders,,,,,
506,2022-12-20,2022020507,Vegas Golden Knights,Buffalo Sabres,,,,,
507,2022-12-20,2022020508,Arizona Coyotes,Montreal Canadiens,,,,,
508,2022-12-20,2022020509,Vancouver Canucks,St. Louis Blues,,,,,
509,2022-12-21,2022020510,Philadelphia Flyers,Columbus Blue Jackets,,,,,
510,2022-12-21,2022020511,Pittsburgh Penguins,New York Rangers,,,,,
511,2022-12-21,2022020512,Carolina Hurricanes,New Jersey Devils,,,,,
512,2022-12-21,2022020513,Toronto Maple Leafs,Tampa Bay Lightning,,,,,
513,2022-12-21,2022020514,Winnipeg Jets,Ottawa Senators,,,,,
514,2022-12-21,2022020515,Seattle Kraken,St. Louis Blues,,,,,
515,2022-12-21,2022020516,Los Angeles Kings,Anaheim Ducks,,,,,
516,2022-12-21,2022020517,San Jose Sharks,Calgary Flames,,,,,
517,2022-12-22,2022020518,Florida Panthers,New Jersey Devils,,,,,
518,2022-12-22,2022020519,Detroit Red Wings,Tampa Bay Lightning,,,,,
519,2022-12-22,2022020520,Colorado Avalanche,Montreal Canadiens,,,,,
520,2022-12-22,2022020521,Chicago Blackhawks,Nashville Predators,,,,,
521,2022-12-22,2022020522,Dallas Stars,Edmonton Oilers,,,,,
522,2022-12-22,2022020523,Vegas Golden Knights,Arizona Coyotes,,,,,
523,2022-12-22,2022020524,Anaheim Ducks,Minnesota Wild,,,,,
524,2022-12-22,2022020525,Toronto Maple Leafs,Philadelphia Flyers,,,,,
525,2022-12-23,2022020526,Pittsburgh Penguins,Carolina Hurricanes,,,,,
526,2022-12-23,2022020527,New York Rangers,New York Islanders,,,,,
527,2022-12-23,2022020528,Ottawa Senators,Washington Capitals,,,,,
528,2022-12-23,2022020529,Boston Bruins,Winnipeg Jets,,,,,
529,2022-12-23,2022020530,Vancouver Canucks,Seattle Kraken,,,,,
530,2022-12-23,2022020531,Los Angeles Kings,Calgary Flames,,,,,
531,2022-12-23,2022020532,San Jose Sharks,Minnesota Wild,,,,,
532,2022-12-24,2022020533,New Jersey Devils,Boston Bruins,,,,,
533,2022-12-24,2022020534,Ottawa Senators,Detroit Red Wings,,,,,
534,2022-12-24,2022020535,Carolina Hurricanes,Philadelphia Flyers,,,,,
535,2022-12-24,2022020536,Buffalo Sabres,Tampa Bay Lightning,,,,,
536,2022-12-24,2022020537,Washington Capitals,Winnipeg Jets,,,,,
537,2022-12-24,2022020538,New York Islanders,Florida Panthers,,,,,
538,2022-12-24,2022020539,Nashville Predators,Colorado Avalanche,,,,,
539,2022-12-24,2022020540,Chicago Blackhawks,Columbus Blue Jackets,,,,,
540,2022-12-24,2022020541,Dallas Stars,Montreal Canadiens,,,,,
541,2022-12-24,2022020542,Edmonton Oilers,Vancouver Canucks,,,,,
542,2022-12-24,2022020543,Arizona Coyotes,Los Angeles Kings,,,,,
543,2022-12-24,2022020545,Vegas Golden Knights,St. Louis Blues,,,,,
544,2022-12-24,2022020544,Anaheim Ducks,Calgary Flames,,,,,
545,2022-12-28,2022020546,Ottawa Senators,Boston Bruins,,,,,
546,2022-12-28,2022020548,Carolina Hurricanes,Chicago Blackhawks,,,,,
547,2022-12-28,2022020549,New York Rangers,Washington Capitals,,,,,
548,2022-12-28,2022020547,Columbus Blue Jackets,Buffalo Sabres,,,,,
549,2022-12-28,2022020550,New York Islanders,Pittsburgh Penguins,,,,,
550,2022-12-28,2022020551,Nashville Predators,Dallas Stars,,,,,
551,2022-12-28,2022020552,Winnipeg Jets,Minnesota Wild,,,,,
552,2022-12-28,2022020553,St. Louis Blues,Toronto Maple Leafs,,,,,
553,2022-12-28,2022020554,Arizona Coyotes,Colorado Avalanche,,,,,
554,2022-12-28,2022020555,Calgary Flames,Edmonton Oilers,,,,,
555,2022-12-28,2022020556,Vancouver Canucks,San Jose Sharks,,,,,
556,2022-12-28,2022020557,Los Angeles Kings,Vegas Golden Knights,,,,,
557,2022-12-29,2022020558,New Jersey Devils,Boston Bruins,,,,,
558,2022-12-29,2022020559,Tampa Bay Lightning,Montreal Canadiens,,,,,
559,2022-12-29,2022020560,Pittsburgh Penguins,Detroit Red Wings,,,,,
560,2022-12-29,2022020561,Seattle Kraken,Calgary Flames,,,,,
561,2022-12-29,2022020562,Anaheim Ducks,Vegas Golden Knights,,,,,
562,2022-12-30,2022020563,Buffalo Sabres,Detroit Red Wings,,,,,
563,2022-12-30,2022020564,Florida Panthers,Montreal Canadiens,,,,,
564,2022-12-30,2022020565,Tampa Bay Lightning,New York Rangers,,,,,
565,2022-12-30,2022020566,Washington Capitals,Ottawa Senators,,,,,
566,2022-12-30,2022020567,New York Islanders,Columbus Blue Jackets,,,,,
567,2022-12-30,2022020568,St. Louis Blues,Chicago Blackhawks,,,,,
568,2022-12-30,2022020569,Minnesota Wild,Dallas Stars,,,,,
569,2022-12-30,2022020570,Winnipeg Jets,Vancouver Canucks,,,,,
570,2022-12-30,2022020571,Colorado Avalanche,Los Angeles Kings,,,,,
571,2022-12-30,2022020572,Arizona Coyotes,Toronto Maple Leafs,,,,,
572,2022-12-30,2022020573,San Jose Sharks,Philadelphia Flyers,,,,,
573,2022-12-30,2022020574,Anaheim Ducks,Nashville Predators,,,,,
574,2022-12-31,2022020576,Pittsburgh Penguins,New Jersey Devils,,,,,
575,2022-12-31,2022020575,Carolina Hurricanes,Florida Panthers,,,,,
576,2022-12-31,2022020577,Seattle Kraken,Edmonton Oilers,,,,,
577,2022-12-31,2022020578,Boston Bruins,Buffalo Sabres,,,,,
578,2022-12-31,2022020579,Vegas Golden Knights,Nashville Predators,,,,,
579,2022-12-31,2022020581,Los Angeles Kings,Philadelphia Flyers,,,,,
580,2022-12-31,2022020580,Washington Capitals,Montreal Canadiens,,,,,
581,2022-12-31,2022020582,Tampa Bay Lightning,Arizona Coyotes,,,,,
582,2022-12-31,2022020589,St. Louis Blues,Minnesota Wild,,,,,
583,2023-01-01,2022020585,Colorado Avalanche,Toronto Maple Leafs,,,,,
584,2023-01-01,2022020583,Columbus Blue Jackets,Chicago Blackhawks,,,,,
585,2023-01-01,2022020584,Detroit Red Wings,Ottawa Senators,,,,,
586,2023-01-01,2022020586,Dallas Stars,San Jose Sharks,,,,,
587,2023-01-01,2022020587,Calgary Flames,Vancouver Canucks,,,,,
588,2023-01-01,2022020588,Edmonton Oilers,Winnipeg Jets,,,,,
589,2023-01-01,2022020590,New Jersey Devils,Carolina Hurricanes,,,,,
590,2023-01-01,2022020591,Florida Panthers,New York Rangers,,,,,
591,2023-01-02,2022020593,Chicago Blackhawks,San Jose Sharks,,,,,
592,2023-01-02,2022020592,Ottawa Senators,Buffalo Sabres,,,,,
593,2023-01-02,2022020594,Seattle Kraken,New York Islanders,,,,,
594,2023-01-02,2022020595,Boston Bruins,Pittsburgh Penguins,,,,,
595,2023-01-03,2022020596,Colorado Avalanche,Vegas Golden Knights,,,,,
596,2023-01-03,2022020597,Anaheim Ducks,Philadelphia Flyers,,,,,
597,2023-01-04,2022020598,Florida Panthers,Arizona Coyotes,,,,,
598,2023-01-04,2022020599,Washington Capitals,Buffalo Sabres,,,,,
599,2023-01-04,2022020600,New York Rangers,Carolina Hurricanes,,,,,
600,2023-01-04,2022020601,Ottawa Senators,Columbus Blue Jackets,,,,,
601,2023-01-04,2022020602,Toronto Maple Leafs,St. Louis Blues,,,,,
602,2023-01-04,2022020603,Winnipeg Jets,Calgary Flames,,,,,
603,2023-01-04,2022020604,Nashville Predators,Montreal Canadiens,,,,,
604,2023-01-04,2022020605,Chicago Blackhawks,Tampa Bay Lightning,,,,,
605,2023-01-04,2022020606,Edmonton Oilers,Seattle Kraken,,,,,
606,2023-01-04,2022020607,Vancouver Canucks,New York Islanders,,,,,
607,2023-01-04,2022020608,Los Angeles Kings,Dallas Stars,,,,,
608,2023-01-05,2022020609,Detroit Red Wings,New Jersey Devils,,,,,
609,2023-01-05,2022020610,Minnesota Wild,Tampa Bay Lightning,,,,,
610,2023-01-05,2022020611,Anaheim Ducks,Dallas Stars,,,,,
611,2023-01-06,2022020612,Philadelphia Flyers,Arizona Coyotes,,,,,
612,2023-01-06,2022020613,Montreal Canadiens,New York Rangers,,,,,
613,2023-01-06,2022020614,Carolina Hurricanes,Nashville Predators,,,,,
614,2023-01-06,2022020615,Toronto Maple Leafs,Seattle Kraken,,,,,
615,2023-01-06,2022020616,New Jersey Devils,St. Louis Blues,,,,,
616,2023-01-06,2022020617,Columbus Blue Jackets,Washington Capitals,,,,,
617,2023-01-06,2022020618,Edmonton Oilers,New York Islanders,,,,,
618,2023-01-06,2022020619,Vancouver Canucks,Colorado Avalanche,,,,,
619,2023-01-06,2022020620,Vegas Golden Knights,Pittsburgh Penguins,,,,,
620,2023-01-06,2022020621,Los Angeles Kings,Boston Bruins,,,,,
621,2023-01-07,2022020622,Washington Capitals,Nashville Predators,,,,,
622,2023-01-07,2022020623,Detroit Red Wings,Florida Panthers,,,,,
623,2023-01-07,2022020624,Winnipeg Jets,Tampa Bay Lightning,,,,,
624,2023-01-07,2022020625,Chicago Blackhawks,Arizona Coyotes,,,,,
625,2023-01-07,2022020626,Calgary Flames,New York Islanders,,,,,
626,2023-01-07,2022020627,Anaheim Ducks,San Jose Sharks,,,,,
627,2023-01-07,2022020628,New Jersey Devils,New York Rangers,,,,,
628,2023-01-07,2022020629,Columbus Blue Jackets,Carolina Hurricanes,,,,,
629,2023-01-08,2022020630,Toronto Maple Leafs,Detroit Red Wings,,,,,
630,2023-01-08,2022020631,Buffalo Sabres,Minnesota Wild,,,,,
631,2023-01-08,2022020632,Ottawa Senators,Seattle Kraken,,,,,
632,2023-01-08,2022020633,Montreal Canadiens,St. Louis Blues,,,,,
633,2023-01-08,2022020635,Vegas Golden Knights,Los Angeles Kings,,,,,
634,2023-01-08,2022020634,Edmonton Oilers,Colorado Avalanche,,,,,
635,2023-01-08,2022020636,San Jose Sharks,Boston Bruins,,,,,
636,2023-01-08,2022020638,Winnipeg Jets,Vancouver Canucks,,,,,
637,2023-01-08,2022020637,Dallas Stars,Florida Panthers,,,,,
638,2023-01-08,2022020639,Washington Capitals,Columbus Blue Jackets,,,,,
639,2023-01-09,2022020641,Arizona Coyotes,Pittsburgh Penguins,,,,,
640,2023-01-09,2022020640,Chicago Blackhawks,Calgary Flames,,,,,
641,2023-01-09,2022020642,Minnesota Wild,St. Louis Blues,,,,,
642,2023-01-09,2022020643,Philadelphia Flyers,Toronto Maple Leafs,,,,,
643,2023-01-09,2022020644,Anaheim Ducks,Boston Bruins,,,,,
644,2023-01-10,2022020645,Ottawa Senators,Nashville Predators,,,,,
645,2023-01-10,2022020646,Montreal Canadiens,Seattle Kraken,,,,,
646,2023-01-10,2022020647,Los Angeles Kings,Edmonton Oilers,,,,,
647,2023-01-11,2022020648,Tampa Bay Lightning,Columbus Blue Jackets,,,,,
648,2023-01-11,2022020649,New York Rangers,Minnesota Wild,,,,,
649,2023-01-11,2022020650,Carolina Hurricanes,New Jersey Devils,,,,,
650,2023-01-11,2022020651,Buffalo Sabres,Seattle Kraken,,,,,
651,2023-01-11,2022020652,Pittsburgh Penguins,Vancouver Canucks,,,,,
652,2023-01-11,2022020654,Detroit Red Wings,Winnipeg Jets,,,,,
653,2023-01-11,2022020653,New York Islanders,Dallas Stars,,,,,
654,2023-01-11,2022020655,St. Louis Blues,Calgary Flames,,,,,
655,2023-01-11,2022020656,Colorado Avalanche,Florida Panthers,,,,,
656,2023-01-11,2022020657,Arizona Coyotes,San Jose Sharks,,,,,
657,2023-01-12,2022020659,Philadelphia Flyers,Washington Capitals,,,,,
658,2023-01-12,2022020658,Toronto Maple Leafs,Nashville Predators,,,,,
