"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","32","1553.1","10","16","6","9","26","0.406","1422","1487","48.88","1038","1071","49.22","737","771","48.87","68","78","46.58","68.9","64.46","51.67","794","761","51.06","444","427","50.98","57","67","45.97","12.84","84.31","340","271","55.65","226","186","54.85","33","33","50.00","14.60","82.26","454","490","48.09","218","241","47.49","24","34","41.38","11.01","85.89","541","619","46.64","259","301","46.25","11","11","50.00","4.25","96.35","9.23","89.88","0.991"
"2","Nashville Predators","29","1346.2167","12","13","4","10","28","0.483","1277","1324","49.10","925","969","48.84","640","700","47.76","45","50","47.37","58.42","60.08","49.30","633","670","48.58","332","380","46.63","35","43","44.87","10.54","88.68","253","269","48.47","172","186","48.04","25","25","50.00","14.53","86.56","380","401","48.66","160","194","45.20","10","18","35.71","6.25","90.72","546","540","50.28","274","273","50.09","10","7","58.82","3.65","97.44","7.03","92.86","0.999"
"3","Tampa Bay Lightning","30","1400.8167","20","9","1","20","41","0.683","1333","1279","51.03","995","938","51.47","707","694","50.46","65","55","54.17","68.03","60.04","53.12","786","681","53.58","438","372","54.07","54","48","52.94","12.33","87.10","351","265","56.98","231","189","55.00","37","28","56.92","16.02","85.19","435","416","51.12","207","183","53.08","17","20","45.95","8.21","89.07","470","515","47.72","237","291","44.89","10","7","58.82","4.22","97.59","9.19","92.07","1.013"
"4","New York Rangers","32","1539.6333","17","10","5","16","39","0.609","1456","1370","51.52","1085","994","52.19","787","722","52.15","64","59","52.03","66.78","63.48","51.27","731","723","50.28","401","396","50.31","52","48","52.00","12.97","87.88","301","298","50.25","205","210","49.40","35","31","53.03","17.07","85.24","430","425","50.29","196","186","51.31","17","17","50.00","8.67","90.86","619","536","53.59","354","290","54.97","12","11","52.17","3.39","96.21","8.13","91.83","1.000"
"5","Vegas Golden Knights","33","1638.0333","22","10","1","20","45","0.682","1568","1642","48.85","1140","1130","50.22","840","816","50.72","67","63","51.54","73.38","65.56","52.82","788","800","49.62","462","423","52.20","59","52","53.15","12.77","87.71","340","286","54.31","241","194","55.40","36","30","54.55","14.94","84.54","448","514","46.57","221","229","49.11","23","22","51.11","10.41","90.39","629","690","47.69","322","345","48.28","8","10","44.44","2.48","97.10","7.98","92.28","1.003"
"6","Los Angeles Kings","34","1615.4333","17","12","5","14","39","0.574","1598","1489","51.77","1182","1048","53.00","861","735","53.95","69","72","48.94","71.92","63.61","53.07","826","750","52.41","482","413","53.85","60","62","49.18","12.45","84.99","338","309","52.24","234","208","52.94","35","38","47.95","14.96","81.73","488","441","52.53","248","205","54.75","25","24","51.02","10.08","88.29","643","596","51.90","346","280","55.27","9","10","47.37","2.60","96.43","8.01","90.20","0.982"
"7","Boston Bruins","30","1386.2333","24","4","2","22","50","0.833","1357","1186","53.36","1022","874","53.90","767","641","54.47","65","39","62.50","64.56","49.97","56.37","725","583","55.43","428","326","56.76","53","34","60.92","12.38","89.57","306","237","56.35","222","166","57.22","36","17","67.92","16.22","89.76","419","346","54.77","206","160","56.28","17","17","50.00","8.25","89.38","570","517","52.44","307","267","53.48","12","5","70.59","3.91","98.13","8.47","93.92","1.024"
"8","Washington Capitals","33","1576.0333","16","13","4","16","36","0.545","1536","1502","50.56","1113","1106","50.16","787","785","50.06","62","61","50.41","67.5","66.5","50.37","763","735","50.93","430","408","51.31","58","50","53.70","13.49","87.75","306","292","51.17","203","193","51.26","34","35","49.28","16.75","81.87","457","443","50.78","227","215","51.36","24","15","61.54","10.57","93.02","624","652","48.90","292","337","46.42","4","11","26.67","1.37","96.74","7.88","92.23","1.001"
"9","Columbus Blue Jackets","30","1449.1667","10","18","2","10","22","0.367","1289","1568","45.12","935","1142","45.02","674","823","45.02","58","87","40.00","55.36","68.04","44.86","596","746","44.41","357","412","46.42","42","72","36.84","11.76","82.52","224","288","43.75","158","193","45.01","24","46","34.29","15.19","76.17","372","458","44.82","199","219","47.61","18","26","40.91","9.05","88.13","562","699","44.57","285","371","43.45","16","15","51.61","5.61","95.96","8.61","89.43","0.980"
"10","Carolina Hurricanes","30","1427.1167","18","6","6","16","42","0.700","1593","1034","60.64","1173","779","60.09","795","575","58.03","57","45","55.88","71.56","48.94","59.39","776","518","59.97","419","321","56.62","49","39","55.68","11.69","87.85","330","242","57.69","224","173","56.42","31","25","55.36","13.84","85.55","446","276","61.77","195","148","56.85","18","14","56.25","9.23","90.54","672","407","62.28","344","214","61.65","8","6","57.14","2.33","97.20","7.17","92.17","0.993"
