"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","44","2182.3","27","10","7","25","61","0.693","2091","1899","52.41","1615","1410","53.39","1215","1056","53.50","100","77","56.50","95.96","82.91","53.65","1074","951","53.04","673","581","53.67","91","71","56.17","13.52","87.78","423","366","53.61","334","292","53.35","58","51","53.21","17.37","82.53","651","585","52.67","339","289","53.98","33","20","62.26","9.73","93.08","898","817","52.36","496","419","54.21","9","6","60.00","1.81","98.57","8.23","92.71","1.009"
"2","Tampa Bay Lightning","44","2102.9","29","10","5","27","63","0.716","1896","1793","51.40","1472","1381","51.59","1023","1018","50.12","96","77","55.49","88.18","76.82","53.44","1049","953","52.40","599","583","50.68","80","67","54.42","13.36","88.51","452","339","57.14","315","262","54.59","55","44","55.56","17.46","83.21","597","614","49.30","284","321","46.94","25","23","52.08","8.80","92.83","758","760","49.93","388","395","49.55","15","10","60.00","3.87","97.47","9.38","92.44","1.018"
"3","Seattle Kraken","43","2096.95","14","25","4","13","32","0.372","1747","1783","49.49","1307","1334","49.49","939","970","49.19","75","106","41.44","71.11","75.12","48.63","812","848","48.92","496","505","49.55","59","88","40.14","11.90","82.57","324","318","50.47","243","244","49.90","38","55","40.86","15.64","77.46","488","530","47.94","253","261","49.22","21","33","38.89","8.30","87.36","824","822","50.06","421","422","49.94","16","18","47.06","3.80","95.73","7.99","89.07","0.971"
"4","Vegas Golden Knights","44","2160.0333","25","16","3","22","53","0.602","2149","1951","52.41","1606","1395","53.52","1184","1027","53.55","102","89","53.40","98.63","90.7","52.09","1044","1017","50.66","627","578","52.03","88","77","53.33","14.04","86.68","441","433","50.46","324","302","51.76","61","57","51.69","18.83","81.13","603","584","50.80","303","276","52.33","27","20","57.45","8.91","92.75","933","788","54.21","502","400","55.65","14","11","56.00","2.79","97.25","8.61","91.33","0.999"
"5","Montreal Canadiens","42","1998.0167","8","27","7","7","23","0.274","1731","1962","46.87","1270","1510","45.68","951","1109","46.17","64","93","40.76","73.84","90.5","44.93","843","1014","45.40","485","608","44.37","57","82","41.01","11.75","86.51","348","405","46.22","254","297","46.10","34","62","35.42","13.39","79.12","495","609","44.84","231","311","42.62","23","20","53.49","9.96","93.57","746","810","47.94","415","444","48.31","7","11","38.89","1.69","97.52","6.73","91.61","0.983"
"6","Toronto Maple Leafs","39","1920.6667","26","10","3","24","55","0.705","1912","1702","52.91","1432","1327","51.90","1052","961","52.26","85","76","52.80","92.22","75.13","55.11","1090","861","55.87","668","524","56.04","75","70","51.72","11.23","86.64","421","353","54.39","323","252","56.17","50","49","50.51","15.48","80.56","669","508","56.84","345","272","55.92","25","21","54.35","7.25","92.28","736","738","49.93","349","381","47.81","10","6","62.50","2.87","98.43","8.08","92.09","1.002"
"7","New York Rangers","45","2191.8833","28","13","4","25","60","0.667","1719","2167","44.24","1303","1605","44.81","941","1132","45.39","82","83","49.70","78.97","97.44","44.76","844","1113","43.13","503","619","44.83","68","73","48.23","13.52","88.21","376","451","45.47","275","321","46.14","46","54","46.00","16.73","83.18","468","662","41.42","228","298","43.35","22","19","53.66","9.65","93.62","759","938","44.73","387","469","45.21","14","10","58.33","3.62","97.87","8.71","92.67","1.014"
"8","Washington Capitals","45","2205.2167","24","12","9","22","57","0.633","2057","1908","51.88","1563","1413","52.52","1116","1014","52.39","102","77","56.98","91.35","84.44","51.96","1045","987","51.43","619","572","51.97","88","61","59.06","14.22","89.34","394","391","50.19","276","268","50.74","51","42","54.84","18.48","84.33","651","596","52.21","343","304","53.01","37","19","66.07","10.79","93.75","881","787","52.82","448","403","52.64","14","16","46.67","3.13","96.03","9.14","92.41","1.015"
"9","Chicago Blackhawks","44","2115.4167","16","21","7","13","39","0.443","1793","2032","46.88","1303","1458","47.19","958","1069","47.26","66","90","42.31","72.3","84.9","45.99","833","988","45.74","494","595","45.36","57","77","42.54","11.54","87.06","312","335","48.22","231","269","46.20","35","49","41.67","15.15","81.78","521","653","44.38","263","326","44.65","22","28","44.00","8.37","91.41","847","919","47.96","432","443","49.37","9","13","40.91","2.08","97.07","6.89","91.58","0.985"
"10","Colorado Avalanche","42","1962.8","31","8","3","28","65","0.774","1975","1742","53.13","1421","1320","51.84","1093","987","52.55","105","77","57.69","81.63","73.71","52.55","953","817","53.84","575","505","53.24","85","63","57.43","14.78","87.52","363","333","52.16","283","248","53.30","57","37","60.64","20.14","85.08","590","484","54.93","292","257","53.19","28","26","51.85","9.59","89.88","890","784","53.17","461","434","51.51","20","14","58.82","4.34","96.77","9.61","92.20","1.018"
