"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","81","3984.2167","45","25","11","42","101","0.623","3845","3546","52.02","2976","2662","52.78","2214","2023","52.25","175","153","53.35","175.45","153.94","53.27","1935","1703","53.19","1219","1072","53.21","152","137","52.60","12.47","87.22","790","681","53.70","630","541","53.80","106","97","52.22","16.83","82.07","1145","1022","52.84","589","531","52.59","46","40","53.49","7.81","92.47","1675","1601","51.13","895","852","51.23","23","16","58.97","2.57","98.12","7.90","92.44","1.003"
"2","Tampa Bay Lightning","81","3857.3833","50","23","8","48","108","0.667","3498","3373","50.91","2696","2575","51.15","1901","1866","50.46","179","146","55.08","167.29","149.31","52.84","1953","1764","52.54","1128","1047","51.86","154","128","54.61","13.65","87.77","815","665","55.07","564","493","53.36","97","92","51.32","17.20","81.34","1138","1099","50.87","564","554","50.45","57","36","61.29","10.11","93.50","1380","1444","48.87","715","746","48.94","24","18","57.14","3.36","97.59","9.42","92.18","1.016"
"3","Seattle Kraken","80","3905.3167","26","48","6","23","58","0.363","3440","3380","50.44","2559","2559","50.00","1830","1832","49.97","148","184","44.58","140.36","150.6","48.24","1627","1659","49.51","968","959","50.23","122","158","43.57","12.60","83.52","631","673","48.39","469","490","48.91","75","106","41.44","15.99","78.37","996","986","50.25","499","469","51.55","47","52","47.47","9.42","88.91","1582","1498","51.36","804","779","50.79","26","26","50.00","3.23","96.66","8.09","89.96","0.980"
"4","Vegas Golden Knights","81","4023.5667","42","31","8","38","92","0.568","4077","3703","52.40","3044","2635","53.60","2238","1939","53.58","179","164","52.19","183.44","166.84","52.37","1978","1894","51.08","1178","1083","52.10","149","137","52.10","12.65","87.35","832","780","51.61","602","557","51.94","101","93","52.06","16.78","83.30","1146","1114","50.71","576","526","52.27","48","44","52.17","8.33","91.63","1760","1515","53.74","938","747","55.67","29","26","52.73","3.09","96.52","8.00","91.54","0.995"
"5","Montreal Canadiens","81","3873.8333","21","49","11","18","53","0.327","3372","3803","47.00","2491","2880","46.38","1869","2131","46.73","145","194","42.77","151.68","181.01","45.59","1648","2009","45.06","950","1200","44.19","121","167","42.01","12.74","86.08","687","836","45.11","483","608","44.27","66","121","35.29","13.66","80.10","961","1173","45.03","467","592","44.10","55","46","54.46","11.78","92.23","1442","1511","48.83","818","829","49.67","24","26","48.00","2.93","96.86","7.76","90.90","0.987"
"6","Toronto Maple Leafs","81","3969","53","21","7","50","113","0.698","4034","3492","53.60","3042","2678","53.18","2208","1972","52.82","205","181","53.11","188.65","152.99","55.22","2218","1743","56.00","1321","1064","55.39","179","159","52.96","13.55","85.06","866","692","55.58","626","503","55.45","109","108","50.23","17.41","78.53","1352","1051","56.26","695","561","55.33","70","51","57.85","10.07","90.91","1620","1511","51.74","811","801","50.31","25","22","53.19","3.08","97.25","9.28","90.82","1.001"
"7","New York Rangers","81","3996","51","24","6","47","108","0.667","3282","3692","47.06","2479","2760","47.32","1814","1973","47.90","155","147","51.32","149.52","168.8","46.97","1638","1920","46.04","972","1086","47.23","131","127","50.78","13.48","88.31","709","781","47.58","528","559","48.57","89","88","50.28","16.86","84.26","929","1139","44.92","444","527","45.73","42","39","51.85","9.46","92.60","1438","1558","48.00","765","800","48.88","24","20","54.55","3.14","97.50","8.54","92.55","1.011"
"8","Washington Capitals","81","3934.3667","44","25","12","39","100","0.617","3622","3551","50.49","2771","2619","51.41","1966","1851","51.51","178","154","53.61","160.07","156.15","50.62","1802","1775","50.38","1049","1011","50.92","148","127","53.82","14.11","87.44","689","699","49.64","468","495","48.60","87","86","50.29","18.59","82.63","1113","1076","50.85","581","516","52.96","61","41","59.80","10.50","92.05","1571","1507","51.04","824","757","52.12","30","27","52.63","3.64","96.43","9.05","91.68","1.007"
"9","Chicago Blackhawks","81","3949.8333","28","42","11","22","67","0.414","3319","3886","46.07","2411","2825","46.05","1803","2108","46.10","141","190","42.60","137.41","164.13","45.57","1569","1879","45.50","960","1119","46.18","122","163","42.81","12.71","85.43","578","672","46.24","441","514","46.18","70","101","40.94","15.87","80.35","991","1207","45.09","519","605","46.17","52","62","45.61","10.02","89.75","1528","1772","46.30","769","922","45.48","19","27","41.30","2.47","97.07","7.82","90.99","0.988"
"10","Colorado Avalanche","81","3865.6","56","18","7","52","119","0.735","3966","3551","52.76","2893","2693","51.79","2192","2026","51.97","197","150","56.77","166.66","153.81","52.01","1936","1664","53.78","1158","1032","52.88","163","124","56.79","14.08","87.98","732","730","50.07","548","537","50.51","103","82","55.68","18.80","84.73","1204","934","56.31","610","495","55.20","60","42","58.82","9.84","91.52","1762","1604","52.35","927","896","50.85","34","25","57.63","3.67","97.21","8.99","92.60","1.016"
"11","Vancouver Canucks","81","3949.35","40","30","11","37","91","0.562","3690","3713","49.84","2748","2756","49.93","2005","2022","49.79","154","141","52.20","158.44","165.08","48.97","1794","1893","48.66","1037","1130","47.85","130","123","51.38","12.54","89.12","655","747","46.72","468","551","45.93","82","81","50.31","17.52","85.30","1139","1146","49.85","569","579","49.56","48","42","53.33","8.44","92.75","1615","1564","50.80","873","803","52.09","24","18","57.14","2.75","97.76","7.68","93.03","1.007"
