"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","77","3781.7833","43","23","11","40","97","0.630","3649","3345","52.17","2823","2503","53.00","2100","1889","52.64","165","148","52.72","166.61","144.59","53.54","1838","1620","53.15","1159","1014","53.34","144","132","52.17","12.42","86.98","745","637","53.91","595","505","54.09","99","95","51.03","16.64","81.19","1093","983","52.65","564","509","52.56","45","37","54.88","7.98","92.73","1589","1500","51.44","847","785","51.90","21","16","56.76","2.48","97.96","7.86","92.17","1.000"
"2","Tampa Bay Lightning","76","3635.3833","46","22","8","44","100","0.658","3293","3142","51.17","2539","2408","51.32","1785","1752","50.47","164","140","53.95","156.92","139.55","52.93","1830","1658","52.47","1053","990","51.54","142","123","53.58","13.49","87.58","767","623","55.18","536","464","53.60","90","89","50.28","16.79","80.82","1063","1035","50.67","517","526","49.57","52","34","60.47","10.06","93.54","1304","1333","49.45","677","694","49.38","21","17","55.26","3.10","97.55","9.19","92.01","1.012"
"3","Seattle Kraken","76","3714.6333","26","44","6","23","58","0.382","3239","3209","50.23","2408","2430","49.77","1724","1734","49.86","140","171","45.02","132.5","142.2","48.23","1534","1569","49.44","910","899","50.30","114","145","44.02","12.53","83.87","594","633","48.41","441","455","49.22","70","97","41.92","15.87","78.68","940","936","50.11","469","444","51.37","44","48","47.83","9.38","89.19","1492","1437","50.94","761","749","50.40","26","26","50.00","3.42","96.53","8.12","90.14","0.983"
"4","Vegas Golden Knights","78","3862.15","42","31","5","38","89","0.571","3886","3547","52.28","2913","2523","53.59","2137","1858","53.49","172","157","52.28","176.77","159.42","52.58","1905","1822","51.11","1141","1039","52.34","146","130","52.90","12.80","87.49","803","752","51.64","580","537","51.92","100","88","53.19","17.24","83.61","1102","1070","50.74","561","502","52.78","46","42","52.27","8.20","91.63","1662","1443","53.53","883","714","55.29","25","26","49.02","2.83","96.36","8.05","91.55","0.996"
"5","Montreal Canadiens","77","3683.4","20","46","11","17","51","0.331","3194","3630","46.81","2363","2752","46.20","1771","2029","46.61","134","180","42.68","142.25","172.74","45.16","1564","1925","44.83","899","1141","44.07","113","156","42.01","12.57","86.33","649","799","44.82","453","576","44.02","62","113","35.43","13.69","80.38","915","1126","44.83","446","565","44.11","51","43","54.26","11.43","92.39","1361","1451","48.40","774","795","49.33","21","23","47.73","2.71","97.11","7.57","91.13","0.987"
"6","Toronto Maple Leafs","77","3771.6","51","20","6","49","108","0.701","3843","3316","53.68","2896","2548","53.20","2100","1878","52.79","199","173","53.49","179.62","146.16","55.14","2119","1646","56.28","1257","1010","55.45","175","151","53.68","13.92","85.05","818","658","55.42","592","480","55.22","107","102","51.20","18.07","78.75","1301","988","56.84","665","530","55.65","68","49","58.12","10.23","90.75","1539","1445","51.58","771","766","50.16","23","22","51.11","2.98","97.13","9.48","90.79","1.003"
"7","New York Rangers","77","3797.3833","50","21","6","46","106","0.688","3142","3513","47.21","2377","2624","47.53","1729","1874","47.99","148","135","52.30","142.96","160.03","47.18","1565","1829","46.11","928","1032","47.35","125","118","51.44","13.47","88.57","678","741","47.78","504","527","48.88","85","82","50.90","16.87","84.44","887","1088","44.91","424","505","45.64","40","36","52.63","9.43","92.87","1385","1480","48.34","728","760","48.92","23","17","57.50","3.16","97.76","8.56","92.80","1.014"
"8","Washington Capitals","77","3740.0333","43","23","11","38","97","0.630","3427","3408","50.14","2625","2512","51.10","1869","1773","51.32","172","149","53.58","152.82","149.91","50.48","1719","1697","50.32","1007","961","51.17","142","123","53.58","14.10","87.20","657","670","49.51","449","474","48.65","84","85","49.70","18.71","82.07","1062","1027","50.84","558","487","53.40","58","38","60.42","10.39","92.20","1467","1456","50.19","771","735","51.20","30","26","53.57","3.89","96.46","9.20","91.60","1.008"
"9","Chicago Blackhawks","77","3756.2667","26","40","11","21","63","0.409","3160","3692","46.12","2296","2681","46.13","1715","2011","46.03","134","180","42.68","129.56","157.26","45.17","1493","1799","45.35","909","1081","45.68","116","155","42.80","12.76","85.66","552","644","46.15","420","493","46.00","67","95","41.36","15.95","80.73","941","1155","44.90","489","588","45.40","49","60","44.95","10.02","89.80","1452","1674","46.45","735","869","45.82","18","25","41.86","2.45","97.12","7.81","91.05","0.989"
"10","Colorado Avalanche","77","3684.9167","55","16","6","51","116","0.753","3741","3362","52.67","2727","2546","51.72","2081","1914","52.09","187","137","57.72","157.29","143.84","52.23","1829","1570","53.81","1100","968","53.19","155","114","57.62","14.09","88.22","690","687","50.11","517","507","50.49","98","74","56.98","18.96","85.40","1139","883","56.33","583","461","55.84","57","40","58.76","9.78","91.32","1662","1525","52.15","879","856","50.66","32","22","59.26","3.64","97.43","8.99","92.84","1.018"
