"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","41","2025.3167","26","10","5","24","57","0.695","1957","1785","52.30","1514","1329","53.25","1135","1001","53.14","95","73","56.55","91.39","77.92","53.98","1014","899","53.01","634","550","53.55","86","67","56.21","13.56","87.82","400","345","53.69","314","275","53.31","54","47","53.47","17.20","82.91","614","554","52.57","320","275","53.78","32","20","61.54","10.00","92.73","830","761","52.17","457","397","53.51","9","6","60.00","1.97","98.49","8.37","92.71","1.011"
"2","Tampa Bay Lightning","43","2053.15","28","10","5","26","61","0.709","1853","1751","51.42","1435","1351","51.51","996","992","50.10","95","76","55.56","86.14","75.18","53.40","1023","929","52.41","581","567","50.61","79","66","54.48","13.60","88.36","438","331","56.96","306","256","54.45","54","43","55.67","17.65","83.20","585","598","49.45","275","311","46.93","25","23","52.08","9.09","92.60","743","743","50.00","380","385","49.67","15","10","60.00","3.95","97.40","9.54","92.34","1.019"
"3","Seattle Kraken","41","2003.5167","13","24","4","12","30","0.366","1660","1707","49.30","1245","1280","49.31","894","932","48.96","73","103","41.48","67.93","72.42","48.40","772","805","48.95","472","483","49.42","57","85","40.14","12.08","82.40","307","307","50.00","228","236","49.14","36","54","40.00","15.79","77.12","465","498","48.29","244","247","49.69","21","31","40.38","8.61","87.45","781","793","49.62","400","407","49.57","16","18","47.06","4.00","95.58","8.17","88.95","0.971"
"4","Vegas Golden Knights","41","2019.6333","24","15","2","21","50","0.610","2033","1817","52.81","1518","1297","53.93","1121","952","54.08","98","86","53.26","93.1","83.67","52.67","988","947","51.06","595","532","52.80","86","74","53.75","14.45","86.09","417","399","51.10","308","275","52.83","59","54","52.21","19.16","80.36","571","548","51.03","287","257","52.76","27","20","57.45","9.41","92.22","885","737","54.56","479","372","56.29","12","11","52.17","2.51","97.04","8.74","90.97","0.997"
"5","Montreal Canadiens","40","1902.0667","8","25","7","7","23","0.288","1655","1877","46.86","1209","1443","45.59","899","1062","45.84","60","84","41.67","71.1","86.33","45.16","815","968","45.71","466","579","44.59","54","74","42.19","11.59","87.22","334","388","46.26","243","287","45.85","31","58","34.83","12.76","79.79","481","580","45.33","223","292","43.30","23","16","58.97","10.31","94.52","704","777","47.54","384","428","47.29","6","10","37.50","1.56","97.66","6.67","92.09","0.988"
"6","Toronto Maple Leafs","38","1868.6667","25","10","3","24","53","0.697","1860","1668","52.72","1392","1300","51.71","1021","943","51.99","85","73","53.80","89.57","73.54","54.91","1057","852","55.37","647","518","55.54","75","67","52.82","11.59","87.07","408","347","54.04","313","247","55.89","50","46","52.08","15.97","81.38","649","505","56.24","334","271","55.21","25","21","54.35","7.49","92.25","718","718","50.00","340","371","47.82","10","6","62.50","2.94","98.38","8.33","92.26","1.006"
"7","New York Rangers","42","2047.7","27","11","4","25","58","0.690","1612","2026","44.31","1220","1503","44.80","881","1059","45.41","77","77","50.00","73.55","92.01","44.43","794","1048","43.11","470","579","44.80","64","68","48.48","13.62","88.26","353","426","45.31","255","301","45.86","43","50","46.24","16.86","83.39","441","622","41.49","215","278","43.61","21","18","53.85","9.77","93.53","708","869","44.90","363","439","45.26","13","9","59.09","3.58","97.95","8.74","92.73","1.015"
"8","Washington Capitals","42","2060.0667","23","10","9","21","55","0.655","1918","1767","52.05","1462","1310","52.74","1047","943","52.61","98","73","57.31","84.54","77.53","52.16","966","919","51.25","576","534","51.89","85","58","59.44","14.76","89.14","362","360","50.14","254","245","50.90","50","40","55.56","19.69","83.67","604","559","51.93","322","289","52.70","35","18","66.04","10.87","93.77","830","722","53.48","425","371","53.39","13","15","46.43","3.06","95.96","9.36","92.26","1.016"
"9","Chicago Blackhawks","41","1968.1333","15","19","7","12","37","0.451","1643","1882","46.61","1186","1361","46.56","872","999","46.61","59","83","41.55","66.3","79.52","45.47","768","923","45.42","449","558","44.59","51","70","42.15","11.36","87.46","281","314","47.23","209","254","45.14","32","45","41.56","15.31","82.28","487","609","44.43","240","304","44.12","19","25","43.18","7.92","91.78","773","846","47.75","393","412","48.82","8","13","38.10","2.04","96.84","6.77","91.69","0.985"
"10","Colorado Avalanche","39","1820.9667","28","8","3","25","59","0.756","1825","1608","53.16","1318","1209","52.16","1019","913","52.74","100","73","57.80","75.7","68.38","52.54","890","759","53.97","542","466","53.77","82","60","57.75","15.13","87.12","336","308","52.17","266","231","53.52","55","35","61.11","20.68","84.85","554","451","55.12","276","235","54.01","27","25","51.92","9.78","89.36","813","716","53.17","421","402","51.15","18","13","58.06","4.28","96.77","9.81","92.00","1.018"
