"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","64","3145.8667","39","16","9","36","87","0.680","3054","2735","52.76","2360","2048","53.54","1764","1534","53.49","136","114","54.40","139.93","118.7","54.10","1531","1339","53.34","964","825","53.88","121","103","54.02","12.55","87.52","612","520","54.06","488","411","54.28","83","77","51.88","17.01","81.27","919","819","52.88","476","414","53.48","38","26","59.38","7.98","93.72","1333","1216","52.30","717","631","53.19","15","11","57.69","2.09","98.26","7.71","92.57","1.003"
"2","Tampa Bay Lightning","62","2961.1167","39","17","6","37","84","0.677","2648","2563","50.82","2058","1958","51.25","1440","1431","50.16","136","107","55.97","125.48","111.08","53.05","1462","1346","52.07","843","812","50.94","115","93","55.29","13.64","88.55","621","489","55.95","435","372","53.90","75","65","53.57","17.24","82.53","841","857","49.53","408","440","48.11","40","28","58.82","9.80","93.64","1063","1088","49.42","552","566","49.37","20","14","58.82","3.62","97.53","9.44","92.52","1.020"
"3","Seattle Kraken","64","3111.0333","20","38","6","18","46","0.359","2707","2676","50.29","2011","2021","49.88","1448","1457","49.85","114","151","43.02","109","116.27","48.38","1271","1295","49.53","749","748","50.03","91","128","41.55","12.15","82.89","491","509","49.10","365","376","49.26","60","84","41.67","16.44","77.66","780","786","49.81","384","372","50.79","31","44","41.33","8.07","88.17","1258","1215","50.87","654","637","50.66","23","23","50.00","3.52","96.39","7.87","89.64","0.975"
"4","Vegas Golden Knights","66","3246.3","34","28","4","30","72","0.545","3242","2978","52.12","2429","2108","53.54","1782","1551","53.47","140","135","50.91","147.34","134.71","52.24","1598","1534","51.02","958","867","52.49","122","112","52.14","12.73","87.08","668","645","50.88","484","457","51.43","82","80","50.62","16.94","82.49","930","889","51.13","474","410","53.62","40","32","55.56","8.44","92.20","1388","1209","53.45","736","598","55.17","17","22","43.59","2.31","96.32","7.86","91.30","0.992"
"5","Montreal Canadiens","63","2995.1167","17","36","10","15","44","0.349","2617","2885","47.56","1928","2199","46.72","1453","1614","47.38","106","144","42.40","114.43","135","45.88","1284","1495","46.20","744","888","45.59","91","126","41.94","12.23","85.81","523","622","45.68","375","448","45.57","51","93","35.42","13.60","79.24","761","873","46.57","369","440","45.61","40","33","54.79","10.84","92.50","1104","1197","47.98","625","650","49.02","15","18","45.45","2.40","97.23","7.30","91.08","0.984"
"6","Toronto Maple Leafs","62","3060.5667","39","18","5","37","83","0.669","3139","2703","53.73","2358","2091","53.00","1705","1544","52.48","155","141","52.36","146.14","120.08","54.89","1719","1345","56.10","1027","825","55.45","138","124","52.67","13.44","84.97","657","546","54.61","479","400","54.49","87","82","51.48","18.16","79.50","1062","799","57.07","548","425","56.32","51","42","54.84","9.31","90.12","1271","1181","51.84","621","629","49.68","16","17","48.48","2.58","97.30","9.09","90.87","1.000"
"7","New York Rangers","64","3134.2333","40","19","5","36","85","0.664","2519","3029","45.40","1915","2261","45.86","1398","1620","46.32","116","118","49.57","115.87","139.23","45.42","1255","1588","44.14","743","901","45.19","97","104","48.26","13.06","88.46","548","647","45.86","408","463","46.84","67","73","47.86","16.42","84.23","707","941","42.90","335","438","43.34","30","31","49.18","8.96","92.92","1110","1267","46.70","591","648","47.70","19","14","57.58","3.21","97.84","8.30","92.72","1.010"
"8","Washington Capitals","65","3159.55","35","20","10","31","80","0.615","2891","2859","50.28","2211","2121","51.04","1580","1510","51.13","140","117","54.47","127.58","124.74","50.56","1457","1426","50.54","860","822","51.13","119","98","54.84","13.84","88.08","543","560","49.23","378","395","48.90","69","69","50.00","18.25","82.53","914","866","51.35","482","427","53.03","50","29","63.29","10.37","93.21","1241","1224","50.34","644","625","50.75","21","19","52.50","3.26","96.96","8.86","92.25","1.011"
"9","Chicago Blackhawks","63","3054.85","22","32","9","19","53","0.421","2572","2943","46.64","1854","2118","46.68","1389","1576","46.85","106","139","43.27","102.63","123.25","45.43","1209","1428","45.85","729","851","46.14","92","118","43.81","12.62","86.13","445","482","48.00","332","374","47.03","54","73","42.52","16.27","80.48","764","946","44.68","397","477","45.42","38","45","45.78","9.57","90.57","1193","1338","47.14","605","676","47.23","14","21","40.00","2.31","96.89","7.63","91.18","0.988"
"10","Colorado Avalanche","63","2977.6333","45","13","5","42","95","0.754","3033","2679","53.10","2188","2016","52.05","1670","1514","52.45","147","108","57.65","126.68","114.53","52.52","1463","1251","53.91","881","764","53.56","122","89","57.82","13.85","88.35","567","538","51.31","427","396","51.88","79","56","58.52","18.50","85.86","896","713","55.69","454","368","55.23","43","33","56.58","9.47","91.03","1362","1218","52.79","706","682","50.86","25","18","58.14","3.54","97.36","8.80","92.87","1.017"
"11","Vancouver Canucks","64","3112.8167","30","26","8","27","68","0.531","2931","2969","49.68","2182","2188","49.93","1614","1591","50.36","113","110","50.67","123.06","129.44","48.74","1416","1510","48.39","828","892","48.14","93","97","48.95","11.23","89.13","508","584","46.52","370","427","46.42","60","62","49.18","16.22","85.48","908","926","49.51","458","465","49.62","33","35","48.53","7.21","92.47","1288","1260","50.55","708","633","52.80","20","13","60.61","2.82","97.95","7.00","93.09","1.001"
"12","Edmonton Oilers","64","3092.4667","35","24","5","32","75","0.586","3022","2712","52.70","2226","2103","51.42","1636","1567","51.08","135","133","50.37","134.27","124.59","51.87","1434","1420","50.25","850","870","49.42","122","103","54.22","14.35","88.16","582","560","50.96","443","415","51.63","87","68","56.13","19.64","83.61","852","860","49.77","407","455","47.22","35","35","50.00","8.60","92.31","1394","1108","55.72","732","622","54.06","13","29","30.95","1.78","95.34","8.25","91.51","0.998"
"13","Buffalo Sabres","63","3109.9333","22","33","8","20","52","0.413","2608","2902","47.33","1985","2304","46.28","1497","1723","46.49","114","146","43.85","108.84","134.88","44.66","1226","1426","46.23","738","900","45.05","96","124","43.64","13.01","86.22","498","609","44.99","369","465","44.24","64","77","45.39","17.34","83.44","728","817","47.12","369","435","45.90","32","47","40.51","8.67","89.20","1222","1321","48.05","698","757","47.97","18","21","46.15","2.58","97.23","7.62","91.53","0.991"
"14","Ottawa Senators","63","3036.3333","22","36","5","21","49","0.389","2753","2984","47.99","2074","2217","48.33","1485","1599","48.15","110","137","44.53","117.62","130.72","47.36","1335","1482","47.39","764","862","46.99","88","126","41.12","11.52","85.38","522","576","47.54","363","410","46.96","56","72","43.75","15.43","82.44","813","906","47.29","401","452","47.01","32","54","37.21","7.98","88.05","1228","1298","48.61","643","655","49.54","22","11","66.67","3.42","98.32","7.41","91.43","0.988"
"15","Detroit Red Wings","63","3082.65","26","30","7","23","59","0.468","2565","2956","46.46","1941","2256","46.25","1473","1692","46.54","126","154","45.00","120.99","133.92","47.46","1284","1548","45.34","781","932","45.59","107","126","45.92","13.70","86.48","531","646","45.11","406","462","46.77","72","82","46.75","17.73","82.25","753","902","45.50","375","470","44.38","35","44","44.30","9.33","90.64","1093","1239","46.87","620","703","46.86","19","26","42.22","3.06","96.30","8.55","90.90","0.995"
"16","Florida Panthers","62","2955.45","42","14","6","40","90","0.726","3220","2496","56.33","2400","1883","56.04","1806","1447","55.52","166","115","59.07","150.19","119.24","55.74","1683","1298","56.46","1059","831","56.03","148","96","60.66","13.98","88.45","671","571","54.03","523","438","54.42","96","61","61.15","18.36","86.07","1012","727","58.19","536","393","57.70","52","35","59.77","9.70","91.09","1343","1029","56.62","669","537","55.47","17","19","47.22","2.54","96.46","9.19","92.05","1.012"
"17","Dallas Stars","62","2980.7833","35","24","3","32","73","0.589","2689","2817","48.84","2029","2066","49.55","1457","1500","49.27","112","116","49.12","123.82","118.71","51.05","1385","1318","51.24","820","806","50.43","100","100","50.00","12.20","87.59","601","528","53.23","435","393","52.54","77","63","55.00","17.70","83.97","784","790","49.81","385","413","48.25","23","37","38.33","5.97","91.04","1110","1247","47.09","549","616","47.12","11","16","40.74","2.00","97.40","7.69","92.27","1.000"
"18","New York Islanders","61","3012.5667","27","25","9","26","63","0.516","2558","2897","46.89","1898","2129","47.13","1400","1559","47.31","114","110","50.89","119.62","123.35","49.23","1332","1521","46.69","780","879","47.02","93","89","51.10","11.92","89.87","543","545","49.91","412","413","49.94","64","57","52.89","15.53","86.20","789","976","44.70","368","466","44.12","29","32","47.54","7.88","93.13","1078","1248","46.35","555","629","46.88","18","20","47.37","3.24","96.82","8.14","92.94","1.011"
"19","Carolina Hurricanes","63","2982.1","42","15","6","41","90","0.714","3136","2527","55.38","2378","1967","54.73","1671","1420","54.06","143","105","57.66","150.85","127.87","54.12","1514","1265","54.48","849","768","52.50","121","92","56.81","14.25","88.02","673","560","54.58","448","414","51.97","83","69","54.61","18.53","83.33","841","705","54.40","401","354","53.11","38","23","62.30","9.48","93.50","1398","1055","56.99","758","580","56.65","22","13","62.86","2.90","97.76","8.56","92.61","1.012"
"20","Arizona Coyotes","63","3081.1833","20","39","4","19","44","0.349","2391","3073","43.76","1796","2348","43.34","1277","1740","42.33","124","156","44.29","106.04","140.45","43.02","1154","1507","43.37","700","927","43.02","105","130","44.68","15.00","85.98","485","649","42.77","351","482","42.14","70","79","46.98","19.94","83.61","669","858","43.81","349","445","43.95","35","51","40.70","10.03","88.54","1079","1373","44.00","531","742","41.71","19","24","44.19","3.58","96.77","9.71","91.03","1.007"
