"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","34","1683.8833","20","9","5","19","45","0.662","1635","1459","52.84","1272","1081","54.06","957","810","54.16","78","59","56.93","73.99","61.54","54.59","840","718","53.92","526","434","54.79","71","55","56.35","13.50","87.33","324","273","54.27","255","216","54.14","46","37","55.42","18.04","82.87","516","445","53.69","271","218","55.42","25","18","58.14","9.23","91.74","707","638","52.57","395","331","54.41","7","4","63.64","1.77","98.79","8.15","92.72","1.009"
"2","Tampa Bay Lightning","37","1771.3667","23","9","5","21","51","0.689","1608","1508","51.60","1248","1161","51.81","859","866","49.80","77","67","53.47","73.67","64.83","53.19","882","805","52.28","492","499","49.65","65","58","52.85","13.21","88.38","374","287","56.58","259","228","53.18","44","39","53.01","16.99","82.89","508","518","49.51","233","271","46.23","21","19","52.50","9.01","92.99","643","635","50.31","333","334","49.93","11","9","55.00","3.30","97.31","8.96","92.26","1.012"
"3","Seattle Kraken","33","1639.9833","10","19","4","10","24","0.364","1337","1401","48.83","1009","1057","48.84","736","772","48.81","60","87","40.82","54.36","59.48","47.75","615","645","48.81","384","392","49.48","47","70","40.17","12.24","82.14","243","251","49.19","188","196","48.96","30","43","41.10","15.96","78.06","372","394","48.56","196","196","50.00","17","27","38.64","8.67","86.22","638","667","48.89","335","344","49.34","13","17","43.33","3.88","95.06","8.15","88.73","0.969"
"4","Vegas Golden Knights","38","1870.4833","23","14","1","20","47","0.618","1864","1711","52.14","1390","1223","53.20","1029","893","53.54","94","78","54.65","85","77.62","52.27","905","887","50.50","547","495","52.50","83","66","55.70","15.17","86.67","380","371","50.60","282","254","52.61","56","49","53.33","19.86","80.71","525","516","50.43","265","241","52.37","27","17","61.36","10.19","92.95","812","701","53.67","439","355","55.29","11","11","50.00","2.51","96.90","9.14","91.27","1.004"
"5","Montreal Canadiens","34","1631.4833","7","23","4","6","18","0.265","1446","1564","48.04","1054","1202","46.72","787","889","46.96","51","72","41.46","61.82","71.85","46.25","716","812","46.86","404","485","45.44","45","62","42.06","11.14","87.22","295","326","47.50","215","242","47.05","27","48","36.00","12.56","80.17","421","486","46.42","189","243","43.75","18","14","56.25","9.52","94.24","620","644","49.05","345","359","49.01","6","10","37.50","1.74","97.21","6.48","91.90","0.984"
"6","Toronto Maple Leafs","33","1628.8","22","8","3","22","47","0.712","1630","1484","52.34","1230","1165","51.36","894","844","51.44","72","59","54.96","77.65","64.73","54.54","929","759","55.04","563","461","54.98","64","53","54.70","11.37","88.50","357","307","53.77","271","217","55.53","43","35","55.13","15.87","83.87","572","452","55.86","292","244","54.48","21","18","53.85","7.19","92.62","627","640","49.49","300","339","46.95","8","6","57.14","2.67","98.23","8.05","93.01","1.011"
"7","New York Rangers","36","1743.4167","23","9","4","21","50","0.694","1366","1719","44.28","1042","1275","44.97","755","889","45.92","63","64","49.61","63.15","74.65","45.83","689","879","43.94","409","480","46.01","52","57","47.71","12.71","88.13","310","340","47.69","224","238","48.48","33","39","45.83","14.73","83.61","379","539","41.29","185","242","43.33","19","18","51.35","10.27","92.56","588","743","44.18","305","374","44.92","11","7","61.11","3.61","98.13","8.34","92.80","1.011"
"8","Washington Capitals","36","1763.8167","20","7","9","18","49","0.681","1621","1509","51.79","1241","1118","52.61","898","811","52.55","86","62","58.11","71.27","65.44","52.13","813","779","51.07","489","450","52.08","75","49","60.48","15.34","89.11","307","310","49.76","219","209","51.17","45","37","54.88","20.55","82.30","506","469","51.90","270","241","52.84","30","12","71.43","11.11","95.02","702","623","52.98","368","326","53.03","11","13","45.83","2.99","96.01","9.58","92.36","1.019"
"9","Chicago Blackhawks","35","1681.6667","12","18","5","9","29","0.414","1412","1587","47.08","1011","1154","46.70","735","848","46.43","50","74","40.32","56.86","66.99","45.91","669","783","46.07","388","468","45.33","42","62","40.38","10.82","86.75","243","260","48.31","177","213","45.38","26","40","39.39","14.69","81.22","426","523","44.89","211","255","45.28","16","22","42.11","7.58","91.37","652","713","47.77","320","358","47.20","8","12","40.00","2.50","96.65","6.80","91.27","0.981"
"10","Colorado Avalanche","31","1440.9667","21","8","2","20","44","0.710","1436","1272","53.03","1035","953","52.06","795","724","52.34","81","63","56.25","59.75","54.26","52.41","718","598","54.56","436","363","54.57","66","54","55.00","15.14","85.12","262","238","52.40","208","183","53.20","42","31","57.53","20.19","83.06","456","360","55.88","228","180","55.88","24","23","51.06","10.53","87.22","623","574","52.05","318","324","49.53","15","9","62.50","4.72","97.22","10.19","91.30","1.015"
"11","Vancouver Canucks","34","1642.8","16","15","3","13","35","0.515","1537","1520","50.28","1128","1120","50.18","842","840","50.06","52","50","50.98","62.4","65.62","48.75","727","764","48.76","425","464","47.81","42","44","48.84","9.88","90.52","264","293","47.40","195","227","46.21","26","29","47.27","13.33","87.22","463","471","49.57","230","237","49.25","16","15","51.61","6.96","93.67","700","656","51.62","375","342","52.30","10","6","62.50","2.67","98.25","6.18","94.05","1.002"
"12","Edmonton Oilers","34","1662.2833","18","14","2","16","38","0.559","1567","1487","51.31","1162","1156","50.13","854","876","49.36","68","80","45.95","68.44","66.67","50.65","745","764","49.37","431","484","47.10","60","59","50.42","13.92","87.81","292","322","47.56","221","241","47.84","45","42","51.72","20.36","82.57","453","442","50.61","210","243","46.36","15","17","46.88","7.14","93.00","721","615","53.97","395","350","53.02","8","20","28.57","2.03","94.29","7.96","90.87","0.988"
"13","Buffalo Sabres","34","1705.5","10","18","6","8","26","0.382","1449","1571","47.98","1110","1244","47.15","820","942","46.54","64","82","43.84","58.89","69.8","45.76","670","763","46.76","393","481","44.97","55","71","43.65","13.99","85.24","265","324","44.99","189","247","43.35","35","46","43.21","18.52","81.38","405","439","47.99","204","234","46.58","20","25","44.44","9.80","89.32","702","727","49.13","400","432","48.08","9","10","47.37","2.25","97.69","7.80","91.30","0.991"
"14","Ottawa Senators","29","1368.6333","9","18","2","8","20","0.345","1149","1419","44.74","875","1049","45.48","627","743","45.77","52","67","43.70","50.76","60","45.83","569","709","44.52","336","397","45.84","41","60","40.59","12.20","84.89","225","274","45.09","161","192","45.61","27","38","41.54","16.77","80.21","344","435","44.16","175","205","46.05","14","22","38.89","8.00","89.27","508","623","44.92","258","314","45.10","11","7","61.11","4.26","97.77","8.29","90.98","0.993"
"15","Detroit Red Wings","36","1746.9833","16","16","4","15","36","0.500","1452","1701","46.05","1098","1278","46.21","830","954","46.52","68","78","46.58","69.18","76.14","47.61","736","883","45.46","448","527","45.95","60","61","49.59","13.39","88.43","306","377","44.80","227","266","46.04","38","37","50.67","16.74","86.09","430","506","45.94","221","261","45.85","22","24","47.83","9.95","90.80","603","716","45.72","343","393","46.60","8","17","32.00","2.33","95.67","8.19","91.82","1.000"
"16","Florida Panthers","35","1666.6333","23","7","5","22","51","0.729","1823","1407","56.44","1375","1066","56.33","1039","830","55.59","94","67","58.39","84.34","67.77","55.44","947","732","56.40","603","479","55.73","87","56","60.84","14.43","88.31","377","320","54.09","294","252","53.85","60","37","61.86","20.41","85.32","570","412","58.04","309","227","57.65","27","19","58.70","8.74","91.63","774","584","57.00","398","304","56.70","7","11","38.89","1.76","96.38","9.05","91.93","1.010"
"17","Dallas Stars","32","1542.1167","17","13","2","15","36","0.563","1370","1431","48.91","1014","1053","49.06","733","771","48.74","54","57","48.65","58.49","58.3","50.08","686","659","51.00","403","407","49.75","52","50","50.98","12.90","87.71","291","250","53.79","211","185","53.28","42","31","57.53","19.91","83.24","395","409","49.13","192","222","46.38","10","19","34.48","5.21","91.44","582","641","47.59","281","323","46.52","2","7","22.22","0.71","97.83","7.37","92.61","1.000"
"18","New York Islanders","28","1379","10","12","6","10","26","0.464","1151","1346","46.10","859","996","46.31","632","716","46.88","42","51","45.16","52.92","56.55","48.35","606","692","46.69","355","400","47.02","34","42","44.74","9.58","89.50","240","259","48.10","176","206","46.07","25","33","43.10","14.20","83.98","366","433","45.81","179","194","47.99","9","9","50.00","5.03","95.36","482","595","44.75","253","293","46.34","7","9","43.75","2.77","96.93","6.65","92.88","0.995"
"19","Carolina Hurricanes","33","1530.1167","24","7","2","24","50","0.758","1624","1284","55.85","1219","989","55.21","865","700","55.27","80","51","61.07","76.03","65.96","53.55","775","639","54.81","431","379","53.21","65","45","59.09","15.08","88.13","338","285","54.25","232","205","53.09","43","35","55.13","18.53","82.93","437","354","55.25","199","174","53.35","22","10","68.75","11.06","94.25","731","537","57.65","399","288","58.08","15","6","71.43","3.76","97.92","9.25","92.71","1.020"
"20","Arizona Coyotes","33","1576.4667","7","23","3","7","17","0.258","1260","1451","46.48","977","1108","46.86","699","835","45.57","54","80","40.30","53.45","64.93","45.15","599","682","46.76","373","442","45.77","44","66","40.00","11.80","85.07","250","303","45.21","184","238","43.60","29","45","39.19","15.76","81.09","349","379","47.94","189","204","48.09","15","21","41.67","7.94","89.71","574","669","46.18","302","363","45.41","10","14","41.67","3.31","96.14","7.73","90.42","0.981"
"21","Columbus Blue Jackets","33","1634.9333","16","16","1","13","33","0.500","1486","1625","47.77","1108","1263","46.73","785","933","45.69","72","85","45.86","63.31","73.63","46.23","729","842","46.40","411","532","43.58","60","69","46.51","14.60","87.03","260","330","44.07","197","247","44.37","38","40","48.72","19.29","83.81","469","512","47.81","214","285","42.89","22","29","43.14","10.28","89.82","658","704","48.31","333","372","47.23","12","16","42.86","3.60","95.70","9.17","90.89","1.001"
"22","Nashville Predators","36","1698.5667","23","11","2","22","48","0.667","1495","1484","50.18","1129","1132","49.93","807","817","49.69","68","60","53.13","66.31","63.17","51.21","769","740","50.96","457","439","51.00","62","54","53.45","13.57","87.70","280","260","51.85","214","190","52.97","40","33","54.79","18.69","82.63","489","480","50.46","243","249","49.39","22","21","51.16","9.05","91.57","644","650","49.77","317","347","47.74","6","6","50.00","1.89","98.27","8.43","92.66","1.011"
"23","Winnipeg Jets","33","1591.6833","16","12","5","15","37","0.561","1577","1482","51.55","1195","1133","51.33","865","829","51.06","64","59","52.03","72.47","72","50.16","812","758","51.72","477","445","51.74","52","49","51.49","10.90","88.99","319","327","49.38","236","224","51.30","33","35","48.53","13.98","84.38","493","431","53.35","241","221","52.16","19","14","57.58","7.88","93.67","686","641","51.70","358","345","50.92","12","10","54.55","3.35","97.10","7.40","92.88","1.003"
"24","Anaheim Ducks","38","1858.3833","19","12","7","16","45","0.592","1666","1737","48.96","1267","1307","49.22","927","934","49.81","69","73","48.59","74.89","79.78","48.42","814","828","49.57","499","507","49.60","56","60","48.28","11.22","88.17","352","337","51.09","277","250","52.56","39","39","50.00","14.08","84.40","462","491","48.48","222","257","46.35","17","21","44.74","7.66","91.83","726","768","48.59","371","387","48.94","12","13","48.00","3.23","96.64","7.44","92.18","0.996"
"25","Los Angeles Kings","35","1672.6667","17","13","5","15","39","0.557","1669","1484","52.93","1295","1104","53.98","945","795","54.31","63","53","54.31","78.45","71.5","52.32","875","821","51.59","521","456","53.33","56","50","52.83","10.75","89.04","372","340","52.25","261","234","52.73","47","36","56.63","18.01","84.62","503","481","51.12","260","222","53.94","9","14","39.13","3.46","93.69","689","567","54.86","391","309","55.86","7","3","70.00","1.79","99.03","6.67","93.33","1.000"
"26","New Jersey Devils","36","1749.75","14","17","5","13","33","0.458","1714","1652","50.92","1288","1265","50.45","921","911","50.27","71","88","44.65","74.32","72.64","50.57","876","830","51.35","500","487","50.66","61","76","44.53","12.20","84.39","354","288","55.14","255","222","53.46","47","52","47.47","18.43","76.58","522","542","49.06","245","265","48.04","14","24","36.84","5.71","90.94","756","719","51.25","392","373","51.24","10","12","45.45","2.55","96.78","7.71","90.34","0.980"
"27","Philadelphia Flyers","35","1680.7333","13","15","7","13","33","0.471","1549","1720","47.38","1156","1305","46.97","852","962","46.97","60","74","44.78","66.25","78.92","45.64","676","875","43.58","415","519","44.43","53","62","46.09","12.77","88.05","275","371","42.57","202","278","42.08","32","42","43.24","15.84","84.89","401","504","44.31","213","241","46.92","21","20","51.22","9.86","91.70","719","735","49.45","375","394","48.76","7","12","36.84","1.87","96.95","7.04","92.31","0.993"
"28","Minnesota Wild","33","1518.6","21","10","2","17","44","0.667","1411","1406","50.09","1063","1077","49.67","791","784","50.22","77","66","53.85","60.08","59.34","50.31","693","665","51.03","423","415","50.48","62","54","53.45","14.66","86.99","270","276","49.45","211","208","50.36","42","36","53.85","19.91","82.69","423","389","52.09","212","207","50.60","20","18","52.63","9.43","91.30","624","637","49.48","333","340","49.48","15","12","55.56","4.50","96.47","9.73","91.58","1.013"
"29","Boston Bruins","31","1483.3","18","11","2","17","38","0.613","1450","1238","53.94","1161","934","55.42","888","676","56.78","60","53","53.10","63.96","48.14","57.06","694","594","53.88","434","333","56.58","45","44","50.56","10.37","86.79","259","200","56.43","191","148","56.34","30","28","51.72","15.71","81.08","435","394","52.47","243","185","56.78","15","16","48.39","6.17","91.35","688","579","54.30","410","311","56.87","15","9","62.50","3.66","97.11","6.76","92.16","0.989"
"30","St Louis Blues","36","1754.4833","21","10","5","19","47","0.653","1505","1609","48.33","1168","1279","47.73","878","926","48.67","78","67","53.79","71.22","78.92","47.43","847","857","49.71","528","517","50.53","63","58","52.07","11.93","88.78","290","351","45.24","222","255","46.54","33","35","48.53","14.86","86.27","557","506","52.40","306","262","53.87","30","23","56.60","9.80","91.22","567","666","45.99","314","373","45.71","15","8","65.22","4.78","97.86","8.88","92.76","1.016"
"31","Calgary Flames","33","1586.9667","17","10","6","15","40","0.606","1621","1394","53.76","1215","1058","53.45","895","766","53.88","66","54","55.00","71.01","62.69","53.11","830","664","55.56","504","394","56.12","55","47","53.92","10.91","88.07","303","263","53.53","228","197","53.65","32","30","51.61","14.04","84.77","527","401","56.79","276","197","58.35","23","17","57.50","8.33","91.37","677","633","51.68","349","331","51.32","11","7","61.11","3.15","97.89","7.37","92.95","1.003"
"32","San Jose Sharks","36","1790.5","19","16","1","18","39","0.542","1552","1770","46.72","1178","1267","48.18","848","902","48.46","68","76","47.22","70.35","71.18","49.70","820","845","49.25","484","458","51.38","52","64","44.83","10.74","86.03","349","313","52.72","240","214","52.86","39","37","51.32","16.25","82.71","471","532","46.96","244","244","50.00","13","27","32.50","5.33","88.93","634","817","43.69","315","392","44.55","15","12","55.56","4.76","96.94","8.02","91.57","0.996"
