"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","57","2815.35","34","14","9","32","77","0.675","2727","2455","52.62","2106","1834","53.45","1574","1377","53.34","119","102","53.85","123.16","107.84","53.32","1353","1218","52.63","852","744","53.38","107","92","53.77","12.56","87.63","540","472","53.36","429","372","53.56","72","70","50.70","16.78","81.18","813","746","52.15","423","372","53.21","35","22","61.40","8.27","94.09","1203","1075","52.81","650","561","53.67","12","10","54.55","1.85","98.22","7.56","92.59","1.002"
"2","Tampa Bay Lightning","54","2592.7333","36","12","6","34","78","0.722","2313","2220","51.03","1795","1695","51.43","1248","1238","50.20","119","93","56.13","108.34","94.19","53.49","1276","1160","52.38","725","702","50.81","99","81","55.00","13.66","88.46","552","416","57.02","384","317","54.78","65","57","53.28","16.93","82.02","724","744","49.32","341","385","46.97","34","24","58.62","9.97","93.77","930","951","49.44","484","487","49.85","19","12","61.29","3.93","97.54","9.54","92.49","1.020"
"3","Seattle Kraken","57","2779.9","17","35","5","16","39","0.342","2406","2382","50.25","1776","1797","49.71","1266","1300","49.34","100","138","42.02","96.15","102.93","48.30","1123","1143","49.56","660","665","49.81","80","116","40.82","12.12","82.56","432","451","48.92","316","341","48.10","52","75","40.94","16.46","78.01","691","692","49.96","344","324","51.50","28","41","40.58","8.14","87.35","1123","1092","50.70","569","570","49.96","20","22","47.62","3.51","96.14","7.90","89.38","0.973"
"4","Vegas Golden Knights","56","2756.8333","31","21","4","27","66","0.589","2733","2518","52.05","2040","1782","53.38","1496","1307","53.37","126","113","52.72","124.98","114.75","52.13","1355","1312","50.81","798","729","52.26","109","93","53.96","13.66","87.24","558","547","50.50","401","384","51.08","72","68","51.43","17.96","82.29","797","765","51.02","397","345","53.50","37","25","59.68","9.32","92.75","1164","1011","53.52","625","503","55.41","16","19","45.71","2.56","96.22","8.42","91.35","0.998"
"5","Montreal Canadiens","56","2661.85","15","34","7","13","37","0.330","2310","2568","47.36","1714","1973","46.49","1290","1456","46.98","92","129","41.63","102.79","120.21","46.09","1140","1327","46.21","670","801","45.55","79","112","41.36","11.79","86.02","475","542","46.71","347","396","46.70","46","82","35.94","13.26","79.29","665","785","45.86","323","405","44.37","33","30","52.38","10.22","92.59","965","1071","47.40","545","587","48.14","13","17","43.33","2.39","97.10","7.13","91.14","0.983"
"6","Toronto Maple Leafs","55","2722.15","35","16","4","33","74","0.673","2754","2399","53.44","2069","1860","52.66","1514","1370","52.50","135","124","52.12","126.79","106.09","54.44","1502","1188","55.84","911","732","55.45","119","110","51.97","13.06","84.97","569","481","54.19","425","352","54.70","75","74","50.34","17.65","78.98","933","707","56.89","486","380","56.12","44","36","55.00","9.05","90.53","1123","1052","51.63","551","556","49.77","15","14","51.72","2.72","97.48","8.92","90.95","0.999"
"7","New York Rangers","55","2685.3333","35","15","5","31","75","0.682","2161","2638","45.03","1638","1950","45.65","1186","1394","45.97","101","97","51.01","100.21","116.98","46.14","1076","1358","44.21","631","761","45.33","85","85","50.00","13.47","88.83","481","545","46.88","350","393","47.11","58","60","49.15","16.57","84.73","595","813","42.26","281","368","43.30","27","25","51.92","9.61","93.21","947","1129","45.62","496","572","46.44","16","12","57.14","3.23","97.90","8.52","93.04","1.016"
"8","Washington Capitals","57","2772.9","30","18","9","28","69","0.605","2542","2476","50.66","1925","1832","51.24","1383","1310","51.36","123","100","55.16","111.29","107.51","50.87","1273","1247","50.52","747","718","50.99","104","83","55.61","13.92","88.44","483","491","49.59","341","344","49.78","63","59","51.64","18.48","82.85","790","756","51.10","406","374","52.05","41","24","63.08","10.10","93.58","1104","1056","51.11","572","538","51.53","19","17","52.78","3.32","96.84","8.89","92.37","1.013"
"9","Chicago Blackhawks","56","2715.7833","20","28","8","17","48","0.429","2307","2616","46.86","1672","1872","47.18","1242","1387","47.24","85","120","41.46","92.8","109.16","45.95","1083","1259","46.24","646","745","46.44","71","102","41.04","10.99","86.31","405","425","48.80","298","335","47.08","43","65","39.81","14.43","80.60","678","834","44.84","348","410","45.91","28","37","43.08","8.05","90.98","1082","1206","47.29","553","601","47.92","14","18","43.75","2.53","97.00","6.84","91.35","0.982"
"10","Colorado Avalanche","56","2648.8167","40","11","5","37","85","0.759","2703","2351","53.48","1942","1771","52.30","1496","1328","52.97","138","101","57.74","112.52","100.67","52.78","1315","1098","54.50","800","675","54.24","113","84","57.36","14.13","87.56","511","469","52.14","388","348","52.72","74","52","58.73","19.07","85.06","804","629","56.11","412","327","55.75","39","32","54.93","9.47","90.21","1210","1065","53.19","624","592","51.32","25","17","59.52","4.01","97.13","9.22","92.39","1.016"
