"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","77","3781.7833","43","23","11","40","97","0.630","3649","3345","52.17","2823","2503","53.00","2100","1889","52.64","165","148","52.72","166.61","144.59","53.54","1838","1620","53.15","1159","1014","53.34","144","132","52.17","12.42","86.98","745","637","53.91","595","505","54.09","99","95","51.03","16.64","81.19","1093","983","52.65","564","509","52.56","45","37","54.88","7.98","92.73","1589","1500","51.44","847","785","51.90","21","16","56.76","2.48","97.96","7.86","92.17","1.000"
"2","Tampa Bay Lightning","75","3585.6167","46","21","8","44","100","0.667","3232","3090","51.12","2490","2366","51.28","1751","1722","50.42","162","136","54.36","153.18","136.45","52.89","1793","1630","52.38","1031","973","51.45","140","119","54.05","13.58","87.77","751","612","55.10","526","454","53.67","90","87","50.85","17.11","80.84","1042","1018","50.58","505","519","49.32","50","32","60.98","9.90","93.83","1283","1311","49.46","665","683","49.33","21","17","55.26","3.16","97.51","9.25","92.10","1.014"
"3","Seattle Kraken","75","3661.9","25","44","6","22","56","0.373","3192","3157","50.28","2372","2396","49.75","1698","1710","49.82","137","169","44.77","130.77","140.71","48.17","1514","1548","49.44","896","889","50.20","112","143","43.92","12.50","83.91","585","628","48.23","433","452","48.93","68","96","41.46","15.70","78.76","929","920","50.24","463","437","51.44","44","47","48.35","9.50","89.24","1472","1412","51.04","752","738","50.47","25","26","49.02","3.32","96.48","8.07","90.12","0.982"
"4","Vegas Golden Knights","77","3806.7","41","31","5","37","87","0.565","3830","3501","52.24","2875","2487","53.62","2111","1831","53.55","170","154","52.47","174.61","157.44","52.59","1889","1802","51.18","1131","1026","52.43","146","129","53.09","12.91","87.43","793","744","51.59","574","532","51.90","100","87","53.48","17.42","83.65","1096","1058","50.88","557","494","53.00","46","42","52.27","8.26","91.50","1631","1421","53.44","870","701","55.38","23","24","48.94","2.64","96.58","8.05","91.59","0.996"
"5","Montreal Canadiens","76","3634.1333","20","45","11","17","51","0.336","3151","3575","46.85","2333","2715","46.22","1750","2004","46.62","134","179","42.81","140.6","169.79","45.30","1550","1896","44.98","891","1127","44.15","113","155","42.16","12.68","86.25","640","786","44.88","448","568","44.09","62","112","35.63","13.84","80.28","910","1110","45.05","443","559","44.21","51","43","54.26","11.51","92.31","1338","1430","48.34","761","785","49.22","21","23","47.73","2.76","97.07","7.66","91.07","0.987"
"6","Toronto Maple Leafs","76","3725.1833","50","20","6","48","106","0.697","3799","3275","53.70","2863","2514","53.25","2076","1851","52.86","196","171","53.41","177.91","143.86","55.29","2095","1629","56.26","1244","997","55.51","172","150","53.42","13.83","84.95","810","651","55.44","587","473","55.38","106","101","51.21","18.06","78.65","1285","978","56.78","657","524","55.63","66","49","57.39","10.05","90.65","1520","1425","51.61","760","752","50.26","23","21","52.27","3.03","97.21","9.44","90.76","1.002"
"7","New York Rangers","76","3745.4667","49","21","6","45","104","0.684","3097","3464","47.20","2343","2586","47.53","1702","1843","48.01","147","135","52.13","141.13","157.96","47.19","1542","1802","46.11","914","1013","47.43","125","118","51.44","13.68","88.35","667","733","47.64","494","520","48.72","85","82","50.90","17.21","84.23","875","1069","45.01","420","493","46.00","40","36","52.63","9.52","92.70","1366","1461","48.32","716","749","48.87","22","17","56.41","3.07","97.73","8.64","92.67","1.013"
"8","Washington Capitals","76","3684.5833","43","23","10","38","96","0.632","3381","3352","50.22","2589","2474","51.14","1842","1747","51.32","169","147","53.48","150.84","147.75","50.52","1699","1681","50.27","994","951","51.11","141","123","53.41","14.19","87.07","649","660","49.58","444","468","48.68","83","85","49.40","18.69","81.84","1050","1021","50.70","550","483","53.24","58","38","60.42","10.55","92.13","1445","1425","50.35","758","722","51.22","28","24","53.85","3.69","96.68","9.17","91.59","1.008"
"9","Chicago Blackhawks","76","3710.2667","25","40","11","20","61","0.401","3107","3646","46.01","2257","2645","46.04","1686","1986","45.92","131","178","42.39","126.72","155.72","44.87","1463","1780","45.11","888","1069","45.38","113","153","42.48","12.73","85.69","540","632","46.08","409","485","45.75","65","93","41.14","15.89","80.82","923","1148","44.57","479","584","45.06","48","60","44.44","10.02","89.73","1435","1652","46.49","728","856","45.96","18","25","41.86","2.47","97.08","7.77","91.04","0.988"
"10","Colorado Avalanche","76","3632.1833","55","15","6","51","116","0.763","3689","3315","52.67","2693","2510","51.76","2057","1888","52.14","185","134","57.99","155.8","142.11","52.30","1808","1550","53.84","1090","954","53.33","153","112","57.74","14.04","88.26","685","678","50.26","514","499","50.74","97","72","57.40","18.87","85.57","1123","872","56.29","576","455","55.87","56","40","58.33","9.72","91.21","1637","1505","52.10","868","847","50.61","32","21","60.38","3.69","97.52","8.99","92.90","1.019"
