"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","4","199.4833","2","0","2","2","6","0.750","185","158","53.94","139","114","54.94","99","87","53.23","10","6","62.50","7.62","5.91","56.32","92","79","53.80","55","49","52.88","9","6","60.00","16.36","87.76","35","26","57.38","28","22","56.00","7","4","63.64","25.00","81.82","57","53","51.82","27","27","50.00","2","2","50.00","7.41","92.59","83","68","54.97","39","32","54.93","1","0","100.00","2.56","100.00","10.10","93.10","1.032"
"2","Tampa Bay Lightning","4","186.3667","2","2","0","2","4","0.500","175","158","52.55","133","121","52.36","95","97","49.48","4","10","28.57","7.54","6.84","52.46","90","87","50.85","49","55","47.12","3","9","25.00","6.12","83.64","39","24","61.90","25","19","56.82","1","6","14.29","4.00","68.42","51","63","44.74","24","36","40.00","2","3","40.00","8.33","91.67","75","65","53.57","40","39","50.63","1","1","50.00","2.50","97.44","4.21","89.69","0.939"
"3","Seattle Kraken","5","247.1","1","3","1","1","3","0.300","199","216","47.95","148","162","47.74","106","115","47.96","7","16","30.43","8.52","10.84","44.02","90","117","43.48","53","68","43.80","6","15","28.57","11.32","77.94","39","50","43.82","29","43","40.28","5","11","31.25","17.24","74.42","51","67","43.22","24","25","48.98","1","4","20.00","4.17","84.00","95","87","52.20","50","43","53.76","1","1","50.00","2.00","97.67","6.60","86.09","0.927"
"4","Vegas Golden Knights","3","152.4333","1","2","0","1","2","0.333","142","180","44.10","109","135","44.67","83","102","44.86","7","9","43.75","7.29","8.81","45.30","77","93","45.29","46","58","44.23","7","8","46.67","15.22","86.21","30","42","41.67","24","31","43.64","5","7","41.67","20.83","77.42","47","51","47.96","22","27","44.90","2","1","66.67","9.09","96.30","60","74","44.78","33","42","44.00","0","1","0.00","0.00","97.62","8.43","91.18","0.996"
"5","Montreal Canadiens","5","232.35","0","5","0","0","0","0.000","203","200","50.37","140","159","46.82","105","107","49.53","3","9","25.00","7.4","8.47","46.64","90","105","46.15","54","63","46.15","3","7","30.00","5.56","88.89","31","41","43.06","25","27","48.08","2","5","28.57","8.00","81.48","59","64","47.97","29","36","44.62","1","2","33.33","3.45","94.44","93","78","54.39","47","36","56.63","0","2","0.00","0.00","94.44","2.86","91.59","0.944"
"6","Toronto Maple Leafs","4","193.2833","2","1","1","2","5","0.625","207","175","54.19","161","132","54.95","106","91","53.81","5","4","55.56","9.79","7.83","55.58","121","100","54.75","66","59","52.80","5","4","55.56","7.58","93.22","48","37","56.47","35","26","57.38","2","2","50.00","5.71","92.31","73","63","53.68","31","33","48.44","3","2","60.00","9.68","93.94","78","59","56.93","35","29","54.69","0","0","-","0.00","100.00","4.72","95.60","1.003"
"7","New York Rangers","5","228.35","3","1","1","3","7","0.700","193","205","48.49","143","158","47.51","93","111","45.59","6","5","54.55","7.95","9.01","46.89","98","114","46.23","57","64","47.11","6","5","54.55","10.53","92.19","25","37","40.32","20","28","41.67","3","3","50.00","15.00","89.29","73","77","48.67","37","36","50.68","3","2","60.00","8.11","94.44","78","80","49.37","31","41","43.06","0","0","-","0.00","100.00","6.45","95.50","1.019"
"8","Washington Capitals","4","190.65","3","0","1","3","7","0.875","174","155","52.89","136","107","55.97","98","73","57.31","11","2","84.62","8.11","6.89","54.06","94","82","53.41","53","38","58.24","10","1","90.91","18.87","97.37","28","33","45.90","21","19","52.50","5","1","83.33","23.81","94.74","66","49","57.39","32","19","62.75","5","0","100.00","15.63","100.00","68","60","53.13","38","33","53.52","1","1","50.00","2.63","96.97","11.22","97.26","1.085"
"9","Chicago Blackhawks","5","237.9667","0","4","1","0","1","0.100","198","213","48.18","134","159","45.73","102","111","47.89","3","17","15.00","6.95","8.59","44.71","97","110","46.86","50","59","45.87","3","15","16.67","6.00","74.58","39","35","52.70","29","27","51.79","2","9","18.18","6.90","66.67","58","75","43.61","21","32","39.62","1","6","14.29","4.76","81.25","90","90","50.00","51","49","51.00","0","2","0.00","0.00","95.92","2.94","84.68","0.876"
"10","Colorado Avalanche","4","184.2833","1","3","0","1","2","0.250","179","179","50.00","128","132","49.23","100","103","49.26","7","11","38.89","7.78","7.31","51.56","98","75","56.65","60","50","54.55","6","10","37.50","10.00","80.00","37","31","54.41","28","27","50.91","5","3","62.50","17.86","88.89","61","44","58.10","32","23","58.18","1","7","12.50","3.13","69.57","69","90","43.40","39","47","45.35","1","1","50.00","2.56","97.87","7.00","89.32","0.963"
