"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","28","1363.6667","8","16","4","7","20","0.357","1230","1337","47.92","895","968","48.04","638","694","47.90","57","72","44.19","57.98","58.33","49.85","676","690","49.49","378","384","49.61","46","61","42.99","12.17","84.11","285","241","54.18","190","164","53.67","26","30","46.43","13.68","81.71","391","449","46.55","188","220","46.08","20","31","39.22","10.64","85.91","482","555","46.48","230","269","46.09","11","11","50.00","4.78","95.91","8.93","89.63","0.986"
"2","Nashville Predators","23","1062.8167","12","9","2","10","26","0.565","1025","1039","49.66","747","763","49.47","512","556","47.94","37","42","46.84","47.12","48.18","49.44","519","532","49.38","267","306","46.60","30","35","46.15","11.24","88.56","205","216","48.69","134","152","46.85","23","20","53.49","17.16","86.84","314","316","49.84","133","154","46.34","7","15","31.82","5.26","90.26","432","419","50.76","220","215","50.57","7","7","50.00","3.18","96.74","7.23","92.45","0.997"
"3","Tampa Bay Lightning","24","1106.2167","15","8","1","15","31","0.646","1052","992","51.47","780","731","51.62","550","541","50.41","48","47","50.53","52.91","47.27","52.82","610","546","52.77","330","298","52.55","38","42","47.50","11.52","85.91","267","211","55.86","177","150","54.13","27","24","52.94","15.25","84.00","343","335","50.59","153","148","50.83","11","18","37.93","7.19","87.84","373","384","49.27","192","218","46.83","9","5","64.29","4.69","97.71","8.73","91.31","1.000"
"4","New York Rangers","27","1285.0333","12","10","5","12","29","0.537","1256","1121","52.84","934","822","53.19","674","603","52.78","53","52","50.48","59.27","53.1","52.74","660","592","52.72","358","328","52.19","42","42","50.00","11.73","87.20","267","248","51.84","178","175","50.42","30","27","52.63","16.85","84.57","393","344","53.32","180","153","54.05","12","15","44.44","6.67","90.20","508","442","53.47","292","245","54.38","11","10","52.38","3.77","95.92","7.86","91.38","0.992"
"5","Vegas Golden Knights","27","1330.0833","19","7","1","17","39","0.722","1271","1370","48.13","938","931","50.19","692","666","50.96","62","49","55.86","62.3","55.05","53.09","669","682","49.52","391","355","52.41","55","41","57.29","14.07","88.45","290","244","54.31","206","161","56.13","32","24","57.14","15.53","85.09","379","438","46.39","185","194","48.81","23","17","57.50","12.43","91.24","491","564","46.54","254","273","48.20","7","7","50.00","2.76","97.44","8.96","92.64","1.016"
"6","Los Angeles Kings","27","1283.7667","13","10","4","12","30","0.556","1268","1173","51.95","934","836","52.77","677","596","53.18","56","60","48.28","57.46","51.07","52.95","661","591","52.80","386","335","53.54","49","52","48.51","12.69","84.48","266","249","51.65","187","168","52.68","29","32","47.54","15.51","80.95","395","342","53.60","199","167","54.37","20","20","50.00","10.05","88.02","506","465","52.11","263","223","54.12","7","8","46.67","2.66","96.41","8.27","89.93","0.982"
"7","Boston Bruins","24","1111.1667","20","3","1","19","41","0.854","1064","961","52.54","809","720","52.91","610","533","53.37","55","31","63.95","50.58","40.66","55.43","577","473","54.95","337","271","55.43","44","28","61.11","13.06","89.67","240","187","56.21","175","134","56.63","31","14","68.89","17.71","89.55","337","286","54.09","162","137","54.18","13","14","48.15","8.02","89.78","441","418","51.34","246","219","52.90","11","3","78.57","4.47","98.63","9.02","94.18","1.032"
"8","Washington Capitals","27","1280.7","11","12","4","11","26","0.481","1243","1228","50.30","894","911","49.53","618","652","48.66","46","53","46.46","52.6","54.73","49.01","610","596","50.58","330","335","49.62","44","45","49.44","13.33","86.57","235","233","50.21","147","157","48.36","24","32","42.86","16.33","79.62","375","363","50.81","183","178","50.69","20","13","60.61","10.93","92.70","513","540","48.72","232","285","44.87","2","8","20.00","0.86","97.19","7.44","91.87","0.993"
"9","Columbus Blue Jackets","23","1125.7167","8","13","2","8","18","0.391","997","1236","44.65","727","894","44.85","537","653","45.13","48","67","41.74","43.27","52.66","45.11","456","582","43.93","279","326","46.12","36","56","39.13","12.90","82.82","164","217","43.04","121","153","44.16","22","34","39.29","18.18","77.78","292","365","44.44","158","173","47.73","14","22","38.89","8.86","87.28","438","552","44.24","230","296","43.73","12","11","52.17","5.22","96.28","8.94","89.74","0.987"
"10","Carolina Hurricanes","25","1175.7","14","6","5","12","33","0.660","1306","851","60.55","976","651","59.99","655","478","57.81","47","38","55.29","58.02","42.36","57.80","633","443","58.83","339","275","55.21","40","32","55.56","11.80","88.36","264","211","55.58","175","151","53.68","24","20","54.55","13.71","86.75","369","232","61.40","164","124","56.94","16","12","57.14","9.76","90.32","562","326","63.29","287","171","62.66","7","6","53.85","2.44","96.49","7.18","92.05","0.992"
"11","Toronto Maple Leafs","26","1239.0167","15","5","6","15","36","0.692","1152","1141","50.24","848","832","50.48","615","574","51.72","50","38","56.82","56.01","51.82","51.95","626","589","51.52","341","324","51.28","42","37","53.16","12.32","88.58","263","241","52.18","175","173","50.29","32","22","59.26","18.29","87.28","363","348","51.05","166","151","52.37","10","15","40.00","6.02","90.07","462","469","49.62","252","218","53.62","8","1","88.89","3.17","99.54","8.13","93.38","1.015"
"12","Montreal Canadiens","25","1188.8","12","11","2","9","26","0.520","1082","1115","49.25","794","800","49.81","601","587","50.59","53","60","46.90","48.05","55.77","46.28","522","608","46.19","292","349","45.55","42","53","44.21","14.38","84.81","197","252","43.88","138","179","43.53","26","37","41.27","18.84","79.33","325","356","47.72","154","170","47.53","16","16","50.00","10.39","90.59","456","420","52.05","272","214","55.97","11","7","61.11","4.04","96.73","8.82","89.78","0.986"
"13","Chicago Blackhawks","24","1156.3167","7","13","4","7","18","0.375","859","1217","41.38","633","900","41.29","457","658","40.99","32","58","35.56","38.5","54.52","41.39","424","626","40.38","244","349","41.15","28","48","36.84","11.48","86.25","170","228","42.71","119","161","42.50","22","26","45.83","18.49","83.85","254","398","38.96","125","188","39.94","6","22","21.43","4.80","88.30","356","503","41.44","188","269","41.14","4","10","28.57","2.13","96.28","7.00","91.19","0.982"
"14","Colorado Avalanche","23","1068.9333","13","9","1","11","27","0.587","1023","1003","50.49","748","749","49.97","565","577","49.47","38","36","51.35","44.5","45.83","49.26","491","462","51.52","298","283","51.29","36","29","55.38","12.08","89.75","208","217","48.94","156","158","49.68","26","24","52.00","16.67","84.81","283","245","53.60","142","125","53.18","10","5","66.67","7.04","96.00","438","445","49.60","239","261","47.80","2","7","22.22","0.84","97.32","6.73","93.76","1.005"
"15","Seattle Kraken","24","1167.25","15","6","3","15","33","0.688","1086","1006","51.91","821","733","52.83","581","504","53.55","59","42","58.42","51.02","46.08","52.54","544","542","50.09","330","283","53.83","53","38","58.24","16.06","86.57","208","206","50.24","151","129","53.93","33","23","58.93","21.85","82.17","336","336","50.00","179","154","53.75","20","15","57.14","11.17","90.26","447","380","54.05","223","189","54.13","6","4","60.00","2.69","97.88","10.15","91.67","1.018"
"16","Anaheim Ducks","26","1258.1667","6","17","3","4","15","0.288","1078","1327","44.82","789","1028","43.42","590","785","42.91","42","69","37.84","47.38","70.7","40.13","534","712","42.86","307","458","40.13","37","54","40.66","12.05","88.21","222","335","39.86","165","264","38.46","22","37","37.29","13.33","85.98","312","377","45.28","142","194","42.26","15","17","46.88","10.56","91.24","435","523","45.41","226","294","43.46","5","15","25.00","2.21","94.90","7.12","91.21","0.983"
"17","Vancouver Canucks","26","1265.1667","11","12","3","11","25","0.481","1102","1229","47.28","816","940","46.47","616","684","47.38","58","65","47.15","49.75","60.65","45.06","544","631","46.30","323","380","45.95","50","57","46.73","15.48","85.00","214","264","44.77","167","194","46.26","36","42","46.15","21.56","78.35","330","367","47.35","156","186","45.61","14","15","48.28","8.97","91.94","479","503","48.78","265","267","49.81","8","8","50.00","3.02","97.00","9.42","90.50","0.999"
"18","Edmonton Oilers","26","1226.4333","14","12","0","14","28","0.538","1144","1180","49.23","852","907","48.44","609","661","47.95","47","57","45.19","54.81","57.6","48.76","594","591","50.13","348","356","49.43","38","51","42.70","10.92","85.67","249","240","50.92","171","170","50.15","25","33","43.10","14.62","80.59","345","351","49.57","177","186","48.76","13","18","41.94","7.34","90.32","480","472","50.42","233","255","47.75","9","6","60.00","3.86","97.65","7.72","91.38","0.991"
"19","Arizona Coyotes","23","1040.25","7","12","4","7","18","0.391","769","1030","42.75","579","764","43.11","404","554","42.17","33","49","40.24","32.6","49.35","39.78","387","551","41.26","208","309","40.23","28","45","38.36","13.46","85.44","133","232","36.44","89","160","35.74","15","32","31.91","16.85","80.00","254","319","44.33","119","149","44.40","13","13","50.00","10.92","91.28","320","406","44.08","174","219","44.27","5","4","55.56","2.87","98.17","8.17","91.16","0.993"
"20","Pittsburgh Penguins","25","1206.0667","13","8","4","12","30","0.600","1221","1150","51.50","903","864","51.10","663","643","50.77","61","50","54.95","59.52","49.5","54.60","614","551","52.70","364","329","52.53","48","42","53.33","13.19","87.23","265","204","56.50","188","155","54.81","30","35","46.15","15.96","77.42","349","347","50.14","176","174","50.29","18","7","72.00","10.23","95.98","499","495","50.20","257","270","48.77","13","8","61.90","5.06","97.04","9.20","92.22","1.014"
"21","New Jersey Devils","25","1178.2667","20","4","1","20","41","0.820","1291","994","56.50","976","724","57.41","711","497","58.86","67","35","65.69","63.58","41.81","60.32","700","488","58.92","412","243","62.90","58","29","66.67","14.08","88.07","288","175","62.20","204","113","64.35","37","20","64.91","18.14","82.30","412","313","56.83","208","130","61.54","21","9","70.00","10.10","93.08","497","431","53.56","258","220","53.97","9","6","60.00","3.49","97.27","9.42","92.96","1.024"
