"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","15","730.5667","5","6","4","4","14","0.467","707","642","52.41","548","477","53.46","413","374","52.48","31","32","49.21","31.18","26.96","53.63","346","330","51.18","218","213","50.58","30","29","50.85","13.76","86.38","141","122","53.61","116","99","53.95","19","18","51.35","16.38","81.82","205","208","49.64","102","114","47.22","11","11","50.00","10.78","90.35","326","279","53.88","178","146","54.94","1","3","25.00","0.56","97.95","7.51","91.44","0.989"
"2","Tampa Bay Lightning","14","657.9333","8","3","3","8","19","0.679","573","556","50.75","451","418","51.90","320","309","50.87","25","23","52.08","26.55","23.68","52.85","315","295","51.64","176","182","49.16","21","19","52.50","11.93","89.56","132","99","57.14","89","78","53.29","15","13","53.57","16.85","83.33","183","196","48.28","87","104","45.55","6","6","50.00","6.90","94.23","231","237","49.36","133","117","53.20","4","4","50.00","3.01","96.58","7.81","92.56","1.004"
"3","Seattle Kraken","15","727.5333","4","10","1","4","9","0.300","632","585","51.93","478","435","52.35","339","316","51.76","29","41","41.43","27.18","24.71","52.38","314","275","53.31","201","172","53.89","26","35","42.62","12.94","79.65","125","103","54.82","98","89","52.41","14","24","36.84","14.29","73.03","189","172","52.35","103","83","55.38","12","11","52.17","11.65","86.75","281","276","50.45","133","132","50.19","3","6","33.33","2.26","95.45","8.55","87.03","0.956"
"4","Vegas Golden Knights","16","785.7","9","7","0","8","18","0.563","748","813","47.92","553","592","48.30","407","443","47.88","35","37","48.61","33.92","40.28","45.72","353","439","44.57","216","262","45.19","31","34","47.69","14.35","87.02","157","182","46.31","115","135","46.00","22","27","44.90","19.13","80.00","196","257","43.27","101","127","44.30","9","7","56.25","8.91","94.49","333","312","51.63","167","164","50.45","4","3","57.14","2.40","98.17","8.60","91.65","1.002"
"5","Montreal Canadiens","18","849.6","4","12","2","4","10","0.278","797","752","51.45","560","570","49.56","425","413","50.72","25","35","41.67","33.13","32.27","50.66","405","378","51.72","222","219","50.34","21","30","41.18","9.46","86.30","160","152","51.28","113","104","52.07","12","24","33.33","10.62","76.92","245","226","52.02","109","115","48.66","9","6","60.00","8.26","94.78","330","312","51.40","185","170","52.11","4","5","44.44","2.16","97.06","5.88","91.53","0.974"
"6","Toronto Maple Leafs","17","837.2167","11","5","1","11","23","0.676","869","753","53.58","635","594","51.67","450","425","51.43","29","31","48.33","41.13","32.78","55.65","503","385","56.64","285","233","55.02","27","27","50.00","9.47","88.41","183","156","53.98","134","111","54.69","17","17","50.00","12.69","84.68","320","229","58.29","151","122","55.31","10","10","50.00","6.62","91.80","333","322","50.84","149","167","47.15","2","4","33.33","1.34","97.60","6.44","92.71","0.992"
"7","New York Rangers","16","770.2167","10","3","3","9","23","0.719","640","804","44.32","480","598","44.53","327","411","44.31","26","28","48.15","28.51","35.67","44.42","316","424","42.70","183","230","44.31","24","27","47.06","13.11","88.26","127","158","44.56","93","109","46.04","14","19","42.42","15.05","82.57","189","266","41.54","90","121","42.65","10","8","55.56","11.11","93.39","276","329","45.62","124","160","43.66","2","1","66.67","1.61","99.38","7.95","93.19","1.011"
"8","Washington Capitals","16","780.7167","9","2","5","9","23","0.719","702","672","51.09","548","479","53.36","391","346","53.05","42","25","62.69","31.62","27.25","53.71","357","334","51.66","210","184","53.30","36","16","69.23","17.14","91.30","143","128","52.77","100","93","51.81","19","13","59.38","19.00","86.02","214","206","50.95","110","91","54.73","17","3","85.00","15.45","96.70","302","283","51.62","161","150","51.77","6","9","40.00","3.73","94.00","10.74","92.77","1.035"
"9","Chicago Blackhawks","15","699.8333","4","9","2","3","10","0.333","556","698","44.34","399","512","43.80","291","378","43.50","16","41","28.07","21.63","30.36","41.61","276","360","43.40","156","212","42.39","15","37","28.85","9.62","82.55","101","122","45.29","75","104","41.90","11","25","30.56","14.67","75.96","175","238","42.37","81","108","42.86","4","12","25.00","4.94","88.89","243","294","45.25","126","155","44.84","1","4","20.00","0.79","97.42","5.50","89.15","0.947"
"10","Colorado Avalanche","12","558.8","6","5","1","5","13","0.542","532","512","50.96","378","375","50.20","293","294","49.91","25","26","49.02","22.67","20.35","52.70","285","231","55.23","178","141","55.80","19","22","46.34","10.67","84.40","104","83","55.61","84","67","55.63","11","10","52.38","13.10","85.07","181","148","55.02","94","74","55.95","8","12","40.00","8.51","83.78","212","234","47.53","103","131","44.02","6","4","60.00","5.83","96.95","8.53","91.16","0.997"
"11","Vancouver Canucks","16","740.15","5","9","2","4","12","0.375","680","657","50.86","488","498","49.49","362","382","48.66","25","27","48.08","26.64","31.63","45.71","318","358","47.04","180","233","43.58","20","24","45.45","11.11","89.70","117","149","43.98","82","125","39.61","13","14","48.15","15.85","88.80","201","209","49.02","98","108","47.57","7","10","41.18","7.14","90.74","318","259","55.11","168","135","55.45","5","3","62.50","2.98","97.78","6.91","92.93","0.998"
"12","Edmonton Oilers","15","722.1","11","4","0","10","22","0.733","672","652","50.76","490","513","48.85","371","392","48.62","34","36","48.57","29.57","30.7","49.06","331","346","48.89","195","232","45.67","30","27","52.63","15.38","88.36","139","156","47.12","110","122","47.41","22","18","55.00","20.00","85.25","192","190","50.26","85","110","43.59","8","9","47.06","9.41","91.82","299","257","53.78","163","140","53.80","4","8","33.33","2.45","94.29","9.16","90.82","1.000"
"13","Buffalo Sabres","15","728.0667","7","6","2","6","16","0.533","618","633","49.40","478","494","49.18","352","380","48.09","30","29","50.85","25.46","27.78","47.83","292","301","49.24","176","182","49.16","24","25","48.98","13.64","86.26","118","133","47.01","91","103","46.91","16","14","53.33","17.58","86.41","174","168","50.88","85","79","51.83","8","11","42.11","9.41","86.08","299","298","50.08","168","188","47.19","6","3","66.67","3.57","98.40","8.52","92.37","1.009"
"14","Ottawa Senators","15","717.8333","4","10","1","4","9","0.300","624","750","45.41","475","552","46.25","342","410","45.48","25","34","42.37","27.82","30.94","47.34","319","361","46.91","194","209","48.14","19","28","40.43","9.79","86.60","131","124","51.37","88","92","48.89","13","17","43.33","14.77","81.52","188","237","44.24","106","117","47.53","6","11","35.29","5.66","90.60","267","342","43.84","132","183","41.90","6","6","50.00","4.55","96.72","7.31","91.71","0.990"
