"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","5","245.25","3","0","2","3","8","0.800","222","203","52.24","170","144","54.14","125","108","53.65","16","7","69.57","9.78","7.42","56.85","120","104","53.57","78","60","56.52","15","7","68.18","19.23","88.33","47","33","58.75","39","27","59.09","10","5","66.67","25.64","81.48","73","71","50.69","39","33","54.17","5","2","71.43","12.82","93.94","92","88","51.11","42","42","50.00","1","0","100.00","2.38","100.00","12.80","93.52","1.063"
"2","Tampa Bay Lightning","6","278.1333","2","3","1","2","5","0.417","271","222","54.97","210","170","55.26","147","129","53.26","7","15","31.82","11.73","9.38","55.57","135","122","52.53","71","75","48.63","6","13","31.58","8.45","82.67","61","38","61.62","38","30","55.88","4","9","30.77","10.53","70.00","74","84","46.84","33","45","42.31","2","4","33.33","6.06","91.11","118","90","56.73","69","49","58.47","1","2","33.33","1.45","95.92","4.76","88.37","0.931"
"3","Seattle Kraken","6","295.9333","1","4","1","1","3","0.250","247","263","48.43","189","196","49.09","133","136","49.44","9","18","33.33","10.41","11.87","46.74","115","126","47.72","68","75","47.55","8","16","33.33","11.76","78.67","50","52","49.02","37","45","45.12","5","11","31.25","13.51","75.56","65","74","46.76","31","30","50.82","3","5","37.50","9.68","83.33","115","121","48.73","61","55","52.59","1","2","33.33","1.64","96.36","6.77","86.76","0.935"
"4","Vegas Golden Knights","5","252.2167","1","4","0","1","2","0.200","265","262","50.28","202","199","50.37","148","146","50.34","10","14","41.67","12.18","13.52","47.38","126","130","49.22","74","81","47.74","10","12","45.45","13.51","85.19","55","61","47.41","41","43","48.81","7","10","41.18","17.07","76.74","71","69","50.71","33","38","46.48","3","2","60.00","9.09","94.74","125","111","52.97","66","60","52.38","0","2","0.00","0.00","96.67","6.76","90.41","0.972"
"5","Montreal Canadiens","6","281.1833","1","5","0","1","2","0.167","256","240","51.61","171","186","47.90","125","127","49.60","7","9","43.75","9.25","10.01","48.01","120","124","49.18","67","71","48.55","6","7","46.15","8.96","90.14","45","48","48.39","31","31","50.00","3","5","37.50","9.68","83.87","75","76","49.67","36","40","47.37","3","2","60.00","8.33","95.00","112","96","53.85","54","47","53.47","1","2","33.33","1.85","95.74","5.60","92.91","0.985"
"6","Toronto Maple Leafs","7","334.95","2","4","1","2","5","0.357","357","303","54.09","267","238","52.87","177","175","50.28","10","17","37.04","16.95","14.97","53.11","209","180","53.73","111","114","49.33","10","15","40.00","9.01","86.84","79","78","50.32","58","58","50.00","7","10","41.18","12.07","82.76","130","102","56.03","53","56","48.62","3","5","37.50","5.66","91.07","137","100","57.81","61","51","54.46","0","2","0.00","0.00","96.08","5.65","90.29","0.959"
"7","New York Rangers","7","323.5333","4","2","1","4","9","0.643","278","301","48.01","199","227","46.71","130","164","44.22","8","9","47.06","11.86","12.64","48.40","139","164","45.87","79","95","45.40","8","9","47.06","10.13","90.53","46","46","50.00","36","35","50.70","5","4","55.56","13.89","88.57","93","118","44.08","43","60","41.75","3","5","37.50","6.98","91.67","117","118","49.79","44","60","42.31","0","0","-","0.00","100.00","6.15","94.51","1.007"
"8","Washington Capitals","6","287.3","4","0","2","4","10","0.833","273","242","53.01","204","169","54.69","145","121","54.51","20","7","74.07","12.05","10.23","54.10","145","125","53.70","78","65","54.55","17","2","89.47","21.79","96.92","48","51","48.48","32","34","48.48","8","2","80.00","25.00","94.12","97","74","56.73","46","31","59.74","9","0","100.00","19.57","100.00","107","95","52.97","58","52","52.73","3","5","37.50","5.17","90.38","13.79","94.21","1.080"
"9","Chicago Blackhawks","6","278.0167","0","5","1","0","1","0.083","233","254","47.84","157","193","44.86","116","141","45.14","5","22","18.52","8.31","11.22","42.56","112","139","44.62","58","80","42.03","5","20","20.00","8.62","75.00","47","44","51.65","35","35","50.00","4","13","23.53","11.43","62.86","65","95","40.63","23","45","33.82","1","7","12.50","4.35","84.44","105","101","50.97","55","58","48.67","0","2","0.00","0.00","96.55","4.31","84.40","0.887"
"10","Colorado Avalanche","5","226.5333","2","3","0","1","4","0.400","207","217","48.82","149","166","47.30","114","126","47.50","9","13","40.91","8.88","9.14","49.27","113","93","54.85","69","59","53.91","7","12","36.84","10.14","79.66","42","38","52.50","33","32","50.77","6","5","54.55","18.18","84.38","71","55","56.35","36","27","57.14","1","7","12.50","2.78","74.07","81","108","42.86","43","60","41.75","2","1","66.67","4.65","98.33","7.89","89.68","0.976"
"11","Vancouver Canucks","6","278.6667","3","2","1","2","7","0.583","248","255","49.30","182","190","48.92","140","143","49.47","10","10","50.00","8.61","11.76","42.27","96","132","42.11","61","83","42.36","7","8","46.67","11.48","90.36","34","63","35.05","29","50","36.71","3","6","33.33","10.34","88.00","62","69","47.33","32","33","49.23","4","2","66.67","12.50","93.94","131","104","55.74","71","54","56.80","3","2","60.00","4.23","96.30","7.14","93.01","1.001"
"12","Edmonton Oilers","5","237.8167","5","0","0","4","10","1.000","215","240","47.25","160","184","46.51","119","141","45.77","11","10","52.38","10.09","9.17","52.38","102","105","49.28","61","72","45.86","9","6","60.00","14.75","91.67","47","42","52.81","34","33","50.75","6","4","60.00","17.65","87.88","55","63","46.61","27","39","40.91","3","2","60.00","11.11","94.87","96","106","47.52","53","58","47.75","2","3","40.00","3.77","94.83","9.24","92.91","1.022"
"13","Buffalo Sabres","6","289.2333","4","1","1","3","9","0.750","264","247","51.66","207","192","51.88","154","145","51.51","10","7","58.82","11.2","10.21","52.32","141","109","56.40","86","59","59.31","9","7","56.25","10.47","88.14","63","57","52.50","45","40","52.94","6","4","60.00","13.33","90.00","78","52","60.00","41","19","68.33","3","3","50.00","7.32","84.21","117","126","48.15","66","84","44.00","1","0","100.00","1.52","100.00","6.49","95.17","1.017"
"14","Ottawa Senators","6","289.35","2","4","0","2","4","0.333","276","287","49.02","206","203","50.37","141","148","48.79","9","14","39.13","11.98","11.3","51.45","144","137","51.25","86","74","53.75","5","12","29.41","5.81","83.78","56","55","50.45","36","39","48.00","2","8","20.00","5.56","79.49","88","82","51.76","50","35","58.82","3","4","42.86","6.00","88.57","115","136","45.82","48","68","41.38","4","2","66.67","8.33","97.06","6.38","90.54","0.969"
"15","Detroit Red Wings","6","264.5167","3","2","1","3","7","0.583","231","257","47.34","187","185","50.27","151","131","53.55","12","11","52.17","12.46","10.25","54.86","120","126","48.78","80","72","52.63","12","9","57.14","15.00","87.50","45","55","45.00","35","36","49.30","8","5","61.54","22.86","86.11","75","71","51.37","45","36","55.56","4","4","50.00","8.89","88.89","98","110","47.12","64","51","55.65","0","2","0.00","0.00","96.08","7.95","91.60","0.996"
"16","Florida Panthers","6","264.75","6","0","0","6","12","1.000","298","228","56.65","220","172","56.12","163","130","55.63","16","7","69.57","12.1","9.97","54.84","140","108","56.45","94","72","56.63","16","6","72.73","17.02","91.67","51","42","54.84","43","34","55.84","12","4","75.00","27.91","88.24","89","66","57.42","51","38","57.30","4","2","66.67","7.84","94.74","142","108","56.80","65","51","56.03","0","1","0.00","0.00","98.04","9.82","94.62","1.044"
"17","Dallas Stars","6","280.1333","3","3","0","2","6","0.500","222","278","44.40","168","203","45.28","121","146","45.32","5","9","35.71","8.52","10.68","44.40","103","123","45.58","58","72","44.62","5","8","38.46","8.62","88.89","39","44","46.99","25","33","43.10","3","6","33.33","12.00","81.82","64","79","44.76","33","39","45.83","2","2","50.00","6.06","94.87","109","131","45.42","58","65","47.15","0","1","0.00","0.00","98.46","4.13","93.84","0.980"
"18","New York Islanders","6","298.2","3","2","1","3","7","0.583","254","330","43.49","194","234","45.33","138","167","45.25","13","11","54.17","11.77","12.83","47.83","113","154","42.32","71","90","44.10","10","11","47.62","14.08","87.78","47","58","44.76","35","45","43.75","7","8","46.67","20.00","82.22","66","96","40.74","36","45","44.44","3","3","50.00","8.33","93.33","124","159","43.82","63","73","46.32","3","0","100.00","4.76","100.00","9.42","93.41","1.028"
"19","Carolina Hurricanes","5","228.5667","5","0","0","5","10","1.000","233","213","52.24","187","154","54.84","138","113","54.98","13","5","72.22","10.63","10.45","50.43","124","110","52.99","76","60","55.88","12","5","70.59","15.79","91.67","53","48","52.48","39","36","52.00","7","5","58.33","17.95","86.11","71","62","53.38","37","24","60.66","5","0","100.00","13.51","100.00","88","86","50.57","53","51","50.96","1","0","100.00","1.89","100.00","9.42","95.58","1.050"
"20","Arizona Coyotes","6","305.1667","0","5","1","0","1","0.083","247","270","47.78","189","207","47.73","128","153","45.55","9","17","34.62","9.88","10.05","49.57","119","120","49.79","69","77","47.26","6","13","31.58","8.70","83.12","44","46","48.89","38","38","50.00","4","7","36.36","10.53","81.58","75","74","50.34","31","39","44.29","2","6","25.00","6.45","84.62","112","136","45.16","52","73","41.60","3","4","42.86","5.77","94.52","7.03","88.89","0.959"
