"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","3","141.4833","2","0","1","2","5","0.833","136","122","52.71","105","86","54.97","77","64","54.61","9","5","64.29","6.12","4.3","58.74","73","58","55.73","45","33","57.69","8","5","61.54","17.78","84.85","28","18","60.87","23","14","62.16","6","4","60.00","26.09","71.43","45","40","52.94","22","19","53.66","2","1","66.67","9.09","94.74","58","56","50.88","29","27","51.79","1","0","100.00","3.45","100.00","11.69","92.19","1.039"
"2","Tampa Bay Lightning","3","143.05","2","1","0","2","4","0.667","140","120","53.85","104","93","52.79","74","73","50.34","3","8","27.27","5.89","5.37","52.30","70","64","52.24","37","41","47.44","2","7","22.22","5.41","82.93","31","19","62.00","19","15","55.88","1","5","16.67","5.26","66.67","39","45","46.43","18","26","40.91","1","2","33.33","5.56","92.31","60","50","54.55","31","29","51.67","1","1","50.00","3.23","96.55","4.05","89.04","0.931"
"3","Seattle Kraken","4","201.15","1","2","1","1","3","0.375","156","173","47.42","116","127","47.74","84","90","48.28","6","13","31.58","6.57","8.07","44.88","68","89","43.31","41","51","44.57","5","12","29.41","12.20","76.47","30","31","49.18","22","28","44.00","4","8","33.33","18.18","71.43","38","58","39.58","19","23","45.24","1","4","20.00","5.26","82.61","77","73","51.33","42","36","53.85","1","1","50.00","2.38","97.22","7.14","85.56","0.927"
"4","Vegas Golden Knights","2","102.1667","1","1","0","1","2","0.500","84","128","39.62","63","97","39.38","45","69","39.47","6","7","46.15","4.13","5.67","42.17","47","55","46.08","25","32","43.86","6","6","50.00","24.00","81.25","17","26","39.53","13","18","41.94","4","5","44.44","30.77","72.22","30","29","50.85","12","14","46.15","2","1","66.67","16.67","92.86","36","61","37.11","20","35","36.36","0","1","0.00","0.00","97.14","13.33","89.86","1.032"
"5","Montreal Canadiens","3","136.7167","0","3","0","0","0","0.000","119","128","48.18","84","102","45.16","69","64","51.88","3","4","42.86","4.43","5.42","44.98","51","69","42.50","32","41","43.84","3","4","42.86","9.38","90.24","18","25","41.86","15","18","45.45","2","2","50.00","13.33","88.89","33","44","42.86","17","23","42.50","1","2","33.33","5.88","91.30","57","53","51.82","35","19","64.81","0","0","-","0.00","100.00","4.35","93.75","0.981"
"6","Toronto Maple Leafs","4","193.2833","2","1","1","2","5","0.625","207","175","54.19","161","132","54.95","106","91","53.81","5","4","55.56","9.79","7.83","55.58","121","100","54.75","66","59","52.80","5","4","55.56","7.58","93.22","48","37","56.47","35","26","57.38","2","2","50.00","5.71","92.31","73","63","53.68","31","33","48.44","3","2","60.00","9.68","93.94","78","59","56.93","35","29","54.69","0","0","-","0.00","100.00","4.72","95.60","1.003"
"7","New York Rangers","4","184.4167","2","1","1","2","5","0.625","159","165","49.07","112","124","47.46","73","87","45.63","4","4","50.00","6.18","7.25","46.00","77","96","44.51","43","51","45.74","4","4","50.00","9.30","92.16","18","32","36.00","15","23","39.47","2","3","40.00","13.33","86.96","59","64","47.97","28","28","50.00","2","1","66.67","7.14","96.43","66","59","52.80","26","31","45.61","0","0","-","0.00","100.00","5.48","95.40","1.009"
"8","Washington Capitals","2","94.5","1","0","1","1","3","0.750","75","81","48.08","57","55","50.89","42","34","55.26","2","1","66.67","2.31","3.39","40.58","37","38","49.33","19","17","52.78","2","0","100.00","10.53","100.00","4","15","21.05","3","8","27.27","0","0","-","0.00","100.00","33","23","58.93","16","9","64.00","2","0","100.00","12.50","100.00","31","37","45.59","18","16","52.94","0","1","0.00","0.00","93.75","4.76","97.06","1.018"
"9","Chicago Blackhawks","3","142.15","0","2","1","0","1","0.167","103","136","43.10","68","104","39.53","51","73","41.13","2","11","15.38","3.17","6.33","33.32","49","82","37.40","23","44","34.33","2","10","16.67","8.70","77.27","15","30","33.33","14","22","38.89","1","7","12.50","7.14","68.18","34","52","39.53","9","22","29.03","1","3","25.00","11.11","86.36","50","49","50.51","27","27","50.00","0","1","0.00","0.00","96.30","3.92","84.93","0.889"
"10","Colorado Avalanche","2","93.1333","1","1","0","1","2","0.500","106","76","58.24","76","55","58.02","53","43","55.21","5","4","55.56","4.68","2.5","65.23","61","29","67.78","31","17","64.58","4","4","50.00","12.90","76.47","21","9","70.00","14","7","66.67","3","0","100.00","21.43","100.00","40","20","66.67","17","10","62.96","1","4","20.00","5.88","60.00","39","41","48.75","21","24","46.67","1","0","100.00","4.76","100.00","9.43","90.70","1.001"
"11","Vancouver Canucks","3","136.6333","1","1","1","0","3","0.500","132","122","51.97","95","85","52.78","77","65","54.23","4","4","50.00","4.95","5.7","46.48","59","60","49.58","36","37","49.32","2","3","40.00","5.56","91.89","19","24","44.19","15","21","41.67","1","3","25.00","6.67","85.71","40","36","52.63","21","16","56.76","1","0","100.00","4.76","100.00","62","52","54.39","36","24","60.00","2","1","66.67","5.56","95.83","5.19","93.85","0.990"
"12","Edmonton Oilers","2","91.5333","2","0","0","1","4","1.000","80","91","46.78","60","70","46.15","48","57","45.71","3","2","60.00","3.77","3.68","50.57","40","42","48.78","25","31","44.64","2","1","66.67","8.00","96.77","19","18","51.35","15","15","50.00","2","1","66.67","13.33","93.33","21","24","46.67","10","16","38.46","0","0","-","0.00","100.00","35","37","48.61","21","22","48.84","1","1","50.00","4.76","95.45","6.25","96.49","1.027"
"13","Buffalo Sabres","2","95.7667","2","0","0","1","4","1.000","84","64","56.76","69","48","58.97","50","37","57.47","2","2","50.00","3.1","1.51","67.24","40","20","66.67","26","12","68.42","2","2","50.00","7.69","83.33","18","9","66.67","14","8","63.64","1","1","50.00","7.14","87.50","22","11","66.67","12","4","75.00","1","1","50.00","8.33","75.00","44","42","51.16","24","25","48.98","0","0","-","0.00","100.00","4.00","94.59","0.986"
"14","Ottawa Senators","3","147.2667","2","1","0","2","4","0.667","138","157","46.78","105","117","47.30","72","85","45.86","3","5","37.50","6.3","6.29","50.05","75","69","52.08","46","38","54.76","2","5","28.57","4.35","86.84","30","32","48.39","20","22","47.62","1","3","25.00","5.00","86.36","45","37","54.88","26","16","61.90","1","2","33.33","3.85","87.50","53","81","39.55","22","43","33.85","1","0","100.00","4.55","100.00","4.17","94.12","0.983"
"15","Detroit Red Wings","2","80.0167","1","0","1","1","3","0.750","51","90","36.17","37","71","34.26","32","54","37.21","5","3","62.50","3.24","4.05","44.49","28","45","38.36","18","29","38.30","5","2","71.43","27.78","93.10","12","18","40.00","10","12","45.45","4","1","80.00","40.00","91.67","16","27","37.21","8","17","32.00","1","1","50.00","12.50","94.12","18","39","31.58","12","22","35.29","0","1","0.00","0.00","95.45","15.63","94.44","1.101"
"16","Florida Panthers","2","85.0333","2","0","0","2","4","1.000","107","84","56.02","77","61","55.80","56","43","56.57","9","2","81.82","4.25","3.5","54.86","53","36","59.55","36","23","61.02","9","2","81.82","25.00","91.30","18","12","60.00","14","9","60.87","7","2","77.78","50.00","77.78","35","24","59.32","22","14","61.11","2","0","100.00","9.09","100.00","47","46","50.54","19","18","51.35","0","0","-","0.00","100.00","16.07","95.35","1.114"
"17","Dallas Stars","3","140.4167","1","2","0","1","2","0.333","120","143","45.63","91","108","45.73","67","81","45.27","4","4","50.00","4.69","5.59","45.66","51","62","45.13","30","42","41.67","4","3","57.14","13.33","92.86","22","17","56.41","14","15","48.28","3","2","60.00","21.43","86.67","29","45","39.19","16","27","37.21","1","1","50.00","6.25","96.30","64","71","47.41","35","36","49.30","0","1","0.00","0.00","97.22","5.97","95.06","1.010"
"18","New York Islanders","2","95.6333","0","2","0","0","0","0.000","81","121","40.10","61","83","42.36","43","57","43.00","3","9","25.00","4.33","4.73","47.79","40","60","40.00","24","35","40.68","3","9","25.00","12.50","74.29","19","20","48.72","13","17","43.33","3","6","33.33","23.08","64.71","21","40","34.43","11","18","37.93","0","3","0.00","0.00","83.33","38","53","41.76","18","22","45.00","0","0","-","0.00","100.00","6.98","84.21","0.912"
"19","Carolina Hurricanes","2","91.3","2","0","0","2","4","1.000","103","83","55.38","79","63","55.63","57","49","53.77","6","4","60.00","4.6","4.71","49.38","55","41","57.29","33","24","57.89","6","4","60.00","18.18","83.33","22","22","50.00","18","15","54.55","2","4","33.33","11.11","73.33","33","19","63.46","15","9","62.50","4","0","100.00","26.67","100.00","42","37","53.16","24","24","50.00","0","0","-","0.00","100.00","10.53","91.84","1.024"
"20","Arizona Coyotes","3","147.1667","0","2","1","0","1","0.167","127","119","51.63","100","97","50.76","64","75","46.04","5","11","31.25","5.9","5.1","53.65","65","62","51.18","37","40","48.05","4","8","33.33","10.81","80.00","30","24","55.56","25","20","55.56","3","4","42.86","12.00","80.00","35","38","47.95","12","20","37.50","1","4","20.00","8.33","80.00","57","54","51.35","26","33","44.07","1","3","25.00","3.85","90.91","7.81","85.33","0.931"
"21","Columbus Blue Jackets","2","105.5833","2","0","0","2","4","1.000","90","107","45.69","64","77","45.39","45","50","47.37","6","2","75.00","3.14","4.17","42.92","43","57","43.00","20","30","40.00","3","1","75.00","15.00","96.67","9","19","32.14","7","16","30.43","1","0","100.00","14.29","100.00","34","38","47.22","13","14","48.15","2","1","66.67","15.38","92.86","41","47","46.59","24","19","55.81","3","1","75.00","12.50","94.74","13.33","96.00","1.093"
"22","Nashville Predators","2","96.45","0","2","0","0","0","0.000","79","77","50.64","58","61","48.74","47","48","49.47","3","3","50.00","3.56","3.02","54.04","38","37","50.67","26","25","50.98","3","3","50.00","11.54","88.00","13","15","46.43","12","13","48.00","3","1","75.00","25.00","92.31","25","22","53.19","14","12","53.85","0","2","0.00","0.00","83.33","34","34","50.00","18","22","45.00","0","0","-","0.00","100.00","6.38","93.75","1.001"
"23","Winnipeg Jets","2","83.5167","0","2","0","0","0","0.000","79","57","58.09","52","45","53.61","34","30","53.13","3","3","50.00","2.66","3.19","45.51","30","29","50.85","18","19","48.65","2","3","40.00","11.11","84.21","9","15","37.50","5","11","31.25","1","2","33.33","20.00","81.82","21","14","60.00","13","8","61.90","1","1","50.00","7.69","87.50","41","25","62.12","13","10","56.52","1","0","100.00","7.69","100.00","8.82","90.00","0.988"
"24","Anaheim Ducks","3","132.4833","2","1","0","2","4","0.667","94","160","37.01","77","123","38.50","50","85","37.04","3","4","42.86","3.87","7.74","33.33","37","75","33.04","26","48","35.14","3","2","60.00","11.54","95.83","16","25","39.02","14","17","45.16","1","1","50.00","7.14","94.12","21","50","29.58","12","31","27.91","2","1","66.67","16.67","96.77","51","71","41.80","20","34","37.04","0","2","0.00","0.00","94.12","6.00","95.29","1.013"
"25","Los Angeles Kings","2","104.0333","1","1","0","1","2","0.500","121","80","60.20","93","64","59.24","68","51","57.14","5","5","50.00","5.44","3.98","57.74","58","45","56.31","33","29","53.23","4","5","44.44","12.12","82.76","26","17","60.47","20","13","60.61","3","3","50.00","15.00","76.92","32","28","53.33","13","16","44.83","1","2","33.33","7.69","87.50","53","32","62.35","33","20","62.26","1","0","100.00","3.03","100.00","7.35","90.20","0.975"
"26","New Jersey Devils","1","46.1333","1","0","0","1","2","1.000","45","33","57.69","38","24","61.29","24","17","58.54","3","0","100.00","2.47","1.35","64.74","29","20","59.18","17","9","65.38","3","0","100.00","17.65","100.00","12","8","60.00","8","7","53.33","2","0","100.00","25.00","100.00","17","12","58.62","9","2","81.82","1","0","100.00","11.11","100.00","16","13","55.17","7","8","46.67","0","0","-","0.00","100.00","12.50","100.00","1.125"
"27","Philadelphia Flyers","2","92.5","1","0","1","1","3","0.750","83","73","53.21","65","54","54.62","46","45","50.55","8","3","72.73","4.02","3.57","52.92","40","35","53.33","26","21","55.32","6","3","66.67","23.08","85.71","16","15","51.61","14","12","53.85","4","2","66.67","28.57","83.33","24","20","54.55","12","9","57.14","2","1","66.67","16.67","88.89","39","32","54.93","18","21","46.15","2","0","100.00","11.11","100.00","17.39","93.33","1.107"
"28","Minnesota Wild","2","90.4","2","0","0","2","4","1.000","99","79","55.62","81","60","57.45","59","41","59.00","4","1","80.00","4.81","2.91","62.30","45","39","53.57","30","21","58.82","4","0","100.00","13.33","100.00","18","15","54.55","14","11","56.00","3","0","100.00","21.43","100.00","27","24","52.94","16","10","61.54","1","0","100.00","6.25","100.00","47","37","55.95","26","18","59.09","0","1","0.00","0.00","94.44","6.78","97.56","1.043"
"29","Boston Bruins","1","41.65","1","0","0","1","2","1.000","43","25","63.24","37","22","62.71","32","16","66.67","1","1","50.00","1.43","1.36","51.24","17","13","56.67","13","10","56.52","1","1","50.00","7.69","90.00","3","3","50.00","3","3","50.00","1","0","100.00","33.33","100.00","14","10","58.33","10","7","58.82","0","1","0.00","0.00","85.71","26","11","70.27","19","5","79.17","0","0","-","0.00","100.00","3.13","93.75","0.969"
"30","St Louis Blues","2","96.8167","2","0","0","2","4","1.000","75","88","46.01","61","70","46.56","46","44","51.11","9","4","69.23","3.66","4.51","44.77","35","43","44.87","25","24","51.02","9","4","69.23","36.00","83.33","16","19","45.71","13","14","48.15","3","2","60.00","23.08","85.71","19","24","44.19","12","10","54.55","6","2","75.00","50.00","80.00","36","39","48.00","19","19","50.00","0","0","-","0.00","100.00","19.57","90.91","1.105"
"31","Calgary Flames","2","94.0667","0","1","1","0","1","0.250","111","68","62.01","86","60","58.90","66","42","61.11","3","3","50.00","5.37","3.02","63.99","58","23","71.60","39","16","70.91","2","2","50.00","5.13","87.50","21","12","63.64","15","9","62.50","1","1","50.00","6.67","88.89","37","11","77.08","24","7","77.42","1","1","50.00","4.17","85.71","40","41","49.38","23","24","48.94","1","1","50.00","4.35","95.83","4.55","92.86","0.974"
