"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","22","1073","7","12","3","6","17","0.386","979","1035","48.61","707","765","48.03","502","544","47.99","46","59","43.81","45.8","44.97","50.46","539","531","50.37","299","305","49.50","35","51","40.70","11.71","83.28","223","188","54.26","148","131","53.05","17","26","39.53","11.49","80.15","316","343","47.95","151","174","46.46","18","25","41.86","11.92","85.63","380","434","46.68","179","205","46.61","11","8","57.89","6.15","96.10","9.16","89.15","0.983"
"2","Nashville Predators","20","904.9167","9","9","2","7","20","0.500","882","879","50.09","645","644","50.04","440","462","48.78","34","40","45.95","41.41","40.99","50.25","450","451","49.94","233","259","47.36","27","33","45.00","11.59","87.26","175","178","49.58","113","124","47.68","20","20","50.00","17.70","83.87","275","273","50.18","120","135","47.06","7","13","35.00","5.83","90.37","368","351","51.18","187","176","51.52","7","7","50.00","3.74","96.02","7.73","91.34","0.991"
"3","Tampa Bay Lightning","19","861.45","11","7","1","11","23","0.605","820","792","50.87","606","580","51.10","440","426","50.81","39","38","50.65","42.02","38.26","52.34","482","446","51.94","267","237","52.98","30","35","46.15","11.24","85.23","220","168","56.70","147","116","55.89","20","19","51.28","13.61","83.62","262","278","48.52","120","121","49.79","10","16","38.46","8.33","86.78","287","297","49.14","153","172","47.08","9","3","75.00","5.88","98.26","8.86","91.08","0.999"
"4","New York Rangers","21","999.8333","10","7","4","10","24","0.571","996","858","53.72","743","624","54.35","535","459","53.82","39","40","49.37","47.67","40.67","53.97","525","460","53.30","288","255","53.04","31","34","47.69","10.76","86.67","216","190","53.20","145","136","51.60","21","20","51.22","14.48","85.29","309","270","53.37","143","119","54.58","10","14","41.67","6.99","88.24","403","337","54.46","231","185","55.53","8","6","57.14","3.46","96.76","7.29","91.29","0.986"
"5","Vegas Golden Knights","21","1034.5333","16","4","1","16","33","0.786","1005","1051","48.88","743","710","51.14","565","504","52.85","52","36","59.09","50.44","41.63","54.79","542","513","51.37","328","261","55.69","45","30","60.00","13.72","88.51","238","185","56.26","179","119","60.07","26","18","59.09","14.53","84.87","304","328","48.10","149","142","51.20","19","12","61.29","12.75","91.55","378","441","46.15","203","214","48.68","7","5","58.33","3.45","97.66","9.20","92.86","1.021"
"6","Los Angeles Kings","22","1035.8333","11","9","2","10","24","0.545","1034","930","52.65","762","650","53.97","554","472","54.00","45","46","49.45","46.7","38.13","55.05","530","453","53.92","312","261","54.45","41","39","51.25","13.14","85.06","215","185","53.75","151","130","53.74","25","24","51.02","16.56","81.54","315","268","54.03","161","131","55.14","16","15","51.61","9.94","88.55","427","375","53.24","220","178","55.28","4","7","36.36","1.82","96.07","8.12","90.25","0.984"
"7","Boston Bruins","20","919","17","3","0","16","34","0.850","878","809","52.05","664","610","52.12","498","450","52.53","46","27","63.01","41.63","34.87","54.42","469","394","54.35","270","230","54.00","37","24","60.66","13.70","89.57","193","160","54.67","137","117","53.94","25","11","69.44","18.25","90.60","276","234","54.12","133","113","54.07","12","13","48.00","9.02","88.50","370","356","50.96","206","186","52.55","9","3","75.00","4.37","98.39","9.24","94.00","1.032"
"8","Washington Capitals","21","981.2","8","10","3","8","19","0.452","975","930","51.18","697","689","50.29","474","494","48.97","37","42","46.84","40.39","43.34","48.24","470","463","50.38","247","257","49.01","36","37","49.32","14.57","85.60","185","192","49.07","114","131","46.53","18","28","39.13","15.79","78.63","285","271","51.26","133","126","51.35","18","9","66.67","13.53","92.86","414","395","51.17","184","211","46.58","1","5","16.67","0.54","97.63","7.81","91.50","0.993"
"9","Columbus Blue Jackets","19","944.95","7","11","1","7","15","0.395","833","1046","44.33","613","766","44.45","455","566","44.56","41","62","39.81","36.23","44.7","44.77","384","495","43.69","240","283","45.89","31","52","37.35","12.92","81.63","135","181","42.72","102","133","43.40","19","32","37.25","18.63","75.94","249","314","44.23","138","150","47.92","12","20","37.50","8.70","86.67","364","473","43.49","192","257","42.76","10","10","50.00","5.21","96.11","9.01","89.05","0.981"
"10","Carolina Hurricanes","20","931.5667","10","6","4","8","24","0.600","1073","639","62.68","780","490","61.42","513","355","59.10","38","32","54.29","45.86","31.96","58.94","517","322","61.62","265","206","56.26","32","26","55.17","12.08","87.38","211","160","56.87","134","112","54.47","18","16","52.94","13.43","85.71","306","162","65.38","131","94","58.22","14","10","58.33","10.69","89.36","460","252","64.61","227","126","64.31","6","5","54.55","2.64","96.03","7.41","90.99","0.984"
