"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","57","2815.35","34","14","9","32","77","0.675","2727","2455","52.62","2106","1834","53.45","1574","1377","53.34","119","102","53.85","123.16","107.84","53.32","1353","1218","52.63","852","744","53.38","107","92","53.77","12.56","87.63","540","472","53.36","429","372","53.56","72","70","50.70","16.78","81.18","813","746","52.15","423","372","53.21","35","22","61.40","8.27","94.09","1203","1075","52.81","650","561","53.67","12","10","54.55","1.85","98.22","7.56","92.59","1.002"
"2","Tampa Bay Lightning","55","2643.65","37","12","6","35","80","0.727","2358","2258","51.08","1829","1719","51.55","1274","1255","50.38","125","96","56.56","110.46","95.61","53.60","1303","1180","52.48","741","713","50.96","104","84","55.32","14.04","88.22","557","421","56.95","389","321","54.79","67","58","53.60","17.22","81.93","746","759","49.57","352","392","47.31","37","26","58.73","10.51","93.37","947","966","49.50","494","493","50.05","20","12","62.50","4.05","97.57","9.81","92.35","1.022"
"3","Seattle Kraken","58","2829.2167","17","36","5","16","39","0.336","2442","2428","50.14","1804","1832","49.61","1287","1323","49.31","101","139","42.08","97.55","104.85","48.20","1134","1167","49.28","667","676","49.66","81","117","40.91","12.14","82.69","439","458","48.94","322","343","48.42","53","76","41.09","16.46","77.84","695","709","49.50","345","333","50.88","28","41","40.58","8.12","87.69","1147","1110","50.82","582","582","50.00","20","22","47.62","3.44","96.22","7.85","89.49","0.973"
"4","Vegas Golden Knights","57","2810.7333","32","21","4","28","68","0.596","2796","2574","52.07","2085","1823","53.35","1534","1339","53.39","127","113","52.92","127.2","117.34","52.02","1384","1337","50.86","819","748","52.27","110","93","54.19","13.43","87.57","567","558","50.40","409","392","51.06","73","68","51.77","17.85","82.65","817","779","51.19","410","356","53.52","37","25","59.68","9.02","92.98","1191","1035","53.50","638","514","55.38","16","19","45.71","2.51","96.30","8.28","91.56","0.998"
"5","Montreal Canadiens","56","2661.85","15","34","7","13","37","0.330","2310","2568","47.36","1714","1973","46.49","1290","1456","46.98","92","129","41.63","102.79","120.21","46.09","1140","1327","46.21","670","801","45.55","79","112","41.36","11.79","86.02","475","542","46.71","347","396","46.70","46","82","35.94","13.26","79.29","665","785","45.86","323","405","44.37","33","30","52.38","10.22","92.59","965","1071","47.40","545","587","48.14","13","17","43.33","2.39","97.10","7.13","91.14","0.983"
"6","Toronto Maple Leafs","55","2722.15","35","16","4","33","74","0.673","2754","2399","53.44","2069","1860","52.66","1514","1370","52.50","135","124","52.12","126.79","106.09","54.44","1502","1188","55.84","911","732","55.45","119","110","51.97","13.06","84.97","569","481","54.19","425","352","54.70","75","74","50.34","17.65","78.98","933","707","56.89","486","380","56.12","44","36","55.00","9.05","90.53","1123","1052","51.63","551","556","49.77","15","14","51.72","2.72","97.48","8.92","90.95","0.999"
"7","New York Rangers","56","2731.5667","36","15","5","32","77","0.688","2195","2679","45.03","1664","1987","45.58","1204","1423","45.83","104","97","51.74","101.51","119.28","45.98","1094","1382","44.18","640","778","45.13","87","85","50.58","13.59","89.07","485","552","46.77","354","400","46.95","60","60","50.00","16.95","85.00","609","830","42.32","286","378","43.07","27","25","51.92","9.44","93.39","962","1144","45.68","505","582","46.46","17","12","58.62","3.37","97.94","8.64","93.18","1.018"
"8","Washington Capitals","57","2772.9","30","18","9","28","69","0.605","2542","2476","50.66","1925","1832","51.24","1383","1310","51.36","123","100","55.16","111.29","107.51","50.87","1273","1247","50.52","747","718","50.99","104","83","55.61","13.92","88.44","483","491","49.59","341","344","49.78","63","59","51.64","18.48","82.85","790","756","51.10","406","374","52.05","41","24","63.08","10.10","93.58","1104","1056","51.11","572","538","51.53","19","17","52.78","3.32","96.84","8.89","92.37","1.013"
"9","Chicago Blackhawks","57","2766.7","20","29","8","17","48","0.421","2345","2661","46.84","1696","1906","47.08","1259","1413","47.12","88","126","41.12","94.21","111.28","45.85","1103","1286","46.17","657","761","46.33","74","107","40.88","11.26","85.94","410","430","48.81","302","340","47.04","44","67","39.64","14.57","80.29","693","856","44.74","355","421","45.75","30","40","42.86","8.45","90.50","1097","1223","47.28","559","611","47.78","14","19","42.42","2.50","96.89","6.99","91.08","0.981"
"10","Colorado Avalanche","56","2648.8167","40","11","5","37","85","0.759","2703","2351","53.48","1942","1771","52.30","1496","1328","52.97","138","101","57.74","112.52","100.67","52.78","1315","1098","54.50","800","675","54.24","113","84","57.36","14.13","87.56","511","469","52.14","388","348","52.72","74","52","58.73","19.07","85.06","804","629","56.11","412","327","55.75","39","32","54.93","9.47","90.21","1210","1065","53.19","624","592","51.32","25","17","59.52","4.01","97.13","9.22","92.39","1.016"
"11","Vancouver Canucks","57","2762.2","28","23","6","25","62","0.544","2604","2634","49.71","1937","1925","50.16","1436","1395","50.72","101","96","51.27","108.93","112.7","49.15","1259","1323","48.76","743","776","48.91","83","83","50.00","11.17","89.30","447","505","46.95","329","374","46.80","52","54","49.06","15.81","85.56","812","818","49.82","414","402","50.74","31","29","51.67","7.49","92.79","1154","1135","50.42","624","564","52.53","18","13","58.06","2.88","97.70","7.03","93.12","1.002"
"12","Edmonton Oilers","56","2719.0167","30","22","4","27","64","0.571","2646","2384","52.60","1950","1849","51.33","1433","1388","50.80","114","118","49.14","116.3","109.46","51.52","1252","1253","49.98","732","774","48.61","102","90","53.13","13.93","88.37","504","502","50.10","384","374","50.66","71","59","54.62","18.49","84.22","748","751","49.90","348","400","46.52","31","31","50.00","8.91","92.25","1228","969","55.89","650","545","54.39","12","27","30.77","1.85","95.05","7.96","91.50","0.995"
"13","Buffalo Sabres","57","2825.3","18","31","8","16","44","0.386","2375","2635","47.41","1805","2091","46.33","1356","1571","46.33","106","134","44.17","99.14","121.49","44.94","1115","1291","46.34","667","814","45.04","89","113","44.06","13.34","86.12","455","553","45.14","332","424","43.92","61","71","46.21","18.37","83.25","660","738","47.21","335","390","46.21","28","42","40.00","8.36","89.23","1109","1201","48.01","629","693","47.58","17","20","45.95","2.70","97.11","7.82","91.47","0.993"
"14","Ottawa Senators","55","2625.1333","19","31","5","18","43","0.391","2334","2656","46.77","1774","1978","47.28","1272","1423","47.20","100","116","46.30","99.5","116.41","46.08","1121","1314","46.04","647","768","45.72","79","107","42.47","12.21","86.07","437","520","45.66","307","371","45.28","51","64","44.35","16.61","82.75","684","794","46.28","340","397","46.13","28","43","39.44","8.24","89.17","1053","1157","47.65","556","579","48.99","21","9","70.00","3.78","98.45","7.86","91.85","0.997"
"15","Detroit Red Wings","56","2727.1167","24","26","6","21","54","0.482","2250","2612","46.28","1708","1983","46.27","1299","1474","46.84","112","129","46.47","107.48","118.43","47.58","1135","1368","45.35","694","808","46.21","96","104","48.00","13.83","87.13","474","578","45.06","360","403","47.18","65","67","49.24","18.06","83.37","661","790","45.55","334","405","45.20","31","37","45.59","9.28","90.86","951","1096","46.46","541","617","46.72","16","24","40.00","2.96","96.11","8.62","91.25","0.999"
"16","Florida Panthers","55","2619.05","37","13","5","35","79","0.718","2867","2213","56.44","2148","1676","56.17","1623","1301","55.51","151","105","58.98","134.13","106.94","55.64","1500","1144","56.73","948","741","56.13","134","86","60.91","14.14","88.39","601","513","53.95","466","397","54.00","89","55","61.81","19.10","86.15","899","631","58.76","482","344","58.35","45","31","59.21","9.34","90.99","1195","920","56.50","606","491","55.24","16","19","45.71","2.64","96.13","9.30","91.93","1.012"
"17","Dallas Stars","55","2640.5333","32","20","3","29","67","0.609","2382","2486","48.93","1794","1826","49.56","1289","1335","49.12","99","102","49.25","106.94","103.88","50.73","1201","1155","50.98","712","712","50.00","89","89","50.00","12.50","87.50","522","462","53.05","379","342","52.57","68","58","53.97","17.94","83.04","679","693","49.49","333","370","47.37","21","31","40.38","6.31","91.62","1002","1105","47.56","494","551","47.27","9","13","40.91","1.82","97.64","7.68","92.36","1.000"
"18","New York Islanders","52","2569.9667","21","23","8","20","50","0.481","2159","2481","46.53","1614","1817","47.04","1185","1318","47.34","95","97","49.48","100.96","102.33","49.66","1131","1277","46.97","663","732","47.53","78","77","50.32","11.76","89.48","454","451","50.17","343","342","50.07","53","50","51.46","15.45","85.38","677","826","45.04","320","390","45.07","25","27","48.08","7.81","93.08","903","1081","45.51","468","537","46.57","15","19","44.12","3.21","96.46","8.02","92.64","1.007"
"19","Carolina Hurricanes","56","2639.15","39","12","5","38","83","0.741","2743","2260","54.83","2075","1756","54.16","1470","1267","53.71","134","95","58.52","131.85","114.94","53.43","1321","1133","53.83","744","688","51.96","113","84","57.36","15.19","87.79","586","509","53.52","397","377","51.29","79","64","55.24","19.90","83.02","735","624","54.08","347","311","52.74","34","20","62.96","9.80","93.57","1219","943","56.38","667","517","56.33","21","11","65.63","3.15","97.87","9.12","92.50","1.016"
"20","Arizona Coyotes","55","2670.25","16","35","4","15","36","0.327","2120","2599","44.92","1606","1980","44.79","1133","1479","43.38","100","136","42.37","93.52","118.15","44.18","1008","1271","44.23","616","794","43.69","83","113","42.35","13.47","85.77","433","545","44.27","315","410","43.45","57","69","45.24","18.10","83.17","575","726","44.20","301","384","43.94","26","44","37.14","8.64","88.54","967","1162","45.42","475","626","43.14","17","22","43.59","3.58","96.49","8.83","90.80","0.996"
"21","Columbus Blue Jackets","56","2767.0667","28","25","3","25","59","0.527","2491","2778","47.28","1883","2164","46.53","1348","1633","45.22","130","151","46.26","107.61","128.18","45.64","1175","1402","45.60","689","903","43.28","107","120","47.14","15.53","86.71","434","565","43.44","327","434","42.97","66","70","48.53","20.18","83.87","741","837","46.96","362","469","43.56","41","50","45.05","11.33","89.34","1151","1236","48.22","588","671","46.70","23","31","42.59","3.91","95.38","9.64","90.75","1.004"
"22","Nashville Predators","55","2579.4","31","20","4","29","66","0.600","2277","2311","49.63","1736","1760","49.66","1233","1281","49.05","110","95","53.66","100.61","98.81","50.45","1143","1138","50.11","681","695","49.49","100","81","55.25","14.68","88.35","433","410","51.36","320","310","50.79","66","54","55.00","20.63","82.58","710","728","49.37","361","385","48.39","34","27","55.74","9.42","92.99","999","1029","49.26","501","536","48.31","10","13","43.48","2.00","97.57","8.92","92.58","1.015"
"23","Winnipeg Jets","56","2680.5","24","22","10","23","58","0.518","2532","2521","50.11","1921","1926","49.94","1399","1389","50.18","99","111","47.14","116.45","118.15","49.64","1285","1283","50.04","765","747","50.60","85","89","48.85","11.11","88.09","507","555","47.74","381","384","49.80","55","62","47.01","14.44","83.85","778","728","51.66","384","363","51.41","30","27","52.63","7.81","92.56","1112","1083","50.66","577","567","50.44","14","22","38.89","2.43","96.12","7.08","92.01","0.991"
"24","Anaheim Ducks","58","2824.9333","27","22","9","23","63","0.543","2520","2653","48.71","1922","1995","49.07","1373","1445","48.72","107","124","46.32","113.52","121.63","48.27","1214","1272","48.83","728","780","48.28","87","100","46.52","11.95","87.18","512","519","49.66","393","391","50.13","63","63","50.00","16.03","83.89","702","753","48.25","335","389","46.27","24","37","39.34","7.16","90.49","1111","1172","48.66","556","599","48.14","19","24","44.19","3.42","95.99","7.79","91.42","0.992"
