"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","30","1485.1667","17","8","5","16","39","0.650","1431","1286","52.67","1113","948","54.00","845","716","54.13","64","49","56.64","63.65","53.27","54.44","729","630","53.64","457","377","54.80","58","45","56.31","12.69","88.06","282","235","54.55","223","184","54.79","37","30","55.22","16.59","83.70","447","395","53.09","234","193","54.80","21","15","58.33","8.97","92.23","627","570","52.38","358","303","54.16","6","4","60.00","1.68","98.68","7.57","93.16","1.007"
"2","Tampa Bay Lightning","33","1576.65","21","7","5","19","47","0.712","1405","1366","50.70","1091","1041","51.17","758","783","49.19","67","58","53.60","65.54","58.1","53.01","774","720","51.81","433","444","49.37","55","50","52.38","12.70","88.74","338","252","57.29","233","203","53.44","39","34","53.42","16.74","83.25","436","468","48.23","200","241","45.35","16","16","50.00","8.00","93.36","557","581","48.95","294","309","48.76","11","8","57.89","3.74","97.41","8.84","92.59","1.014"
"3","Seattle Kraken","33","1639.9833","10","19","4","10","24","0.364","1337","1401","48.83","1009","1057","48.84","736","772","48.81","60","87","40.82","54.36","59.48","47.75","615","645","48.81","384","392","49.48","47","70","40.17","12.24","82.14","243","251","49.19","188","196","48.96","30","43","41.10","15.96","78.06","372","394","48.56","196","196","50.00","17","27","38.64","8.67","86.22","638","667","48.89","335","344","49.34","13","17","43.33","3.88","95.06","8.15","88.73","0.969"
"4","Vegas Golden Knights","34","1663.8","22","12","0","19","44","0.647","1629","1534","51.50","1219","1103","52.50","902","807","52.78","85","69","55.19","74.93","70.17","51.64","801","796","50.16","489","445","52.36","75","60","55.56","15.34","86.52","337","328","50.68","255","230","52.58","50","46","52.08","19.61","80.00","464","468","49.79","234","215","52.12","25","14","64.10","10.68","93.49","698","629","52.60","374","322","53.74","10","8","55.56","2.67","97.52","9.42","91.45","1.009"
"5","Montreal Canadiens","34","1631.4833","7","23","4","6","18","0.265","1446","1564","48.04","1054","1202","46.72","787","889","46.96","51","72","41.46","61.82","71.85","46.25","716","812","46.86","404","485","45.44","45","62","42.06","11.14","87.22","295","326","47.50","215","242","47.05","27","48","36.00","12.56","80.17","421","486","46.42","189","243","43.75","18","14","56.25","9.52","94.24","620","644","49.05","345","359","49.01","6","10","37.50","1.74","97.21","6.48","91.90","0.984"
"6","Toronto Maple Leafs","31","1526.1667","21","8","2","21","44","0.710","1537","1386","52.58","1157","1088","51.54","842","788","51.66","67","53","55.83","73.29","61.06","54.55","875","714","55.07","532","432","55.19","60","47","56.07","11.28","89.12","337","292","53.58","256","206","55.41","41","31","56.94","16.02","84.95","538","422","56.04","276","226","54.98","19","16","54.29","6.88","92.92","591","596","49.79","281","318","46.91","7","6","53.85","2.49","98.11","7.96","93.27","1.012"
"7","New York Rangers","32","1546.2167","20","8","4","18","44","0.688","1242","1505","45.21","942","1119","45.71","679","791","46.19","54","58","48.21","56.48","66.39","45.97","623","782","44.34","367","433","45.88","47","51","47.96","12.81","88.22","268","301","47.10","196","211","48.16","29","35","45.31","14.80","83.41","355","481","42.46","171","222","43.51","18","16","52.94","10.53","92.79","537","646","45.39","272","328","45.33","7","7","50.00","2.57","97.87","7.95","92.67","1.006"
"8","Washington Capitals","33","1611.7333","20","6","7","18","47","0.712","1488","1385","51.79","1142","1027","52.65","828","742","52.74","82","55","59.85","66.51","60.09","52.54","751","710","51.40","452","403","52.87","71","44","61.74","15.71","89.08","289","285","50.35","207","190","52.14","42","34","55.26","20.29","82.11","462","425","52.09","245","213","53.49","29","10","74.36","11.84","95.31","640","573","52.76","338","305","52.57","11","11","50.00","3.25","96.39","9.90","92.59","1.025"
"9","Chicago Blackhawks","31","1481.15","11","16","4","8","26","0.419","1225","1385","46.93","879","1016","46.39","637","750","45.93","43","65","39.81","49.69","59.02","45.71","595","690","46.30","343","418","45.07","37","58","38.95","10.79","86.12","211","231","47.74","152","191","44.31","22","38","36.67","14.47","80.10","384","459","45.55","191","227","45.69","15","20","42.86","7.85","91.19","549","614","47.21","269","312","46.30","6","7","46.15","2.23","97.76","6.75","91.33","0.981"
"10","Colorado Avalanche","27","1247.8833","17","8","2","16","36","0.667","1232","1112","52.56","889","831","51.69","675","628","51.80","69","58","54.33","51.64","46.07","52.85","629","512","55.13","381","303","55.70","56","49","53.33","14.70","83.83","233","200","53.81","186","150","55.36","35","28","55.56","18.82","81.33","396","312","55.93","195","153","56.03","21","21","50.00","10.77","86.27","520","510","50.49","258","290","47.08","13","9","59.09","5.04","96.90","10.22","90.76","1.010"
"11","Vancouver Canucks","34","1642.8","16","15","3","13","35","0.515","1537","1520","50.28","1128","1120","50.18","842","840","50.06","52","50","50.98","62.4","65.62","48.75","727","764","48.76","425","464","47.81","42","44","48.84","9.88","90.52","264","293","47.40","195","227","46.21","26","29","47.27","13.33","87.22","463","471","49.57","230","237","49.25","16","15","51.61","6.96","93.67","700","656","51.62","375","342","52.30","10","6","62.50","2.67","98.25","6.18","94.05","1.002"
"12","Edmonton Oilers","32","1561.0167","18","12","2","16","38","0.594","1464","1406","51.01","1084","1089","49.88","801","827","49.20","65","75","46.43","65.17","63.24","50.75","697","727","48.95","405","464","46.61","57","56","50.44","14.07","87.93","281","306","47.87","212","230","47.96","42","39","51.85","19.81","83.04","416","421","49.70","193","234","45.20","15","17","46.88","7.77","92.74","673","576","53.88","371","323","53.46","8","18","30.77","2.16","94.43","8.11","90.93","0.990"
"13","Buffalo Sabres","33","1653.6","10","17","6","8","26","0.394","1393","1536","47.56","1073","1216","46.88","792","923","46.18","63","79","44.37","57.67","68.3","45.78","653","747","46.64","383","469","44.95","54","69","43.90","14.10","85.29","264","317","45.44","188","241","43.82","35","46","43.21","18.62","80.91","389","430","47.50","195","228","46.10","19","23","45.24","9.74","89.91","668","710","48.48","384","425","47.47","9","9","50.00","2.34","97.88","7.95","91.44","0.994"
"14","Ottawa Senators","29","1368.6333","9","18","2","8","20","0.345","1149","1419","44.74","875","1049","45.48","627","743","45.77","52","67","43.70","50.76","60","45.83","569","709","44.52","336","397","45.84","41","60","40.59","12.20","84.89","225","274","45.09","161","192","45.61","27","38","41.54","16.77","80.21","344","435","44.16","175","205","46.05","14","22","38.89","8.00","89.27","508","623","44.92","258","314","45.10","11","7","61.11","4.26","97.77","8.29","90.98","0.993"
"15","Detroit Red Wings","32","1564.1333","15","14","3","14","33","0.516","1296","1529","45.88","989","1146","46.32","748","848","46.87","61","67","47.66","62.2","66.3","48.41","652","784","45.40","406","464","46.67","55","52","51.40","13.55","88.79","281","327","46.22","210","229","47.84","35","30","53.85","16.67","86.90","371","457","44.81","196","235","45.48","20","22","47.62","10.20","90.64","544","651","45.52","308","353","46.60","6","15","28.57","1.95","95.75","8.16","92.10","1.003"
"16","Florida Panthers","32","1518.15","21","7","4","20","46","0.719","1653","1249","56.96","1249","945","56.93","942","735","56.17","85","59","59.03","75.97","58.84","56.35","857","652","56.79","545","430","55.90","79","50","61.24","14.50","88.37","340","282","54.66","266","226","54.07","56","32","63.64","21.05","85.84","517","370","58.29","279","204","57.76","23","18","56.10","8.24","91.18","702","518","57.54","362","262","58.01","6","9","40.00","1.66","96.56","9.02","91.97","1.010"
"17","Dallas Stars","29","1399.3333","15","12","2","14","32","0.552","1235","1294","48.83","904","951","48.73","653","697","48.37","46","53","46.46","51.25","52.12","49.58","613","596","50.70","354","361","49.51","45","48","48.39","12.71","86.70","262","224","53.91","188","163","53.56","36","29","55.38","19.15","82.21","351","372","48.55","166","198","45.60","9","19","32.14","5.42","90.40","532","578","47.93","254","299","45.93","1","5","16.67","0.39","98.33","7.04","92.40","0.994"
"18","New York Islanders","28","1379","10","12","6","10","26","0.464","1151","1346","46.10","859","996","46.31","632","716","46.88","42","51","45.16","52.92","56.55","48.35","606","692","46.69","355","400","47.02","34","42","44.74","9.58","89.50","240","259","48.10","176","206","46.07","25","33","43.10","14.20","83.98","366","433","45.81","179","194","47.99","9","9","50.00","5.03","95.36","482","595","44.75","253","293","46.34","7","9","43.75","2.77","96.93","6.65","92.88","0.995"
"19","Carolina Hurricanes","31","1435.4667","23","7","1","23","47","0.758","1530","1178","56.50","1143","904","55.84","813","636","56.11","73","45","61.86","71.43","60.69","54.06","734","579","55.90","409","336","54.90","59","39","60.20","14.43","88.39","321","262","55.06","224","189","54.24","40","31","56.34","17.86","83.60","413","317","56.58","185","147","55.72","19","8","70.37","10.27","94.56","685","495","58.05","370","270","57.81","14","6","70.00","3.78","97.78","8.98","92.92","1.019"
"20","Arizona Coyotes","30","1454.2333","6","21","3","6","15","0.250","1145","1326","46.34","887","1011","46.73","635","766","45.32","48","74","39.34","47.97","59.14","44.78","542","620","46.64","336","408","45.16","40","61","39.60","11.90","85.05","223","278","44.51","164","222","42.49","27","41","39.71","16.46","81.53","319","342","48.26","172","186","48.04","13","20","39.39","7.56","89.25","525","614","46.09","278","331","45.65","8","13","38.10","2.88","96.07","7.56","90.34","0.979"
"21","Columbus Blue Jackets","30","1491.5833","15","14","1","12","31","0.517","1355","1494","47.56","998","1156","46.33","711","861","45.23","66","77","46.15","57.64","67.22","46.17","666","762","46.64","374","484","43.59","55","61","47.41","14.71","87.40","239","296","44.67","182","224","44.83","35","35","50.00","19.23","84.38","427","466","47.82","192","260","42.48","20","26","43.48","10.42","90.00","598","657","47.65","304","350","46.48","11","16","40.74","3.62","95.43","9.28","91.06","1.003"
"22","Nashville Predators","33","1572.5833","20","11","2","19","42","0.636","1396","1352","50.80","1061","1021","50.96","755","733","50.74","62","56","52.54","61.86","56.69","52.18","716","672","51.59","426","393","52.01","57","50","53.27","13.38","87.28","257","226","53.21","197","167","54.12","35","30","53.85","17.77","82.04","459","446","50.72","229","226","50.33","22","20","52.38","9.61","91.15","610","594","50.66","299","312","48.94","5","6","45.45","1.67","98.08","8.21","92.36","1.006"
"23","Winnipeg Jets","30","1448.15","14","11","5","13","33","0.550","1430","1313","52.13","1086","1006","51.91","786","731","51.81","60","51","54.05","65.18","63.84","50.52","727","681","51.63","428","398","51.82","48","41","53.93","11.21","89.70","284","290","49.48","215","199","51.93","32","29","52.46","14.88","85.43","443","391","53.12","213","199","51.70","16","12","57.14","7.51","93.97","635","561","53.09","331","297","52.71","12","10","54.55","3.63","96.63","7.63","93.02","1.007"
"24","Anaheim Ducks","34","1668.1833","17","10","7","15","41","0.603","1501","1568","48.91","1141","1178","49.20","846","835","50.33","63","66","48.84","67.93","72.14","48.50","736","752","49.46","457","455","50.11","50","55","47.62","10.94","87.91","319","307","50.96","253","228","52.60","34","37","47.89","13.44","83.77","417","445","48.38","204","227","47.33","16","18","47.06","7.84","92.07","655","688","48.77","336","343","49.48","12","11","52.17","3.57","96.79","7.45","92.10","0.995"
