"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","26","1268.1333","8","14","4","7","20","0.385","1156","1236","48.33","835","892","48.35","589","635","48.12","54","67","44.63","54.5","52.75","50.82","638","637","50.04","352","353","49.93","43","56","43.43","12.22","84.14","268","224","54.47","174","153","53.21","23","30","43.40","13.22","80.39","370","413","47.25","178","200","47.09","20","26","43.48","11.24","87.00","449","512","46.72","208","244","46.02","11","11","50.00","5.29","95.49","9.17","89.45","0.986"
"2","Nashville Predators","21","960.9167","10","9","2","8","22","0.524","946","933","50.35","692","682","50.36","477","495","49.07","35","41","46.05","44.54","43.25","50.73","486","478","50.41","254","276","47.92","28","34","45.16","11.02","87.68","191","189","50.26","126","134","48.46","21","20","51.22","16.67","85.07","295","289","50.51","128","142","47.41","7","14","33.33","5.47","90.14","391","372","51.25","202","187","51.93","7","7","50.00","3.47","96.26","7.34","91.72","0.991"
"3","Tampa Bay Lightning","22","1017.5333","13","8","1","13","27","0.614","957","921","50.96","709","676","51.19","504","499","50.25","44","45","49.44","48.22","44.41","52.06","554","511","52.02","302","275","52.34","35","40","46.67","11.59","85.45","245","200","55.06","160","141","53.16","24","23","51.06","15.00","83.69","309","311","49.84","142","134","51.45","11","17","39.29","7.75","87.31","340","353","49.06","176","202","46.56","9","5","64.29","5.11","97.52","8.73","90.98","0.997"
"4","New York Rangers","24","1140.2","11","9","4","11","26","0.542","1123","1008","52.70","842","743","53.12","612","540","53.13","47","48","49.47","53.55","48.2","52.63","588","532","52.50","323","294","52.35","38","38","50.00","11.76","87.07","244","222","52.36","164","156","51.25","27","23","54.00","16.46","85.26","344","310","52.60","159","138","53.54","11","15","42.31","6.92","89.13","456","401","53.21","267","223","54.49","9","10","47.37","3.37","95.52","7.68","91.11","0.988"
"5","Vegas Golden Knights","24","1184.7","17","6","1","16","35","0.729","1142","1204","48.68","842","816","50.78","631","582","52.02","56","44","56.00","56.32","47.82","54.08","606","596","50.42","359","307","53.90","49","38","56.32","13.65","87.62","263","208","55.84","190","135","58.46","28","22","56.00","14.74","83.70","343","388","46.92","169","172","49.56","21","16","56.76","12.43","90.70","433","498","46.51","230","241","48.83","7","5","58.33","3.04","97.93","8.87","92.44","1.013"
"6","Los Angeles Kings","25","1190.2333","12","9","4","11","28","0.560","1182","1094","51.93","873","769","53.17","630","556","53.12","54","55","49.54","53.48","46.48","53.50","611","542","52.99","357","310","53.52","47","47","50.00","13.17","84.84","244","224","52.14","169","151","52.81","28","28","50.00","16.57","81.46","367","318","53.58","188","159","54.18","19","19","50.00","10.11","88.05","477","437","52.19","249","208","54.49","7","8","46.67","2.81","96.15","8.57","90.11","0.987"
"7","Boston Bruins","22","1016.6333","19","3","0","18","38","0.864","965","880","52.30","729","662","52.41","549","492","52.74","49","27","64.47","45.12","36.91","55.01","519","429","54.75","298","248","54.58","39","24","61.90","13.09","90.32","210","167","55.70","151","122","55.31","27","11","71.05","17.88","90.98","309","262","54.12","147","126","53.85","12","13","48.00","8.16","89.68","405","386","51.20","227","205","52.55","10","3","76.92","4.41","98.54","8.93","94.51","1.034"
"8","Washington Capitals","24","1130.1167","10","11","3","10","23","0.479","1124","1052","51.65","801","788","50.41","549","571","49.02","43","47","47.78","47.33","49.11","49.08","548","518","51.41","290","298","49.32","41","41","50.00","14.14","86.24","214","213","50.12","132","148","47.14","22","30","42.31","16.67","79.73","334","305","52.27","158","150","51.30","19","11","63.33","12.03","92.67","471","452","51.03","211","244","46.37","2","6","25.00","0.95","97.54","7.83","91.77","0.996"
"9","Columbus Blue Jackets","21","1037.1167","7","12","2","7","16","0.381","921","1136","44.77","675","826","44.97","497","606","45.06","43","65","39.81","40.06","47.97","45.51","426","534","44.38","262","304","46.29","33","55","37.50","12.60","81.91","151","194","43.77","111","137","44.76","20","33","37.74","18.02","75.91","275","340","44.72","151","167","47.48","13","22","37.14","8.61","86.83","403","510","44.14","209","274","43.27","10","10","50.00","4.78","96.35","8.65","89.27","0.979"
"10","Carolina Hurricanes","23","1074","12","6","5","10","29","0.630","1207","773","60.96","890","589","60.18","596","429","58.15","41","36","53.25","52.18","38.17","57.75","575","397","59.16","303","246","55.19","35","30","53.85","11.55","87.80","236","191","55.27","154","134","53.47","21","19","52.50","13.64","85.82","339","206","62.20","149","112","57.09","14","11","56.00","9.40","90.18","524","300","63.59","265","155","63.10","6","6","50.00","2.26","96.13","6.88","91.61","0.985"
"11","Toronto Maple Leafs","25","1199.4333","15","5","5","15","35","0.700","1116","1097","50.43","819","798","50.65","591","551","51.75","49","37","56.98","54.02","49.6","52.13","603","563","51.72","325","311","51.10","41","36","53.25","12.62","88.42","253","233","52.06","166","166","50.00","31","21","59.62","18.67","87.35","350","330","51.47","159","145","52.30","10","15","40.00","6.29","89.66","451","453","49.89","245","208","54.08","8","1","88.89","3.27","99.52","8.29","93.28","1.016"
"12","Montreal Canadiens","22","1044.8","11","10","1","8","23","0.523","957","981","49.38","693","702","49.68","534","511","51.10","45","52","46.39","41.86","48.31","46.43","462","536","46.29","260","303","46.18","35","45","43.75","13.46","85.15","174","219","44.27","122","153","44.36","21","32","39.62","17.21","79.08","288","317","47.60","138","150","47.92","14","13","51.85","10.14","91.33","403","367","52.34","244","188","56.48","10","7","58.82","4.10","96.28","8.43","89.82","0.983"
"13","Chicago Blackhawks","22","1055.7333","6","12","4","6","16","0.364","779","1103","41.39","583","819","41.58","424","603","41.29","31","55","36.05","35.52","49.94","41.56","384","560","40.68","225","315","41.67","27","45","37.50","12.00","85.71","156","209","42.74","110","148","42.64","21","24","46.67","19.09","83.78","228","351","39.38","115","167","40.78","6","21","22.22","5.22","87.43","321","462","41.00","175","252","40.98","4","10","28.57","2.29","96.03","7.31","90.88","0.982"
"14","Colorado Avalanche","20","939.7167","12","7","1","10","25","0.625","907","877","50.84","665","652","50.49","502","501","50.05","34","28","54.84","39.1","39.99","49.43","432","401","51.86","262","246","51.57","32","22","59.26","12.21","91.06","185","187","49.73","136","136","50.00","24","19","55.81","17.65","86.03","247","214","53.58","126","110","53.39","8","3","72.73","6.35","97.27","393","389","50.26","217","229","48.65","2","6","25.00","0.92","97.38","6.77","94.41","1.012"
