"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","24","1183.4833","11","8","5","10","27","0.563","1157","1044","52.57","894","770","53.73","680","586","53.71","47","42","52.81","51.6","43.48","54.27","587","518","53.12","365","316","53.60","46","39","54.12","12.60","87.66","232","190","54.98","186","149","55.52","30","25","54.55","16.13","83.22","355","328","51.98","179","167","51.73","16","14","53.33","8.94","91.62","510","460","52.58","290","244","54.31","1","3","25.00","0.34","98.77","6.91","92.83","0.997"
"2","Tampa Bay Lightning","24","1150.5333","15","5","4","13","34","0.708","1038","1020","50.44","810","769","51.30","568","571","49.87","51","37","57.95","47.53","41.55","53.36","556","525","51.43","316","321","49.61","39","32","54.93","12.34","90.03","240","175","57.83","167","138","54.75","29","21","58.00","17.37","84.78","316","350","47.45","149","183","44.88","10","11","47.62","6.71","93.99","428","443","49.14","230","228","50.22","11","5","68.75","4.78","97.81","8.98","93.52","1.025"
"3","Seattle Kraken","24","1178.9833","9","13","2","9","20","0.417","972","979","49.82","740","727","50.44","533","537","49.81","45","62","42.06","41.13","41.92","49.52","466","455","50.60","297","286","50.94","38","51","42.70","12.79","82.17","189","178","51.50","148","148","50.00","23","33","41.07","15.54","77.70","277","277","50.00","149","138","51.92","15","18","45.45","10.07","86.96","449","465","49.12","226","231","49.45","7","11","38.89","3.10","95.24","8.44","88.45","0.969"
"4","Vegas Golden Knights","24","1173.0167","14","10","0","13","28","0.583","1131","1159","49.39","836","837","49.97","625","631","49.76","58","55","51.33","52.47","54.6","49.01","555","603","47.93","343","363","48.58","51","48","51.52","14.87","86.78","242","243","49.90","181","183","49.73","35","36","49.30","19.34","80.33","313","360","46.51","162","180","47.37","16","12","57.14","9.88","93.33","479","474","50.26","248","243","50.51","7","7","50.00","2.82","97.12","9.28","91.28","1.006"
"5","Montreal Canadiens","26","1249.5667","6","17","3","6","15","0.288","1131","1208","48.35","810","932","46.50","603","680","47.00","39","54","41.94","46.49","54.13","46.21","563","610","48.00","308","359","46.18","34","46","42.50","11.04","87.19","217","246","46.87","150","178","45.73","20","36","35.71","13.33","79.78","346","364","48.73","158","181","46.61","14","10","58.33","8.86","94.48","477","510","48.33","266","284","48.36","5","8","38.46","1.88","97.18","6.47","92.06","0.985"
"6","Toronto Maple Leafs","26","1277.9333","17","7","2","17","36","0.692","1303","1170","52.69","973","921","51.37","708","665","51.57","53","43","55.21","62.28","50.92","55.02","736","609","54.72","448","369","54.83","47","39","54.65","10.49","89.43","285","250","53.27","220","176","55.56","34","26","56.67","15.45","85.23","451","359","55.68","228","193","54.16","13","13","50.00","5.70","93.26","508","498","50.50","237","263","47.40","6","4","60.00","2.53","98.48","7.49","93.53","1.010"
"7","New York Rangers","23","1110.3167","16","4","3","15","35","0.761","913","1088","45.63","688","813","45.84","488","565","46.34","41","37","52.56","42.06","46.69","47.39","463","561","45.21","273","304","47.31","38","34","52.78","13.92","88.82","203","208","49.39","147","144","50.52","23","24","48.94","15.65","83.33","260","353","42.41","126","160","44.06","15","10","60.00","11.90","93.75","383","463","45.27","182","234","43.75","3","3","50.00","1.65","98.72","8.40","93.45","1.019"
"8","Washington Capitals","25","1234.7167","15","4","6","15","36","0.720","1106","1058","51.11","857","783","52.26","615","553","52.65","65","40","61.90","49","46.23","51.45","562","535","51.23","340","300","53.13","54","31","63.53","15.88","89.67","212","214","49.77","149","139","51.74","31","21","59.62","20.81","84.89","350","321","52.16","191","161","54.26","23","10","69.70","12.04","93.79","473","440","51.81","245","229","51.69","11","9","55.00","4.49","96.07","10.57","92.77","1.033"
"9","Chicago Blackhawks","24","1154.6333","9","13","2","6","20","0.417","949","1097","46.38","666","807","45.21","486","591","45.13","30","53","36.14","37.16","47.25","44.02","461","554","45.42","261","332","44.01","28","47","37.33","10.73","85.84","165","183","47.41","117","154","43.17","18","32","36.00","15.38","79.22","296","371","44.38","144","178","44.72","10","15","40.00","6.94","91.57","420","475","46.93","204","245","45.43","2","6","25.00","0.98","97.55","6.17","91.03","0.972"
"10","Colorado Avalanche","21","978.75","12","7","2","11","26","0.619","948","867","52.23","676","646","51.13","506","490","50.80","48","47","50.53","38.47","36.08","51.60","476","408","53.85","283","237","54.42","39","40","49.37","13.78","83.12","176","154","53.33","134","116","53.60","24","23","51.06","17.91","80.17","300","254","54.15","149","121","55.19","15","17","46.88","10.07","85.95","404","391","50.82","196","225","46.56","9","7","56.25","4.59","96.89","9.49","90.41","0.999"
